att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29,att30,att31,att32,att33,att34,att35,att36,att37,att38,att39,att40,att41,att42,att43,att44,att45,att46,att47,att48,att49,att50,att51,att52,att53,att54,att55,att56,att57,att58,att59,att60,att61,att62,att63,att64,att65,att66,att67,att68,att69,att70,att71,att72,att73,att74,att75,att76,att77,att78,att79,att80,att81,att82,att83,att84,att85,att86,att87,att88,att89,att90,att91,att92,att93,att94,att95,att96,att97,att98,att99,att100,att101,att102,att103,att104,att105,att106,att107,att108,att109,att110,att111,att112,att113,att114,att115,att116,att117,att118,att119,att120,att121,att122,att123,att124,att125,att126,att127,att128,att129,att130,att131,att132,att133,att134,att135,att136,att137,att138,att139,att140,att141,att142,att143,att144,target
2.48394,2.276286,2.067516,1.921893,1.718775,1.508428,1.300675,1.090286,0.882733,0.672301,0.463383,0.254525,0.045738,-0.156189,-0.208985,-0.394913,-0.594162,-0.797171,-0.974597,-1.128163,-1.247136,-1.350834,-1.428298,-1.476542,-1.454615,-1.318836,-1.119976,-1.104096,-1.208126,-1.294514,-1.393178,-1.410399,-1.333681,-1.243482,-1.114575,-0.966537,-0.802491,-0.644422,-0.457249,-0.259533,-0.054255,0.143517,0.33845,0.502352,0.630603,0.802583,0.924996,1.018569,0.941606,0.786402,0.636068,0.491153,0.337626,0.204799,0.079393,-0.039022,-0.163099,-0.261878,-0.368195,-0.444798,-0.515532,-0.578858,-0.604171,-0.440134,-0.241605,-0.044281,0.157949,0.361403,0.5659,0.772892,0.980212,1.163211,1.2201,1.244823,1.257672,1.113846,0.949496,0.743041,0.539382,0.335197,0.132404,-0.074559,-0.278558,-0.476485,-0.573086,-0.521204,-0.455704,-0.361561,-0.271026,-0.186352,-0.074928,0.060174,0.187535,0.310688,0.45322,0.597458,0.750491,0.8775,0.860533,0.728972,0.565174,0.417365,0.272961,0.061689,-0.129862,-0.31681,-0.491465,-0.676339,-0.82939,-0.969788,-1.131615,-1.254445,-1.333629,-1.407287,-1.346796,-1.24442,-1.145076,-1.071061,-1.257938,-1.408538,-1.438567,-1.384523,-1.306864,-1.213696,-1.097053,-0.960141,-0.775782,-0.581697,-0.385488,-0.205275,-0.116994,0.090279,0.297792,0.505507,0.713395,0.91586,1.12045,1.326346,1.53221,1.739919,1.945732,2.153986,2.361228,2.483939,1
2.60332,2.340699,2.082285,1.825624,1.567706,1.312203,1.057195,0.801716,0.546683,0.291849,0.03662,-0.076146,-0.077345,-0.327159,-0.553852,-0.777401,-0.98744,-1.177238,-1.341704,-1.487761,-1.591384,-1.539839,-1.361748,-1.1602,-0.944457,-0.724193,-0.492965,-0.256541,-0.018474,0.229068,0.475847,0.727388,0.979849,1.214663,1.353093,1.429684,1.229809,0.974865,0.724107,0.473934,0.224473,-0.026501,-0.277013,-0.523586,-0.768432,-1.010978,-1.258246,-1.49426,-1.724048,-1.944247,-2.102479,-1.89029,-1.573859,-1.242751,-0.911613,-0.580455,-0.401822,-0.236612,0.080088,0.129462,0.227202,0.341617,0.512348,0.54215,0.603805,0.470661,0.309674,0.140812,-0.015294,-0.155687,-0.255515,-0.098247,0.145961,0.371018,0.175757,-0.081247,-0.335955,-0.240189,-0.077119,-0.234805,-0.317426,-0.18653,0.027555,0.323819,0.595115,0.480473,0.288884,0.456031,0.60415,0.592329,0.338923,0.059411,-0.247761,-0.554472,-0.86047,-1.150297,-1.388949,-1.564791,-1.651999,-1.401289,-1.159783,-0.915154,-0.668307,-0.419827,-0.170107,0.076761,0.326287,0.578575,0.831323,1.084451,1.323906,1.242016,1.122753,0.895639,0.634772,0.378189,0.124934,-0.123513,-0.365471,-0.598588,-0.826467,-1.036672,-1.164681,-1.111729,-1.030184,-0.927159,-0.79056,-0.635387,-0.465536,-0.279973,-0.064031,0.011087,-0.058284,0.174144,0.427274,0.676066,0.921299,1.171722,1.418897,1.663607,1.915828,2.162467,2.405276,2.605294,4
2.757321,2.576667,2.363323,2.151578,1.940218,1.729427,1.519429,1.309547,1.100253,0.891493,0.683162,0.482842,0.298635,0.135672,-0.044849,-0.239307,-0.431527,-0.626913,-0.813971,-0.997326,-1.181317,-1.358288,-1.46597,-1.508949,-1.496861,-1.478207,-1.412206,-1.323923,-1.191887,-1.044651,-0.897045,-0.713318,-0.516016,-0.30552,-0.106258,0.04362,0.110293,0.171954,0.224522,0.226481,0.062473,-0.097632,-0.253302,-0.401338,-0.540695,-0.667066,-0.778706,-0.880961,-0.822913,-0.669114,-0.427322,-0.146678,0.119587,0.396115,0.590199,0.749911,0.811053,0.764219,0.712065,0.679347,0.657649,0.638661,0.612403,0.473542,0.271318,0.054452,-0.195017,-0.382116,-0.53878,-0.561132,-0.723743,-0.535097,-0.628415,-0.651604,-0.563214,-0.630903,-0.415406,-0.242403,-0.009837,0.198526,0.399029,0.598177,0.606952,0.625974,0.64696,0.675878,0.70707,0.748467,0.724612,0.546738,0.343734,0.086855,-0.180822,-0.42481,-0.54122,-0.681926,-0.795951,-0.678769,-0.560631,-0.428456,-0.292591,-0.146905,0.005385,0.14491,0.134075,0.056757,0.004181,-0.133171,-0.316913,-0.505062,-0.683324,-0.869736,-1.024173,-1.159003,-1.277489,-1.382455,-1.46212,-1.505878,-1.521235,-1.514344,-1.46524,-1.353707,-1.184009,-1.008923,-0.81948,-0.636882,-0.45117,-0.271196,-0.080204,0.083351,0.233701,0.395126,0.561279,0.750142,0.954268,1.157343,1.363317,1.566326,1.76986,1.973864,2.17829,2.380841,2.584945,2.759135,6
0.916063,0.720145,0.522445,0.325826,0.134381,-0.054012,-0.235525,-0.409605,-0.574453,-0.782353,-1.005318,-1.227987,-1.442693,-1.644878,-1.830656,-1.919581,-1.803539,-1.575919,-1.332768,-1.117349,-0.890069,-0.661376,-0.425178,-0.185914,-0.104358,0.021735,0.091275,0.017601,0.180527,0.161358,0.107642,0.037772,-0.03497,-0.127621,-0.241672,-0.343593,-0.449143,-0.54789,-0.630571,-0.684933,-0.718658,-0.735322,-0.752345,-0.758706,-0.705807,-0.525259,-0.336314,-0.151021,0.040873,0.223694,0.443558,0.618236,0.807066,0.987339,1.122091,1.168995,1.361086,1.565355,1.764312,1.963699,2.155679,2.348291,2.534063,2.659484,2.454807,2.21208,1.970654,1.73652,1.509086,1.287824,1.143285,1.109422,0.92075,0.701374,0.487748,0.279564,0.074659,-0.128759,-0.328256,-0.524141,-0.655584,-0.711926,-0.729304,-0.724641,-0.712768,-0.681295,-0.62749,-0.558144,-0.451771,-0.360193,-0.251391,-0.14599,-0.066734,-0.01229,0.024303,-0.113239,-0.051202,-0.079787,-0.079004,-0.221939,-0.279545,-0.420773,-0.619803,-0.818604,-1.017733,-1.215457,-1.412445,-1.608572,-1.800757,-1.861114,-1.784232,-1.655338,-1.505152,-1.33765,-1.162365,-0.971737,-0.764771,-0.568062,-0.407041,-0.226472,-0.054443,0.134102,0.301596,0.493903,0.710093,0.813405,0.734303,0.656732,0.576479,0.522695,0.55844,0.77279,0.794096,0.987738,1.133398,0.984352,0.760642,0.541502,0.517342,0.582836,0.658641,0.757901,0.853401,0.916217,5
2.656142,2.388145,2.118595,1.849677,1.576579,1.310169,1.109699,0.930998,0.750668,0.539333,0.280109,0.202769,0.225087,0.190427,-0.063984,-0.331682,-0.603219,-0.848439,-1.078363,-1.273412,-1.446494,-1.584146,-1.66705,-1.701056,-1.618863,-1.407405,-1.204867,-1.293158,-1.374847,-1.465617,-1.396953,-1.221577,-1.015835,-0.817346,-0.653438,-0.474111,-0.650893,-0.455141,-0.184814,0.08632,0.041223,0.22912,0.356262,0.483767,0.559157,0.682152,0.818026,0.946656,0.982478,0.761459,0.555834,0.34053,0.436915,0.654899,0.604009,0.404236,0.166365,-0.006733,-0.229742,-0.419168,-0.573619,-0.723551,-0.855717,-0.969597,-1.056647,-0.819121,-0.646091,-0.570673,-0.305507,-0.038956,0.145073,0.132646,0.298854,0.55353,0.844992,1.124513,1.381179,1.327946,1.050002,0.796895,0.528492,0.253333,0.005408,-0.238341,-0.476986,-0.718489,-0.956323,-0.879292,-0.750359,-0.602993,-0.445259,-0.27794,-0.057522,0.156385,0.388832,0.557583,0.424678,0.376797,0.597895,0.83371,1.041235,0.892982,0.756373,0.632506,0.500499,0.415973,0.295355,0.085226,0.122572,-0.164772,-0.434789,-0.538044,-0.620523,-0.788246,-1.038618,-1.227594,-1.366765,-1.383944,-1.300808,-1.252014,-1.505062,-1.5541,-1.514516,-1.406161,-1.259102,-1.099404,-0.835727,-0.570562,-0.30431,-0.045449,0.218445,0.184337,0.190445,0.408353,0.636663,0.792403,0.986072,1.178943,1.392679,1.660325,1.929237,2.199162,2.469993,2.655524,2
2.716798,2.520859,2.31962,2.116441,1.913637,1.71125,1.509328,1.304647,1.103617,0.899584,0.695865,0.503446,0.337,0.174658,0.026848,-0.14056,-0.296803,-0.484202,-0.669047,-0.850846,-1.029002,-1.211188,-1.382884,-1.558268,-1.609068,-1.630423,-1.604464,-1.582334,-1.496625,-1.402207,-1.270639,-1.129364,-0.995539,-0.808575,-0.629259,-0.440013,-0.24243,-0.056332,0.054337,0.098968,0.189226,0.221619,0.124358,-0.034593,-0.16796,-0.304053,-0.432334,-0.551849,-0.661607,-0.760526,-0.760445,-0.59386,-0.397951,-0.124836,0.130978,0.373611,0.558994,0.722978,0.758149,0.722976,0.684263,0.655287,0.636265,0.627307,0.589851,0.383395,0.178364,-0.049425,-0.268749,-0.456178,-0.546939,-0.441283,-0.623459,-0.538105,-0.483729,-0.594606,-0.431194,-0.572487,-0.355097,-0.170275,0.062896,0.284475,0.489598,0.625175,0.640407,0.65756,0.686136,0.724205,0.761223,0.767523,0.611223,0.433163,0.190264,-0.089009,-0.339755,-0.443723,-0.598053,-0.700149,-0.585123,-0.456768,-0.321944,-0.181104,-0.029766,0.131724,0.22918,0.175554,0.113027,0.140952,-0.003838,-0.183236,-0.4002,-0.605639,-0.800912,-0.977409,-1.138189,-1.277809,-1.383628,-1.467743,-1.519882,-1.537841,-1.493581,-1.418848,-1.244988,-1.074251,-0.893684,-0.711002,-0.530945,-0.345955,-0.155972,0.021653,0.188707,0.359175,0.525989,0.729802,0.936229,1.14319,1.350628,1.558605,1.767164,1.976241,2.185881,2.396762,2.608897,2.71483,6
2.682277,2.497244,2.294711,2.092538,1.890673,1.689647,1.487927,1.287153,1.086839,0.886228,0.686396,0.489314,0.308318,0.138326,-0.019478,-0.191889,-0.379643,-0.562884,-0.749032,-0.922225,-1.099123,-1.280996,-1.449681,-1.591189,-1.628156,-1.641761,-1.60392,-1.547253,-1.459305,-1.324409,-1.164777,-1.004368,-0.827266,-0.627144,-0.414426,-0.202748,-0.021691,0.082824,0.152029,0.219924,0.260698,0.1456,-0.007035,-0.149783,-0.278495,-0.408663,-0.531616,-0.640256,-0.737817,-0.833434,-0.735199,-0.564823,-0.338822,-0.055566,0.17324,0.429953,0.603933,0.757973,0.785803,0.733218,0.690029,0.670432,0.65127,0.638039,0.586543,0.440957,0.246866,0.079708,-0.168109,-0.351703,-0.497236,-0.423764,-0.582028,-0.438065,-0.506969,-0.438578,-0.510187,-0.287751,-0.068827,0.177004,0.377187,0.57767,0.616529,0.636623,0.646837,0.676993,0.712834,0.74114,0.738847,0.566134,0.390456,0.139345,-0.120322,-0.303982,-0.412457,-0.56363,-0.643428,-0.545759,-0.424809,-0.295218,-0.157918,-0.014856,0.127537,0.190812,0.132283,0.083664,-0.019605,-0.168862,-0.367915,-0.574217,-0.768793,-0.945064,-1.097742,-1.232784,-1.357228,-1.456463,-1.519927,-1.554258,-1.571157,-1.54614,-1.455947,-1.291172,-1.12114,-0.946807,-0.778005,-0.605107,-0.420859,-0.248267,-0.074508,0.071366,0.227937,0.389518,0.566832,0.761326,0.959055,1.157247,1.355848,1.554813,1.752157,1.950132,2.149917,2.348473,2.546425,2.682868,6
2.483831,2.268816,2.06263,1.871328,1.661073,1.460832,1.259224,1.064227,0.866887,0.667945,0.48614,0.288459,0.090741,-0.110644,-0.242856,-0.322113,-0.5152,-0.706448,-0.86272,-1.007991,-1.140845,-1.243487,-1.313998,-1.362335,-1.315753,-1.204609,-1.059919,-0.886025,-0.95361,-1.052347,-1.132524,-1.205562,-1.194685,-1.148729,-1.090506,-0.947528,-0.77999,-0.596953,-0.400266,-0.19169,0.023265,0.228397,0.371517,0.497445,0.663686,0.777097,0.789829,0.645134,0.497921,0.35685,0.226497,0.093266,-0.031832,-0.139757,-0.248728,-0.343378,-0.425448,-0.494776,-0.5503,-0.445311,-0.270325,-0.098547,0.077912,0.262395,0.453915,0.639649,0.808774,0.892972,0.900412,0.846569,0.990917,1.170518,1.358108,1.458484,1.521795,1.347756,1.155865,0.962631,0.769804,0.577373,0.386866,0.195478,0.004424,-0.186232,-0.377251,-0.568715,-0.612131,-0.578296,-0.512668,-0.451704,-0.378384,-0.293715,-0.188178,-0.078497,0.033854,0.153736,0.26596,0.307971,0.185765,0.047241,-0.069057,-0.250072,-0.411595,-0.567785,-0.702173,-0.843684,-0.975299,-1.089406,-1.204621,-1.296506,-1.370033,-1.422757,-1.434855,-1.337601,-1.223993,-1.129171,-1.114042,-1.3102,-1.437452,-1.374624,-1.306701,-1.219836,-1.12195,-0.999939,-0.821641,-0.631835,-0.459123,-0.313051,-0.217442,-0.008958,0.183103,0.379996,0.563301,0.747453,0.926032,1.117859,1.303932,1.490492,1.677479,1.864847,2.053402,2.23538,2.417056,2.488396,1
2.546714,2.253106,1.965854,1.682485,1.405743,1.128527,0.98867,0.836485,0.678472,0.553447,0.300101,0.161854,0.088628,0.103565,-0.005486,-0.276346,-0.543683,-0.743723,-0.531876,-0.509337,-0.686179,-0.93994,-1.10801,-1.292163,-1.421215,-1.504236,-1.553179,-1.521715,-1.345013,-1.115731,-1.085254,-1.180518,-1.256966,-1.256864,-1.085152,-0.889758,-0.695478,-0.525512,-0.455849,-0.432797,-0.177058,0.070965,0.08793,0.26039,0.38312,0.457802,0.556418,0.689663,0.798049,0.824775,0.552419,0.333294,0.446371,0.389188,0.168941,-0.113319,-0.306961,-0.46506,-0.617408,-0.750355,-0.855632,-0.705424,-0.547126,-0.32518,-0.081515,0.143653,0.136216,0.351363,0.597814,0.860006,1.117653,1.375301,1.638303,1.875509,2.027556,1.809778,1.546575,1.27353,1.016796,0.756986,0.490379,0.230618,0.059689,-0.217022,-0.481509,-0.743103,-0.930656,-0.851918,-0.749162,-0.613464,-0.384006,-0.108806,0.160043,0.019606,-0.097687,0.083184,0.022216,0.157484,0.356415,0.528541,0.427916,0.302847,0.178924,0.133998,-0.005681,-0.226333,-0.194874,-0.396593,-0.61399,-0.762871,-0.663342,-0.818497,-1.015338,-1.209089,-1.346097,-1.440745,-1.357405,-1.26412,-1.196711,-1.446057,-1.572705,-1.537687,-1.462445,-1.351432,-1.21011,-0.981897,-0.718842,-0.42175,-0.159416,0.037331,0.096134,0.091763,0.328895,0.514004,0.664779,0.820167,0.990087,1.195825,1.451944,1.708787,1.959191,2.203803,2.449755,2.554036,2
2.73701,2.509809,2.277841,2.049155,1.819917,1.595151,1.368633,1.142222,0.916804,0.682196,0.529175,0.37555,0.230549,0.018566,-0.191514,-0.400424,-0.605285,-0.808822,-1.007193,-1.204231,-1.351651,-1.393171,-1.41707,-1.427666,-1.39273,-1.33233,-1.25422,-1.143033,-1.018924,-0.886773,-0.737614,-0.568704,-0.389698,-0.203532,-0.009985,0.070696,0.131133,0.203359,0.22317,0.100189,-0.086984,-0.260156,-0.428678,-0.586535,-0.722702,-0.852585,-0.953809,-1.020946,-0.774062,-0.532933,-0.286355,-0.039502,0.207576,0.463523,0.661121,0.796799,0.874518,0.818019,0.773113,0.734775,0.727258,0.717685,0.57844,0.350111,0.135127,-0.099903,-0.307303,-0.498868,-0.659005,-0.586051,-0.651062,-0.512328,-0.618135,-0.609566,-0.600306,-0.450247,-0.282438,-0.067808,0.149879,0.362352,0.574346,0.680486,0.696075,0.705314,0.722519,0.749981,0.787511,0.814496,0.653311,0.46408,0.233526,-0.00483,-0.244509,-0.483402,-0.589603,-0.54987,-0.535937,-0.620543,-0.484743,-0.356512,-0.204904,-0.061375,0.075362,0.081297,-0.000282,-0.051638,-0.18776,-0.355218,-0.535145,-0.69701,-0.855877,-0.997532,-1.115228,-1.233048,-1.314021,-1.396433,-1.448012,-1.47199,-1.470413,-1.45455,-1.412971,-1.304604,-1.123008,-0.936184,-0.745114,-0.558405,-0.365756,-0.17591,0.013493,0.174117,0.319961,0.473413,0.63812,0.831415,1.038281,1.24582,1.453952,1.662607,1.871728,2.074512,2.284577,2.488588,2.687123,2.747746,6
