Running LSaliency saliency . . .
Epoch [100/1000], | TL: 1.2976, ML: 0.8773, BL: 0.4202, VL: 0.0000  | Var: 0.0022, W:4.2023
Epoch [200/1000], | TL: 0.6984, ML: 0.3106, BL: 0.3877, VL: 0.0000  | Var: 0.0053, W:3.8773
Epoch [300/1000], | TL: 0.4131, ML: 0.0590, BL: 0.3541, VL: 0.0000  | Var: 0.0091, W:3.5408
Epoch [400/1000], | TL: 0.3477, ML: 0.0266, BL: 0.3211, VL: 0.0000  | Var: 0.0121, W:3.2107
Epoch [500/1000], | TL: 0.3076, ML: 0.0164, BL: 0.2912, VL: 0.0000  | Var: 0.0149, W:2.9120
Epoch [600/1000], | TL: 0.2764, ML: 0.0116, BL: 0.2648, VL: 0.0000  | Var: 0.0175, W:2.6484
Epoch [700/1000], | TL: 0.2507, ML: 0.0089, BL: 0.2418, VL: 0.0000  | Var: 0.0198, W:2.4184
Epoch [800/1000], | TL: 0.2291, ML: 0.0072, BL: 0.2219, VL: 0.0000  | Var: 0.0220, W:2.2193
Epoch [900/1000], | TL: 0.2107, ML: 0.0060, BL: 0.2047, VL: 0.0000  | Var: 0.0240, W:2.0474
Epoch [1000/1000], | TL: 0.1951, ML: 0.0052, BL: 0.1899, VL: 0.0000  | Var: 0.0258, W:1.8991
[0.50%] Candidate 1 took 4.4423s
Epoch [100/1000], | TL: 0.5302, ML: 0.0402, BL: 0.4900, VL: 0.0000  | Var: 0.0047, W:4.9002
Epoch [200/1000], | TL: 0.4593, ML: 0.0119, BL: 0.4474, VL: 0.0000  | Var: 0.0053, W:4.4739
Epoch [300/1000], | TL: 0.4124, ML: 0.0065, BL: 0.4059, VL: 0.0000  | Var: 0.0061, W:4.0587
Epoch [400/1000], | TL: 0.3712, ML: 0.0044, BL: 0.3668, VL: 0.0000  | Var: 0.0072, W:3.6685
Epoch [500/1000], | TL: 0.3344, ML: 0.0033, BL: 0.3311, VL: 0.0000  | Var: 0.0084, W:3.3110
Epoch [600/1000], | TL: 0.3016, ML: 0.0026, BL: 0.2990, VL: 0.0000  | Var: 0.0097, W:2.9901
Epoch [700/1000], | TL: 0.2728, ML: 0.0022, BL: 0.2706, VL: 0.0000  | Var: 0.0111, W:2.7063
Epoch [800/1000], | TL: 0.2477, ML: 0.0019, BL: 0.2458, VL: 0.0000  | Var: 0.0125, W:2.4579
Epoch [900/1000], | TL: 0.2259, ML: 0.0017, BL: 0.2242, VL: 0.0000  | Var: 0.0139, W:2.2422
Epoch [1000/1000], | TL: 0.2070, ML: 0.0015, BL: 0.2055, VL: 0.0000  | Var: 0.0152, W:2.0553
[1.00%] Candidate 2 took 3.9563s
Epoch [100/1000], | TL: 0.4546, ML: 0.0000, BL: 0.4546, VL: 0.0000  | Var: 0.0021, W:4.5456
Epoch [200/1000], | TL: 0.4065, ML: 0.0000, BL: 0.4065, VL: 0.0000  | Var: 0.0020, W:4.0651
Epoch [300/1000], | TL: 0.3611, ML: 0.0000, BL: 0.3611, VL: 0.0000  | Var: 0.0018, W:3.6112
Epoch [400/1000], | TL: 0.3193, ML: 0.0000, BL: 0.3193, VL: 0.0000  | Var: 0.0015, W:3.1933
Epoch [500/1000], | TL: 0.2825, ML: 0.0004, BL: 0.2821, VL: 0.0000  | Var: 0.0012, W:2.8209
Epoch [600/1000], | TL: 0.2519, ML: 0.0003, BL: 0.2516, VL: 0.0000  | Var: 0.0008, W:2.5161
Epoch [700/1000], | TL: 0.2252, ML: 0.0003, BL: 0.2248, VL: 0.0000  | Var: 0.0007, W:2.2484
Epoch [800/1000], | TL: 0.2019, ML: 0.0003, BL: 0.2015, VL: 0.0000  | Var: 0.0007, W:2.0155
Epoch [900/1000], | TL: 0.1817, ML: 0.0003, BL: 0.1814, VL: 0.0000  | Var: 0.0008, W:1.8138
Epoch [1000/1000], | TL: 0.1643, ML: 0.0003, BL: 0.1639, VL: 0.0000  | Var: 0.0010, W:1.6395
[1.50%] Candidate 3 took 3.8554s
Epoch [100/1000], | TL: 0.4855, ML: 0.0000, BL: 0.4855, VL: 0.0000  | Var: 0.0031, W:4.8550
Epoch [200/1000], | TL: 0.4609, ML: 0.0000, BL: 0.4609, VL: 0.0000  | Var: 0.0030, W:4.6092
Epoch [300/1000], | TL: 0.4366, ML: 0.0000, BL: 0.4366, VL: 0.0000  | Var: 0.0029, W:4.3663
Epoch [400/1000], | TL: 0.4128, ML: 0.0000, BL: 0.4128, VL: 0.0000  | Var: 0.0028, W:4.1281
Epoch [500/1000], | TL: 0.3896, ML: 0.0000, BL: 0.3896, VL: 0.0000  | Var: 0.0026, W:3.8961
Epoch [600/1000], | TL: 0.3672, ML: 0.0000, BL: 0.3672, VL: 0.0000  | Var: 0.0024, W:3.6717
Epoch [700/1000], | TL: 0.3456, ML: 0.0000, BL: 0.3456, VL: 0.0000  | Var: 0.0022, W:3.4559
Epoch [800/1000], | TL: 0.3249, ML: 0.0000, BL: 0.3249, VL: 0.0000  | Var: 0.0020, W:3.2494
Epoch [900/1000], | TL: 0.3053, ML: 0.0000, BL: 0.3053, VL: 0.0000  | Var: 0.0018, W:3.0529
Epoch [1000/1000], | TL: 0.2867, ML: 0.0000, BL: 0.2867, VL: 0.0000  | Var: 0.0017, W:2.8667
[2.00%] Candidate 4 took 3.8149s
Epoch [100/1000], | TL: 0.4513, ML: 0.0000, BL: 0.4513, VL: 0.0000  | Var: 0.0033, W:4.5126
Epoch [200/1000], | TL: 0.4036, ML: 0.0000, BL: 0.4036, VL: 0.0000  | Var: 0.0031, W:4.0355
Epoch [300/1000], | TL: 0.3585, ML: 0.0000, BL: 0.3585, VL: 0.0000  | Var: 0.0027, W:3.5852
Epoch [400/1000], | TL: 0.3171, ML: 0.0000, BL: 0.3171, VL: 0.0000  | Var: 0.0023, W:3.1707
Epoch [500/1000], | TL: 0.2797, ML: 0.0000, BL: 0.2797, VL: 0.0000  | Var: 0.0019, W:2.7971
Epoch [600/1000], | TL: 0.2485, ML: 0.0005, BL: 0.2480, VL: 0.0000  | Var: 0.0018, W:2.4798
Epoch [700/1000], | TL: 0.2234, ML: 0.0005, BL: 0.2229, VL: 0.0000  | Var: 0.0023, W:2.2290
