Running LSaliency saliency . . .
Epoch [100/1000], | TL: 0.4452, ML: 0.0000, BL: 0.4452, VL: 0.0000  | Var: 0.0027, W:4.4524
Epoch [200/1000], | TL: 0.3977, ML: 0.0000, BL: 0.3977, VL: 0.0000  | Var: 0.0024, W:3.9765
Epoch [300/1000], | TL: 0.3529, ML: 0.0000, BL: 0.3529, VL: 0.0000  | Var: 0.0021, W:3.5289
Epoch [400/1000], | TL: 0.3118, ML: 0.0000, BL: 0.3118, VL: 0.0000  | Var: 0.0018, W:3.1183
Epoch [500/1000], | TL: 0.2749, ML: 0.0000, BL: 0.2749, VL: 0.0000  | Var: 0.0015, W:2.7493
Epoch [600/1000], | TL: 0.2423, ML: 0.0000, BL: 0.2423, VL: 0.0000  | Var: 0.0012, W:2.4229
Epoch [700/1000], | TL: 0.2137, ML: 0.0000, BL: 0.2137, VL: 0.0000  | Var: 0.0009, W:2.1374
Epoch [800/1000], | TL: 0.1889, ML: 0.0000, BL: 0.1889, VL: 0.0000  | Var: 0.0007, W:1.8895
Epoch [900/1000], | TL: 0.1675, ML: 0.0000, BL: 0.1675, VL: 0.0000  | Var: 0.0005, W:1.6750
Epoch [1000/1000], | TL: 0.1490, ML: 0.0000, BL: 0.1490, VL: 0.0000  | Var: 0.0004, W:1.4898
[0.50%] Candidate 1 took 4.6383s
Epoch [100/1000], | TL: 0.4668, ML: 0.0000, BL: 0.4668, VL: 0.0000  | Var: 0.0053, W:4.6680
Epoch [200/1000], | TL: 0.4189, ML: 0.0000, BL: 0.4189, VL: 0.0000  | Var: 0.0050, W:4.1890
Epoch [300/1000], | TL: 0.3732, ML: 0.0000, BL: 0.3732, VL: 0.0000  | Var: 0.0045, W:3.7323
Epoch [400/1000], | TL: 0.3308, ML: 0.0000, BL: 0.3308, VL: 0.0000  | Var: 0.0038, W:3.3080
Epoch [500/1000], | TL: 0.2923, ML: 0.0000, BL: 0.2922, VL: 0.0000  | Var: 0.0031, W:2.9225
Epoch [600/1000], | TL: 0.2578, ML: 0.0000, BL: 0.2578, VL: 0.0000  | Var: 0.0025, W:2.5783
Epoch [700/1000], | TL: 0.2275, ML: 0.0000, BL: 0.2275, VL: 0.0000  | Var: 0.0020, W:2.2752
Epoch [800/1000], | TL: 0.2011, ML: 0.0000, BL: 0.2011, VL: 0.0000  | Var: 0.0015, W:2.0107
Epoch [900/1000], | TL: 0.1781, ML: 0.0000, BL: 0.1781, VL: 0.0000  | Var: 0.0012, W:1.7812
Epoch [1000/1000], | TL: 0.1583, ML: 0.0000, BL: 0.1583, VL: 0.0000  | Var: 0.0009, W:1.5826
[1.00%] Candidate 2 took 4.4027s
Epoch [100/1000], | TL: 0.5720, ML: 0.0972, BL: 0.4749, VL: 0.0000  | Var: 0.0179, W:4.7486
Epoch [200/1000], | TL: 0.4497, ML: 0.0243, BL: 0.4254, VL: 0.0000  | Var: 0.0254, W:4.2544
Epoch [300/1000], | TL: 0.3928, ML: 0.0134, BL: 0.3795, VL: 0.0000  | Var: 0.0324, W:3.7948
Epoch [400/1000], | TL: 0.3492, ML: 0.0092, BL: 0.3400, VL: 0.0000  | Var: 0.0391, W:3.4000
Epoch [500/1000], | TL: 0.3144, ML: 0.0070, BL: 0.3073, VL: 0.0000  | Var: 0.0453, W:3.0735
Epoch [600/1000], | TL: 0.2867, ML: 0.0058, BL: 0.2809, VL: 0.0000  | Var: 0.0509, W:2.8089
Epoch [700/1000], | TL: 0.2646, ML: 0.0050, BL: 0.2596, VL: 0.0000  | Var: 0.0557, W:2.5965
Epoch [800/1000], | TL: 0.2470, ML: 0.0044, BL: 0.2426, VL: 0.0000  | Var: 0.0599, W:2.4259
Epoch [900/1000], | TL: 0.2328, ML: 0.0040, BL: 0.2288, VL: 0.0000  | Var: 0.0633, W:2.2884
Epoch [1000/1000], | TL: 0.2214, ML: 0.0037, BL: 0.2177, VL: 0.0000  | Var: 0.0663, W:2.1766
[1.50%] Candidate 3 took 4.2864s
Epoch [100/1000], | TL: 0.4574, ML: 0.0000, BL: 0.4574, VL: 0.0000  | Var: 0.0024, W:4.5741
Epoch [200/1000], | TL: 0.4093, ML: 0.0000, BL: 0.4093, VL: 0.0000  | Var: 0.0023, W:4.0933
Epoch [300/1000], | TL: 0.3638, ML: 0.0000, BL: 0.3638, VL: 0.0000  | Var: 0.0021, W:3.6383
Epoch [400/1000], | TL: 0.3219, ML: 0.0000, BL: 0.3219, VL: 0.0000  | Var: 0.0019, W:3.2189
Epoch [500/1000], | TL: 0.2840, ML: 0.0000, BL: 0.2840, VL: 0.0000  | Var: 0.0016, W:2.8402
Epoch [600/1000], | TL: 0.2504, ML: 0.0000, BL: 0.2504, VL: 0.0000  | Var: 0.0013, W:2.5041
Epoch [700/1000], | TL: 0.2209, ML: 0.0000, BL: 0.2209, VL: 0.0000  | Var: 0.0010, W:2.2093
Epoch [800/1000], | TL: 0.1953, ML: 0.0000, BL: 0.1953, VL: 0.0000  | Var: 0.0008, W:1.9528
Epoch [900/1000], | TL: 0.1731, ML: 0.0000, BL: 0.1731, VL: 0.0000  | Var: 0.0006, W:1.7306
Epoch [1000/1000], | TL: 0.1539, ML: 0.0000, BL: 0.1539, VL: 0.0000  | Var: 0.0004, W:1.5387
[2.00%] Candidate 4 took 4.6173s
Epoch [100/1000], | TL: 1.4257, ML: 0.9998, BL: 0.4259, VL: 0.0000  | Var: 0.0044, W:4.2589
Epoch [200/1000], | TL: 1.3567, ML: 0.9998, BL: 0.3569, VL: 0.0000  | Var: 0.0036, W:3.5690
Epoch [300/1000], | TL: 1.2961, ML: 0.9999, BL: 0.2962, VL: 0.0000  | Var: 0.0028, W:2.9619
Epoch [400/1000], | TL: 1.2449, ML: 0.9999, BL: 0.2450, VL: 0.0000  | Var: 0.0020, W:2.4503
Epoch [500/1000], | TL: 1.2030, ML: 0.9999, BL: 0.2032, VL: 0.0000  | Var: 0.0013, W:2.0317
Epoch [600/1000], | TL: 1.1694, ML: 0.9999, BL: 0.1695, VL: 0.0000  | Var: 0.0009, W:1.6948
Epoch [700/1000], | TL: 1.1424, ML: 0.9999, BL: 0.1425, VL: 0.0000  | Var: 0.0006, W:1.4252
Epoch [800/1000], | TL: 1.1208, ML: 0.9999, BL: 0.1209, VL: 0.0000  | Var: 0.0004, W:1.2092
Epoch [900/1000], | TL: 1.1034, ML: 0.9999, BL: 0.1035, VL: 0.0000  | Var: 0.0003, W:1.0353
Epoch [1000/1000], | TL: 1.0893, ML: 0.9999, BL: 0.0894, VL: 0.0000  | Var: 0.0002, W:0.8940
[2.50%] Candidate 5 took 4.8318s
Epoch [100/1000], | TL: 0.4585, ML: 0.0000, BL: 0.4585, VL: 0.0000  | Var: 0.0042, W:4.5853
Epoch [200/1000], | TL: 0.4107, ML: 0.0000, BL: 0.4107, VL: 0.0000  | Var: 0.0039, W:4.1070
Epoch [300/1000], | TL: 0.3653, ML: 0.0000, BL: 0.3653, VL: 0.0000  | Var: 0.0034, W:3.6533
Epoch [400/1000], | TL: 0.3234, ML: 0.0000, BL: 0.3234, VL: 0.0000  | Var: 0.0029, W:3.2340
Epoch [500/1000], | TL: 0.2855, ML: 0.0000, BL: 0.2855, VL: 0.0000  | Var: 0.0024, W:2.8546
Epoch [600/1000], | TL: 0.2517, ML: 0.0000, BL: 0.2517, VL: 0.0000  | Var: 0.0019, W:2.5173
Epoch [700/1000], | TL: 0.2221, ML: 0.0000, BL: 0.2221, VL: 0.0000  | Var: 0.0015, W:2.2210
Epoch [800/1000], | TL: 0.1963, ML: 0.0000, BL: 0.1963, VL: 0.0000  | Var: 0.0011, W:1.9630
Epoch [900/1000], | TL: 0.1739, ML: 0.0000, BL: 0.1739, VL: 0.0000  | Var: 0.0009, W:1.7394
Epoch [1000/1000], | TL: 0.1546, ML: 0.0000, BL: 0.1546, VL: 0.0000  | Var: 0.0007, W:1.5462
[3.00%] Candidate 6 took 4.6262s
Epoch [100/1000], | TL: 0.5092, ML: 0.0000, BL: 0.5092, VL: 0.0000  | Var: 0.0042, W:5.0921
Epoch [200/1000], | TL: 0.4600, ML: 0.0000, BL: 0.4600, VL: 0.0000  | Var: 0.0040, W:4.5997
Epoch [300/1000], | TL: 0.4120, ML: 0.0000, BL: 0.4120, VL: 0.0000  | Var: 0.0035, W:4.1198
Epoch [400/1000], | TL: 0.3665, ML: 0.0000, BL: 0.3665, VL: 0.0000  | Var: 0.0030, W:3.6654
Epoch [500/1000], | TL: 0.3246, ML: 0.0000, BL: 0.3246, VL: 0.0000  | Var: 0.0025, W:3.2460
Epoch [600/1000], | TL: 0.2867, ML: 0.0000, BL: 0.2867, VL: 0.0000  | Var: 0.0020, W:2.8673
Epoch [700/1000], | TL: 0.2531, ML: 0.0000, BL: 0.2531, VL: 0.0000  | Var: 0.0016, W:2.5308
Epoch [800/1000], | TL: 0.2236, ML: 0.0000, BL: 0.2236, VL: 0.0000  | Var: 0.0012, W:2.2356
Epoch [900/1000], | TL: 0.1979, ML: 0.0000, BL: 0.1978, VL: 0.0000  | Var: 0.0009, W:1.9785
Epoch [1000/1000], | TL: 0.1756, ML: 0.0000, BL: 0.1756, VL: 0.0000  | Var: 0.0007, W:1.7556
[3.50%] Candidate 7 took 4.4165s
Epoch [100/1000], | TL: 1.4094, ML: 0.9999, BL: 0.4096, VL: 0.0000  | Var: 0.0031, W:4.0958
Epoch [200/1000], | TL: 1.3416, ML: 0.9999, BL: 0.3416, VL: 0.0000  | Var: 0.0025, W:3.4165
Epoch [300/1000], | TL: 1.2826, ML: 0.9999, BL: 0.2827, VL: 0.0000  | Var: 0.0018, W:2.8267
Epoch [400/1000], | TL: 1.2334, ML: 0.9999, BL: 0.2335, VL: 0.0000  | Var: 0.0013, W:2.3352
Epoch [500/1000], | TL: 1.1935, ML: 0.9999, BL: 0.1936, VL: 0.0000  | Var: 0.0009, W:1.9360
Epoch [600/1000], | TL: 1.1615, ML: 0.9999, BL: 0.1616, VL: 0.0000  | Var: 0.0006, W:1.6162
Epoch [700/1000], | TL: 1.1360, ML: 0.9999, BL: 0.1361, VL: 0.0000  | Var: 0.0004, W:1.3607
Epoch [800/1000], | TL: 1.1155, ML: 0.9999, BL: 0.1156, VL: 0.0000  | Var: 0.0003, W:1.1562
Epoch [900/1000], | TL: 1.0990, ML: 0.9999, BL: 0.0991, VL: 0.0000  | Var: 0.0002, W:0.9912
Epoch [1000/1000], | TL: 1.0856, ML: 0.9999, BL: 0.0857, VL: 0.0000  | Var: 0.0001, W:0.8571
[4.00%] Candidate 8 took 4.3608s
Epoch [100/1000], | TL: 0.4613, ML: 0.0000, BL: 0.4613, VL: 0.0000  | Var: 0.0036, W:4.6131
Epoch [200/1000], | TL: 0.4133, ML: 0.0000, BL: 0.4133, VL: 0.0000  | Var: 0.0033, W:4.1327
Epoch [300/1000], | TL: 0.3677, ML: 0.0000, BL: 0.3677, VL: 0.0000  | Var: 0.0030, W:3.6767
Epoch [400/1000], | TL: 0.3255, ML: 0.0000, BL: 0.3255, VL: 0.0000  | Var: 0.0025, W:3.2550
Epoch [500/1000], | TL: 0.2873, ML: 0.0000, BL: 0.2873, VL: 0.0000  | Var: 0.0021, W:2.8733
Epoch [600/1000], | TL: 0.2534, ML: 0.0000, BL: 0.2534, VL: 0.0000  | Var: 0.0017, W:2.5338
Epoch [700/1000], | TL: 0.2236, ML: 0.0000, BL: 0.2236, VL: 0.0000  | Var: 0.0013, W:2.2356
Epoch [800/1000], | TL: 0.1976, ML: 0.0000, BL: 0.1976, VL: 0.0000  | Var: 0.0010, W:1.9759
Epoch [900/1000], | TL: 0.1751, ML: 0.0000, BL: 0.1751, VL: 0.0000  | Var: 0.0008, W:1.7508
Epoch [1000/1000], | TL: 0.1556, ML: 0.0000, BL: 0.1556, VL: 0.0000  | Var: 0.0006, W:1.5562
[4.50%] Candidate 9 took 4.3579s
Epoch [100/1000], | TL: 0.4763, ML: 0.0304, BL: 0.4459, VL: 0.0000  | Var: 0.0143, W:4.4588
Epoch [200/1000], | TL: 0.4047, ML: 0.0089, BL: 0.3958, VL: 0.0000  | Var: 0.0198, W:3.9584
Epoch [300/1000], | TL: 0.3564, ML: 0.0053, BL: 0.3511, VL: 0.0000  | Var: 0.0253, W:3.5108
Epoch [400/1000], | TL: 0.3172, ML: 0.0039, BL: 0.3133, VL: 0.0000  | Var: 0.0307, W:3.1335
Epoch [500/1000], | TL: 0.2856, ML: 0.0031, BL: 0.2825, VL: 0.0000  | Var: 0.0357, W:2.8249
Epoch [600/1000], | TL: 0.2603, ML: 0.0027, BL: 0.2576, VL: 0.0000  | Var: 0.0402, W:2.5764
Epoch [700/1000], | TL: 0.2402, ML: 0.0024, BL: 0.2377, VL: 0.0000  | Var: 0.0441, W:2.3773
Epoch [800/1000], | TL: 0.2240, ML: 0.0023, BL: 0.2217, VL: 0.0000  | Var: 0.0474, W:2.2175
Epoch [900/1000], | TL: 0.2110, ML: 0.0022, BL: 0.2088, VL: 0.0000  | Var: 0.0502, W:2.0884
Epoch [1000/1000], | TL: 0.2004, ML: 0.0021, BL: 0.1983, VL: 0.0000  | Var: 0.0525, W:1.9834
[5.00%] Candidate 10 took 4.7073s
Epoch [100/1000], | TL: 1.4095, ML: 0.9993, BL: 0.4102, VL: 0.0000  | Var: 0.0087, W:4.1016
Epoch [200/1000], | TL: 1.3437, ML: 0.9994, BL: 0.3443, VL: 0.0000  | Var: 0.0075, W:3.4428
