Running LSaliency saliency . . .
Epoch [100/1000], | TL: 1.4387, ML: 0.9998, BL: 0.4388, VL: 0.0000  | Var: 0.0043, W:4.3882
Epoch [200/1000], | TL: 1.3693, ML: 0.9998, BL: 0.3694, VL: 0.0000  | Var: 0.0037, W:3.6941
Epoch [300/1000], | TL: 1.3073, ML: 0.9998, BL: 0.3075, VL: 0.0000  | Var: 0.0029, W:3.0747
Epoch [400/1000], | TL: 1.2546, ML: 0.9998, BL: 0.2548, VL: 0.0000  | Var: 0.0021, W:2.5475
Epoch [500/1000], | TL: 1.2112, ML: 0.9998, BL: 0.2113, VL: 0.0000  | Var: 0.0014, W:2.1134
Epoch [600/1000], | TL: 1.1761, ML: 0.9998, BL: 0.1763, VL: 0.0000  | Var: 0.0010, W:1.7627
Epoch [700/1000], | TL: 1.1480, ML: 0.9998, BL: 0.1482, VL: 0.0000  | Var: 0.0006, W:1.4815
Epoch [800/1000], | TL: 1.1254, ML: 0.9998, BL: 0.1256, VL: 0.0000  | Var: 0.0004, W:1.2561
Epoch [900/1000], | TL: 1.1073, ML: 0.9998, BL: 0.1074, VL: 0.0000  | Var: 0.0003, W:1.0745
Epoch [1000/1000], | TL: 1.0925, ML: 0.9998, BL: 0.0927, VL: 0.0000  | Var: 0.0002, W:0.9270
[0.50%] Candidate 1 took 4.1013s
Epoch [100/1000], | TL: 0.4347, ML: 0.0000, BL: 0.4347, VL: 0.0000  | Var: 0.0031, W:4.3465
Epoch [200/1000], | TL: 0.3876, ML: 0.0000, BL: 0.3876, VL: 0.0000  | Var: 0.0028, W:3.8761
Epoch [300/1000], | TL: 0.3436, ML: 0.0000, BL: 0.3436, VL: 0.0000  | Var: 0.0025, W:3.4360
Epoch [400/1000], | TL: 0.3034, ML: 0.0000, BL: 0.3034, VL: 0.0000  | Var: 0.0021, W:3.0338
Epoch [500/1000], | TL: 0.2674, ML: 0.0000, BL: 0.2674, VL: 0.0000  | Var: 0.0017, W:2.6736
Epoch [600/1000], | TL: 0.2356, ML: 0.0000, BL: 0.2356, VL: 0.0000  | Var: 0.0014, W:2.3557
Epoch [700/1000], | TL: 0.2078, ML: 0.0000, BL: 0.2078, VL: 0.0000  | Var: 0.0011, W:2.0781
Epoch [800/1000], | TL: 0.1837, ML: 0.0000, BL: 0.1837, VL: 0.0000  | Var: 0.0008, W:1.8373
Epoch [900/1000], | TL: 0.1629, ML: 0.0000, BL: 0.1629, VL: 0.0000  | Var: 0.0006, W:1.6292
Epoch [1000/1000], | TL: 0.1449, ML: 0.0000, BL: 0.1449, VL: 0.0000  | Var: 0.0005, W:1.4495
[1.00%] Candidate 2 took 4.1857s
Epoch [100/1000], | TL: 1.4393, ML: 0.9998, BL: 0.4395, VL: 0.0000  | Var: 0.0035, W:4.3946
Epoch [200/1000], | TL: 1.3696, ML: 0.9998, BL: 0.3698, VL: 0.0000  | Var: 0.0030, W:3.6980
Epoch [300/1000], | TL: 1.3075, ML: 0.9998, BL: 0.3077, VL: 0.0000  | Var: 0.0023, W:3.0767
Epoch [400/1000], | TL: 1.2547, ML: 0.9998, BL: 0.2549, VL: 0.0000  | Var: 0.0017, W:2.5487
Epoch [500/1000], | TL: 1.2112, ML: 0.9998, BL: 0.2114, VL: 0.0000  | Var: 0.0011, W:2.1143
Epoch [600/1000], | TL: 1.1762, ML: 0.9998, BL: 0.1764, VL: 0.0000  | Var: 0.0008, W:1.7636
Epoch [700/1000], | TL: 1.1481, ML: 0.9998, BL: 0.1482, VL: 0.0000  | Var: 0.0005, W:1.4824
Epoch [800/1000], | TL: 1.1255, ML: 0.9998, BL: 0.1257, VL: 0.0000  | Var: 0.0004, W:1.2571
Epoch [900/1000], | TL: 1.1074, ML: 0.9998, BL: 0.1075, VL: 0.0000  | Var: 0.0002, W:1.0755
Epoch [1000/1000], | TL: 1.0926, ML: 0.9998, BL: 0.0928, VL: 0.0000  | Var: 0.0002, W:0.9281
[1.50%] Candidate 3 took 3.9285s
Epoch [100/1000], | TL: 0.4707, ML: 0.0000, BL: 0.4707, VL: 0.0000  | Var: 0.0021, W:4.7073
Epoch [200/1000], | TL: 0.4221, ML: 0.0000, BL: 0.4221, VL: 0.0000  | Var: 0.0019, W:4.2209
Epoch [300/1000], | TL: 0.3757, ML: 0.0000, BL: 0.3757, VL: 0.0000  | Var: 0.0017, W:3.7573
