Running LSaliency saliency . . .
Epoch [100/1000], | TL: 1.2582, ML: 0.7928, BL: 0.4654, VL: 0.0000  | Var: 0.0145, W:4.6538
Epoch [200/1000], | TL: 0.5090, ML: 0.0792, BL: 0.4297, VL: 0.0000  | Var: 0.0304, W:4.2973
Epoch [300/1000], | TL: 0.4137, ML: 0.0270, BL: 0.3867, VL: 0.0000  | Var: 0.0412, W:3.8666
Epoch [400/1000], | TL: 0.3647, ML: 0.0159, BL: 0.3488, VL: 0.0000  | Var: 0.0504, W:3.4880
Epoch [500/1000], | TL: 0.3287, ML: 0.0112, BL: 0.3175, VL: 0.0000  | Var: 0.0585, W:3.1749
Epoch [600/1000], | TL: 0.3009, ML: 0.0088, BL: 0.2922, VL: 0.0000  | Var: 0.0654, W:2.9218
Epoch [700/1000], | TL: 0.2791, ML: 0.0073, BL: 0.2719, VL: 0.0000  | Var: 0.0712, W:2.7188
Epoch [800/1000], | TL: 0.2618, ML: 0.0063, BL: 0.2556, VL: 0.0000  | Var: 0.0762, W:2.5558
Epoch [900/1000], | TL: 0.2480, ML: 0.0056, BL: 0.2424, VL: 0.0000  | Var: 0.0803, W:2.4244
Epoch [1000/1000], | TL: 0.2368, ML: 0.0051, BL: 0.2318, VL: 0.0000  | Var: 0.0837, W:2.3176
[0.50%] Candidate 1 took 1.4083s
Epoch [100/1000], | TL: 1.3998, ML: 0.9990, BL: 0.4008, VL: 0.0000  | Var: 0.0072, W:4.0081
Epoch [200/1000], | TL: 1.3342, ML: 0.9992, BL: 0.3350, VL: 0.0000  | Var: 0.0060, W:3.3497
Epoch [300/1000], | TL: 1.2769, ML: 0.9993, BL: 0.2776, VL: 0.0000  | Var: 0.0045, W:2.7758
Epoch [400/1000], | TL: 1.2289, ML: 0.9993, BL: 0.2295, VL: 0.0000  | Var: 0.0032, W:2.2953
Epoch [500/1000], | TL: 1.1897, ML: 0.9994, BL: 0.1904, VL: 0.0000  | Var: 0.0022, W:1.9036
Epoch [600/1000], | TL: 1.1583, ML: 0.9994, BL: 0.1589, VL: 0.0000  | Var: 0.0015, W:1.5889
Epoch [700/1000], | TL: 1.1331, ML: 0.9994, BL: 0.1337, VL: 0.0000  | Var: 0.0010, W:1.3372
Epoch [800/1000], | TL: 1.1129, ML: 0.9994, BL: 0.1136, VL: 0.0000  | Var: 0.0007, W:1.1356
Epoch [900/1000], | TL: 1.0967, ML: 0.9994, BL: 0.0973, VL: 0.0000  | Var: 0.0005, W:0.9731
Epoch [1000/1000], | TL: 1.0835, ML: 0.9994, BL: 0.0841, VL: 0.0000  | Var: 0.0004, W:0.8410
[1.00%] Candidate 2 took 1.3090s
Epoch [100/1000], | TL: 1.4585, ML: 0.9962, BL: 0.4623, VL: 0.0000  | Var: 0.0035, W:4.6232
Epoch [200/1000], | TL: 1.3870, ML: 0.9964, BL: 0.3906, VL: 0.0000  | Var: 0.0030, W:3.9058
Epoch [300/1000], | TL: 1.3222, ML: 0.9965, BL: 0.3256, VL: 0.0000  | Var: 0.0023, W:3.2564
Epoch [400/1000], | TL: 1.2664, ML: 0.9966, BL: 0.2699, VL: 0.0000  | Var: 0.0016, W:2.6989
Epoch [500/1000], | TL: 1.2203, ML: 0.9966, BL: 0.2238, VL: 0.0000  | Var: 0.0011, W:2.2376
Epoch [600/1000], | TL: 1.1830, ML: 0.9966, BL: 0.1864, VL: 0.0000  | Var: 0.0008, W:1.8640
Epoch [700/1000], | TL: 1.1530, ML: 0.9966, BL: 0.1564, VL: 0.0000  | Var: 0.0005, W:1.5644
Epoch [800/1000], | TL: 1.1290, ML: 0.9966, BL: 0.1324, VL: 0.0000  | Var: 0.0004, W:1.3242
Epoch [900/1000], | TL: 1.1097, ML: 0.9966, BL: 0.1131, VL: 0.0000  | Var: 0.0002, W:1.1310
Epoch [1000/1000], | TL: 1.0940, ML: 0.9966, BL: 0.0974, VL: 0.0000  | Var: 0.0002, W:0.9744
[1.50%] Candidate 3 took 1.4028s
Epoch [100/1000], | TL: 1.3685, ML: 0.9965, BL: 0.3721, VL: 0.0000  | Var: 0.0049, W:3.7205
Epoch [200/1000], | TL: 1.3055, ML: 0.9965, BL: 0.3090, VL: 0.0000  | Var: 0.0040, W:3.0900
Epoch [300/1000], | TL: 1.2517, ML: 0.9966, BL: 0.2551, VL: 0.0000  | Var: 0.0029, W:2.5512
Epoch [400/1000], | TL: 1.2073, ML: 0.9966, BL: 0.2107, VL: 0.0000  | Var: 0.0021, W:2.1069
Epoch [500/1000], | TL: 1.1714, ML: 0.9966, BL: 0.1748, VL: 0.0000  | Var: 0.0014, W:1.7484
Epoch [600/1000], | TL: 1.1428, ML: 0.9966, BL: 0.1462, VL: 0.0000  | Var: 0.0010, W:1.4618
Epoch [700/1000], | TL: 1.1199, ML: 0.9966, BL: 0.1233, VL: 0.0000  | Var: 0.0007, W:1.2332
Epoch [800/1000], | TL: 1.1016, ML: 0.9966, BL: 0.1050, VL: 0.0000  | Var: 0.0005, W:1.0499
Epoch [900/1000], | TL: 1.0868, ML: 0.9966, BL: 0.0902, VL: 0.0000  | Var: 0.0003, W:0.9019
Epoch [1000/1000], | TL: 1.0747, ML: 0.9966, BL: 0.0781, VL: 0.0000  | Var: 0.0002, W:0.7813
[2.00%] Candidate 4 took 1.3917s
Epoch [100/1000], | TL: 1.4056, ML: 0.9958, BL: 0.4098, VL: 0.0000  | Var: 0.0083, W:4.0982
Epoch [200/1000], | TL: 1.3396, ML: 0.9960, BL: 0.3436, VL: 0.0000  | Var: 0.0069, W:3.4363
Epoch [300/1000], | TL: 1.2814, ML: 0.9960, BL: 0.2854, VL: 0.0000  | Var: 0.0052, W:2.8536
Epoch [400/1000], | TL: 1.2323, ML: 0.9960, BL: 0.2362, VL: 0.0000  | Var: 0.0037, W:2.3621
Epoch [500/1000], | TL: 1.1920, ML: 0.9961, BL: 0.1960, VL: 0.0000  | Var: 0.0025, W:1.9595
Epoch [600/1000], | TL: 1.1596, ML: 0.9961, BL: 0.1635, VL: 0.0000  | Var: 0.0017, W:1.6352
Epoch [700/1000], | TL: 1.1336, ML: 0.9961, BL: 0.1375, VL: 0.0000  | Var: 0.0012, W:1.3754
Epoch [800/1000], | TL: 1.1128, ML: 0.9961, BL: 0.1167, VL: 0.0000  | Var: 0.0008, W:1.1672
Epoch [900/1000], | TL: 1.0960, ML: 0.9961, BL: 0.0999, VL: 0.0000  | Var: 0.0006, W:0.9994
Epoch [1000/1000], | TL: 1.0824, ML: 0.9961, BL: 0.0863, VL: 0.0000  | Var: 0.0004, W:0.8632
[2.50%] Candidate 5 took 1.3955s
Epoch [100/1000], | TL: 1.2696, ML: 0.8185, BL: 0.4511, VL: 0.0000  | Var: 0.0164, W:4.5108
Epoch [200/1000], | TL: 0.5234, ML: 0.1062, BL: 0.4172, VL: 0.0000  | Var: 0.0349, W:4.1722
Epoch [300/1000], | TL: 0.4111, ML: 0.0344, BL: 0.3767, VL: 0.0000  | Var: 0.0471, W:3.7672
Epoch [400/1000], | TL: 0.3612, ML: 0.0198, BL: 0.3413, VL: 0.0000  | Var: 0.0571, W:3.4132
Epoch [500/1000], | TL: 0.3262, ML: 0.0139, BL: 0.3123, VL: 0.0000  | Var: 0.0656, W:3.1229
Epoch [600/1000], | TL: 0.2996, ML: 0.0107, BL: 0.2889, VL: 0.0000  | Var: 0.0727, W:2.8895
Epoch [700/1000], | TL: 0.2790, ML: 0.0087, BL: 0.2703, VL: 0.0000  | Var: 0.0787, W:2.7028
Epoch [800/1000], | TL: 0.2628, ML: 0.0075, BL: 0.2553, VL: 0.0000  | Var: 0.0837, W:2.5530
Epoch [900/1000], | TL: 0.2498, ML: 0.0065, BL: 0.2432, VL: 0.0000  | Var: 0.0879, W:2.4322
Epoch [1000/1000], | TL: 0.2393, ML: 0.0059, BL: 0.2334, VL: 0.0000  | Var: 0.0913, W:2.3338
[3.00%] Candidate 6 took 1.4045s
Epoch [100/1000], | TL: 1.4158, ML: 0.9954, BL: 0.4204, VL: 0.0000  | Var: 0.0069, W:4.2040
Epoch [200/1000], | TL: 1.3481, ML: 0.9958, BL: 0.3522, VL: 0.0000  | Var: 0.0056, W:3.5224
Epoch [300/1000], | TL: 1.2881, ML: 0.9960, BL: 0.2922, VL: 0.0000  | Var: 0.0041, W:2.9216
Epoch [400/1000], | TL: 1.2376, ML: 0.9960, BL: 0.2416, VL: 0.0000  | Var: 0.0029, W:2.4155
Epoch [500/1000], | TL: 1.1962, ML: 0.9960, BL: 0.2002, VL: 0.0000  | Var: 0.0020, W:2.0018
Epoch [600/1000], | TL: 1.1630, ML: 0.9961, BL: 0.1669, VL: 0.0000  | Var: 0.0014, W:1.6691
Epoch [700/1000], | TL: 1.1364, ML: 0.9961, BL: 0.1403, VL: 0.0000  | Var: 0.0009, W:1.4031
Epoch [800/1000], | TL: 1.1151, ML: 0.9961, BL: 0.1190, VL: 0.0000  | Var: 0.0006, W:1.1901
Epoch [900/1000], | TL: 1.0979, ML: 0.9961, BL: 0.1019, VL: 0.0000  | Var: 0.0005, W:1.0186
Epoch [1000/1000], | TL: 1.0840, ML: 0.9961, BL: 0.0879, VL: 0.0000  | Var: 0.0003, W:0.8794
[3.50%] Candidate 7 took 1.3936s
Epoch [100/1000], | TL: 1.4310, ML: 0.9963, BL: 0.4347, VL: 0.0000  | Var: 0.0058, W:4.3466
Epoch [200/1000], | TL: 1.3622, ML: 0.9966, BL: 0.3656, VL: 0.0000  | Var: 0.0052, W:3.6562
Epoch [300/1000], | TL: 1.3008, ML: 0.9967, BL: 0.3042, VL: 0.0000  | Var: 0.0041, W:3.0418
Epoch [400/1000], | TL: 1.2487, ML: 0.9967, BL: 0.2520, VL: 0.0000  | Var: 0.0030, W:2.5196
Epoch [500/1000], | TL: 1.2057, ML: 0.9967, BL: 0.2090, VL: 0.0000  | Var: 0.0021, W:2.0897
Epoch [600/1000], | TL: 1.1709, ML: 0.9967, BL: 0.1742, VL: 0.0000  | Var: 0.0014, W:1.7422
Epoch [700/1000], | TL: 1.1431, ML: 0.9967, BL: 0.1464, VL: 0.0000  | Var: 0.0009, W:1.4636
Epoch [800/1000], | TL: 1.1208, ML: 0.9967, BL: 0.1240, VL: 0.0000  | Var: 0.0006, W:1.2403
Epoch [900/1000], | TL: 1.1028, ML: 0.9967, BL: 0.1061, VL: 0.0000  | Var: 0.0004, W:1.0606
Epoch [1000/1000], | TL: 1.0882, ML: 0.9967, BL: 0.0915, VL: 0.0000  | Var: 0.0003, W:0.9148
[4.00%] Candidate 8 took 1.4049s
Epoch [100/1000], | TL: 1.4300, ML: 0.9955, BL: 0.4345, VL: 0.0000  | Var: 0.0076, W:4.3449
Epoch [200/1000], | TL: 1.3616, ML: 0.9959, BL: 0.3657, VL: 0.0000  | Var: 0.0066, W:3.6570
Epoch [300/1000], | TL: 1.3003, ML: 0.9960, BL: 0.3043, VL: 0.0000  | Var: 0.0051, W:3.0434
Epoch [400/1000], | TL: 1.2481, ML: 0.9960, BL: 0.2521, VL: 0.0000  | Var: 0.0037, W:2.5208
Epoch [500/1000], | TL: 1.2051, ML: 0.9960, BL: 0.2090, VL: 0.0000  | Var: 0.0025, W:2.0901
Epoch [600/1000], | TL: 1.1703, ML: 0.9961, BL: 0.1742, VL: 0.0000  | Var: 0.0017, W:1.7420
Epoch [700/1000], | TL: 1.1424, ML: 0.9961, BL: 0.1463, VL: 0.0000  | Var: 0.0011, W:1.4629
Epoch [800/1000], | TL: 1.1200, ML: 0.9961, BL: 0.1239, VL: 0.0000  | Var: 0.0008, W:1.2393
Epoch [900/1000], | TL: 1.1020, ML: 0.9961, BL: 0.1059, VL: 0.0000  | Var: 0.0005, W:1.0593
Epoch [1000/1000], | TL: 1.0874, ML: 0.9961, BL: 0.0913, VL: 0.0000  | Var: 0.0004, W:0.9134
[4.50%] Candidate 9 took 1.4077s
Epoch [100/1000], | TL: 1.4062, ML: 0.9967, BL: 0.4095, VL: 0.0000  | Var: 0.0056, W:4.0951
Epoch [200/1000], | TL: 1.3384, ML: 0.9974, BL: 0.3410, VL: 0.0000  | Var: 0.0045, W:3.4096
Epoch [300/1000], | TL: 1.2792, ML: 0.9976, BL: 0.2816, VL: 0.0000  | Var: 0.0033, W:2.8164
Epoch [400/1000], | TL: 1.2300, ML: 0.9977, BL: 0.2323, VL: 0.0000  | Var: 0.0023, W:2.3232
Epoch [500/1000], | TL: 1.1900, ML: 0.9977, BL: 0.1923, VL: 0.0000  | Var: 0.0016, W:1.9233
Epoch [600/1000], | TL: 1.1581, ML: 0.9977, BL: 0.1603, VL: 0.0000  | Var: 0.0011, W:1.6035
Epoch [700/1000], | TL: 1.1326, ML: 0.9977, BL: 0.1348, VL: 0.0000  | Var: 0.0007, W:1.3484
Epoch [800/1000], | TL: 1.1122, ML: 0.9977, BL: 0.1145, VL: 0.0000  | Var: 0.0005, W:1.1445
Epoch [900/1000], | TL: 1.0958, ML: 0.9977, BL: 0.0980, VL: 0.0000  | Var: 0.0003, W:0.9804
Epoch [1000/1000], | TL: 1.0824, ML: 0.9977, BL: 0.0847, VL: 0.0000  | Var: 0.0002, W:0.8472
[5.00%] Candidate 10 took 1.3765s
Epoch [100/1000], | TL: 1.3476, ML: 0.8486, BL: 0.4990, VL: 0.0000  | Var: 0.0136, W:4.9896
Epoch [200/1000], | TL: 0.5514, ML: 0.0882, BL: 0.4632, VL: 0.0000  | Var: 0.0279, W:4.6317
Epoch [300/1000], | TL: 0.4447, ML: 0.0279, BL: 0.4168, VL: 0.0000  | Var: 0.0381, W:4.1680
Epoch [400/1000], | TL: 0.3909, ML: 0.0162, BL: 0.3747, VL: 0.0000  | Var: 0.0470, W:3.7465
Epoch [500/1000], | TL: 0.3505, ML: 0.0114, BL: 0.3391, VL: 0.0000  | Var: 0.0551, W:3.3908
Epoch [600/1000], | TL: 0.3189, ML: 0.0089, BL: 0.3100, VL: 0.0000  | Var: 0.0623, W:3.0998
Epoch [700/1000], | TL: 0.2939, ML: 0.0073, BL: 0.2865, VL: 0.0000  | Var: 0.0686, W:2.8653
Epoch [800/1000], | TL: 0.2740, ML: 0.0063, BL: 0.2677, VL: 0.0000  | Var: 0.0739, W:2.6770
Epoch [900/1000], | TL: 0.2582, ML: 0.0056, BL: 0.2525, VL: 0.0000  | Var: 0.0784, W:2.5254
Epoch [1000/1000], | TL: 0.2454, ML: 0.0051, BL: 0.2403, VL: 0.0000  | Var: 0.0822, W:2.4026
[5.50%] Candidate 11 took 1.3782s
Epoch [100/1000], | TL: 1.4072, ML: 0.9975, BL: 0.4097, VL: 0.0000  | Var: 0.0100, W:4.0971
Epoch [200/1000], | TL: 1.3416, ML: 0.9976, BL: 0.3440, VL: 0.0000  | Var: 0.0083, W:3.4398
