Running LSaliency saliency . . .
Epoch [100/1000], | TL: 0.4513, ML: 0.0000, BL: 0.4513, VL: 0.0000  | Var: 0.0074, W:4.5127
Epoch [200/1000], | TL: 0.3816, ML: 0.0000, BL: 0.3816, VL: 0.0000  | Var: 0.0061, W:3.8158
Epoch [300/1000], | TL: 0.3185, ML: 0.0000, BL: 0.3185, VL: 0.0000  | Var: 0.0047, W:3.1849
Epoch [400/1000], | TL: 0.2642, ML: 0.0000, BL: 0.2642, VL: 0.0000  | Var: 0.0033, W:2.6422
Epoch [500/1000], | TL: 0.2192, ML: 0.0000, BL: 0.2192, VL: 0.0000  | Var: 0.0023, W:2.1920
Epoch [600/1000], | TL: 0.1827, ML: 0.0000, BL: 0.1827, VL: 0.0000  | Var: 0.0015, W:1.8268
Epoch [700/1000], | TL: 0.1533, ML: 0.0000, BL: 0.1533, VL: 0.0000  | Var: 0.0010, W:1.5334
Epoch [800/1000], | TL: 0.1298, ML: 0.0000, BL: 0.1298, VL: 0.0000  | Var: 0.0007, W:1.2982
Epoch [900/1000], | TL: 0.1109, ML: 0.0000, BL: 0.1109, VL: 0.0000  | Var: 0.0005, W:1.1089
Epoch [1000/1000], | TL: 0.0955, ML: 0.0000, BL: 0.0955, VL: 0.0000  | Var: 0.0004, W:0.9554
[0.50%] Candidate 1 took 4.4019s
Epoch [100/1000], | TL: 0.4134, ML: 0.0002, BL: 0.4132, VL: 0.0000  | Var: 0.0083, W:4.1320
Epoch [200/1000], | TL: 0.3536, ML: 0.0005, BL: 0.3532, VL: 0.0000  | Var: 0.0065, W:3.5319
Epoch [300/1000], | TL: 0.3004, ML: 0.0004, BL: 0.3000, VL: 0.0000  | Var: 0.0051, W:3.0000
Epoch [400/1000], | TL: 0.2552, ML: 0.0004, BL: 0.2547, VL: 0.0000  | Var: 0.0044, W:2.5471
Epoch [500/1000], | TL: 0.2178, ML: 0.0004, BL: 0.2174, VL: 0.0000  | Var: 0.0042, W:2.1737
Epoch [600/1000], | TL: 0.1876, ML: 0.0004, BL: 0.1872, VL: 0.0000  | Var: 0.0044, W:1.8716
Epoch [700/1000], | TL: 0.1634, ML: 0.0004, BL: 0.1629, VL: 0.0000  | Var: 0.0048, W:1.6292
Epoch [800/1000], | TL: 0.1439, ML: 0.0004, BL: 0.1435, VL: 0.0000  | Var: 0.0053, W:1.4347
Epoch [900/1000], | TL: 0.1283, ML: 0.0005, BL: 0.1278, VL: 0.0000  | Var: 0.0058, W:1.2781
Epoch [1000/1000], | TL: 0.1155, ML: 0.0005, BL: 0.1151, VL: 0.0000  | Var: 0.0063, W:1.1509
[1.00%] Candidate 2 took 4.7440s
Epoch [100/1000], | TL: 0.4302, ML: 0.0000, BL: 0.4302, VL: 0.0000  | Var: 0.0046, W:4.3018
Epoch [200/1000], | TL: 0.3615, ML: 0.0000, BL: 0.3615, VL: 0.0000  | Var: 0.0040, W:3.6155
Epoch [300/1000], | TL: 0.3006, ML: 0.0000, BL: 0.3006, VL: 0.0000  | Var: 0.0031, W:3.0063
Epoch [400/1000], | TL: 0.2506, ML: 0.0004, BL: 0.2502, VL: 0.0000  | Var: 0.0021, W:2.5019
Epoch [500/1000], | TL: 0.2123, ML: 0.0003, BL: 0.2120, VL: 0.0000  | Var: 0.0014, W:2.1198
Epoch [600/1000], | TL: 0.1813, ML: 0.0003, BL: 0.1810, VL: 0.0000  | Var: 0.0012, W:1.8100
Epoch [700/1000], | TL: 0.1564, ML: 0.0003, BL: 0.1561, VL: 0.0000  | Var: 0.0013, W:1.5610
Epoch [800/1000], | TL: 0.1364, ML: 0.0003, BL: 0.1361, VL: 0.0000  | Var: 0.0015, W:1.3611
Epoch [900/1000], | TL: 0.1203, ML: 0.0003, BL: 0.1200, VL: 0.0000  | Var: 0.0018, W:1.1999
Epoch [1000/1000], | TL: 0.1072, ML: 0.0003, BL: 0.1069, VL: 0.0000  | Var: 0.0021, W:1.0689
[1.50%] Candidate 3 took 4.5225s
Epoch [100/1000], | TL: 0.4481, ML: 0.0000, BL: 0.4481, VL: 0.0000  | Var: 0.0050, W:4.4805
Epoch [200/1000], | TL: 0.3781, ML: 0.0000, BL: 0.3781, VL: 0.0000  | Var: 0.0042, W:3.7808
Epoch [300/1000], | TL: 0.3151, ML: 0.0000, BL: 0.3151, VL: 0.0000  | Var: 0.0033, W:3.1514
Epoch [400/1000], | TL: 0.2613, ML: 0.0000, BL: 0.2613, VL: 0.0000  | Var: 0.0024, W:2.6128
Epoch [500/1000], | TL: 0.2168, ML: 0.0000, BL: 0.2168, VL: 0.0000  | Var: 0.0016, W:2.1676
Epoch [600/1000], | TL: 0.1826, ML: 0.0003, BL: 0.1822, VL: 0.0000  | Var: 0.0012, W:1.8225
Epoch [700/1000], | TL: 0.1575, ML: 0.0003, BL: 0.1572, VL: 0.0000  | Var: 0.0013, W:1.5717
