Running LSaliency saliency . . .
Epoch [100/1000], | TL: 1.4519, ML: 0.9995, BL: 0.4524, VL: 0.0000  | Var: 0.0055, W:4.5243
Epoch [200/1000], | TL: 1.3810, ML: 0.9999, BL: 0.3811, VL: 0.0000  | Var: 0.0048, W:3.8111
Epoch [300/1000], | TL: 1.3171, ML: 0.9999, BL: 0.3172, VL: 0.0000  | Var: 0.0038, W:3.1718
Epoch [400/1000], | TL: 1.2626, ML: 0.9999, BL: 0.2626, VL: 0.0000  | Var: 0.0028, W:2.6263
Epoch [500/1000], | TL: 1.2176, ML: 0.9999, BL: 0.2176, VL: 0.0000  | Var: 0.0019, W:2.1763
Epoch [600/1000], | TL: 1.1812, ML: 0.9999, BL: 0.1812, VL: 0.0000  | Var: 0.0013, W:1.8124
Epoch [700/1000], | TL: 1.1520, ML: 0.9999, BL: 0.1521, VL: 0.0000  | Var: 0.0009, W:1.5209
Epoch [800/1000], | TL: 1.1287, ML: 0.9999, BL: 0.1287, VL: 0.0000  | Var: 0.0006, W:1.2874
Epoch [900/1000], | TL: 1.1099, ML: 0.9999, BL: 0.1100, VL: 0.0000  | Var: 0.0004, W:1.0996
Epoch [1000/1000], | TL: 1.0947, ML: 0.9999, BL: 0.0947, VL: 0.0000  | Var: 0.0003, W:0.9475
[0.50%] Candidate 1 took 4.1859s
Epoch [100/1000], | TL: 1.3993, ML: 0.9999, BL: 0.3994, VL: 0.0000  | Var: 0.0064, W:3.9941
Epoch [200/1000], | TL: 1.3337, ML: 0.9999, BL: 0.3337, VL: 0.0000  | Var: 0.0052, W:3.3372
Epoch [300/1000], | TL: 1.2764, ML: 0.9999, BL: 0.2765, VL: 0.0000  | Var: 0.0039, W:2.7649
Epoch [400/1000], | TL: 1.2286, ML: 0.9999, BL: 0.2286, VL: 0.0000  | Var: 0.0027, W:2.2864
Epoch [500/1000], | TL: 1.1896, ML: 0.9999, BL: 0.1897, VL: 0.0000  | Var: 0.0019, W:1.8967
Epoch [600/1000], | TL: 1.1583, ML: 0.9999, BL: 0.1584, VL: 0.0000  | Var: 0.0013, W:1.5838
Epoch [700/1000], | TL: 1.1333, ML: 0.9999, BL: 0.1334, VL: 0.0000  | Var: 0.0009, W:1.3336
Epoch [800/1000], | TL: 1.1133, ML: 0.9999, BL: 0.1133, VL: 0.0000  | Var: 0.0006, W:1.1331
Epoch [900/1000], | TL: 1.0971, ML: 0.9999, BL: 0.0971, VL: 0.0000  | Var: 0.0004, W:0.9714
Epoch [1000/1000], | TL: 1.0839, ML: 0.9999, BL: 0.0840, VL: 0.0000  | Var: 0.0003, W:0.8399
[1.00%] Candidate 2 took 4.0199s
Epoch [100/1000], | TL: 0.4321, ML: 0.0038, BL: 0.4282, VL: 0.0000  | Var: 0.0083, W:4.2823
Epoch [200/1000], | TL: 0.3734, ML: 0.0026, BL: 0.3708, VL: 0.0000  | Var: 0.0154, W:3.7082
Epoch [300/1000], | TL: 0.3269, ML: 0.0023, BL: 0.3246, VL: 0.0000  | Var: 0.0229, W:3.2456
Epoch [400/1000], | TL: 0.2917, ML: 0.0023, BL: 0.2894, VL: 0.0000  | Var: 0.0299, W:2.8942
Epoch [500/1000], | TL: 0.2656, ML: 0.0023, BL: 0.2633, VL: 0.0000  | Var: 0.0357, W:2.6333
Epoch [600/1000], | TL: 0.2462, ML: 0.0023, BL: 0.2440, VL: 0.0000  | Var: 0.0404, W:2.4397
Epoch [700/1000], | TL: 0.2317, ML: 0.0023, BL: 0.2294, VL: 0.0000  | Var: 0.0442, W:2.2944
Epoch [800/1000], | TL: 0.2206, ML: 0.0023, BL: 0.2184, VL: 0.0000  | Var: 0.0471, W:2.1835
Epoch [900/1000], | TL: 0.2120, ML: 0.0023, BL: 0.2097, VL: 0.0000  | Var: 0.0495, W:2.0975
Epoch [1000/1000], | TL: 0.2052, ML: 0.0023, BL: 0.2029, VL: 0.0000  | Var: 0.0514, W:2.0294
[1.50%] Candidate 3 took 3.9504s
Epoch [100/1000], | TL: 1.3754, ML: 0.9999, BL: 0.3756, VL: 0.0000  | Var: 0.0076, W:3.7557
Epoch [200/1000], | TL: 1.2935, ML: 0.9999, BL: 0.2937, VL: 0.0000  | Var: 0.0054, W:2.9367
Epoch [300/1000], | TL: 1.2278, ML: 0.9999, BL: 0.2279, VL: 0.0000  | Var: 0.0034, W:2.2793
Epoch [400/1000], | TL: 1.1778, ML: 0.9999, BL: 0.1779, VL: 0.0000  | Var: 0.0021, W:1.7788
Epoch [500/1000], | TL: 1.1406, ML: 0.9999, BL: 0.1407, VL: 0.0000  | Var: 0.0012, W:1.4068
Epoch [600/1000], | TL: 1.1130, ML: 0.9999, BL: 0.1131, VL: 0.0000  | Var: 0.0008, W:1.1310
Epoch [700/1000], | TL: 1.0923, ML: 0.9999, BL: 0.0925, VL: 0.0000  | Var: 0.0005, W:0.9246
Epoch [800/1000], | TL: 1.0767, ML: 0.9999, BL: 0.0768, VL: 0.0000  | Var: 0.0003, W:0.7677
Epoch [900/1000], | TL: 1.0645, ML: 0.9999, BL: 0.0646, VL: 0.0000  | Var: 0.0002, W:0.6464
Epoch [1000/1000], | TL: 1.0550, ML: 0.9999, BL: 0.0551, VL: 0.0000  | Var: 0.0001, W:0.5510
[2.00%] Candidate 4 took 3.8416s
Epoch [100/1000], | TL: 0.4897, ML: 0.0279, BL: 0.4618, VL: 0.0000  | Var: 0.0114, W:4.6178
Epoch [200/1000], | TL: 0.4200, ML: 0.0105, BL: 0.4096, VL: 0.0000  | Var: 0.0174, W:4.0957
Epoch [300/1000], | TL: 0.3693, ML: 0.0064, BL: 0.3630, VL: 0.0000  | Var: 0.0237, W:3.6298
Epoch [400/1000], | TL: 0.3283, ML: 0.0046, BL: 0.3236, VL: 0.0000  | Var: 0.0299, W:3.2365
Epoch [500/1000], | TL: 0.2952, ML: 0.0037, BL: 0.2915, VL: 0.0000  | Var: 0.0356, W:2.9145
Epoch [600/1000], | TL: 0.2687, ML: 0.0032, BL: 0.2655, VL: 0.0000  | Var: 0.0406, W:2.6553
Epoch [700/1000], | TL: 0.2476, ML: 0.0028, BL: 0.2448, VL: 0.0000  | Var: 0.0449, W:2.4476
Epoch [800/1000], | TL: 0.2307, ML: 0.0026, BL: 0.2281, VL: 0.0000  | Var: 0.0485, W:2.2809
Epoch [900/1000], | TL: 0.2171, ML: 0.0024, BL: 0.2146, VL: 0.0000  | Var: 0.0516, W:2.1463
Epoch [1000/1000], | TL: 0.2060, ML: 0.0023, BL: 0.2037, VL: 0.0000  | Var: 0.0541, W:2.0368
[2.50%] Candidate 5 took 3.9922s
Epoch [100/1000], | TL: 0.4302, ML: 0.0022, BL: 0.4280, VL: 0.0000  | Var: 0.0054, W:4.2799
Epoch [200/1000], | TL: 0.3678, ML: 0.0022, BL: 0.3656, VL: 0.0000  | Var: 0.0076, W:3.6564
Epoch [300/1000], | TL: 0.3160, ML: 0.0022, BL: 0.3139, VL: 0.0000  | Var: 0.0120, W:3.1385
Epoch [400/1000], | TL: 0.2758, ML: 0.0022, BL: 0.2737, VL: 0.0000  | Var: 0.0173, W:2.7365
Epoch [500/1000], | TL: 0.2457, ML: 0.0022, BL: 0.2435, VL: 0.0000  | Var: 0.0227, W:2.4350
Epoch [600/1000], | TL: 0.2232, ML: 0.0021, BL: 0.2211, VL: 0.0000  | Var: 0.0276, W:2.2109
Epoch [700/1000], | TL: 0.2065, ML: 0.0021, BL: 0.2043, VL: 0.0000  | Var: 0.0319, W:2.0433
Epoch [800/1000], | TL: 0.1938, ML: 0.0021, BL: 0.1916, VL: 0.0000  | Var: 0.0357, W:1.9163
Epoch [900/1000], | TL: 0.1840, ML: 0.0021, BL: 0.1818, VL: 0.0000  | Var: 0.0389, W:1.8184
Epoch [1000/1000], | TL: 0.1763, ML: 0.0021, BL: 0.1742, VL: 0.0000  | Var: 0.0416, W:1.7416
[3.00%] Candidate 6 took 3.7833s
Epoch [100/1000], | TL: 1.4435, ML: 0.9996, BL: 0.4439, VL: 0.0000  | Var: 0.0096, W:4.4394
Epoch [200/1000], | TL: 1.3749, ML: 0.9996, BL: 0.3753, VL: 0.0000  | Var: 0.0080, W:3.7530
Epoch [300/1000], | TL: 1.3129, ML: 0.9996, BL: 0.3133, VL: 0.0000  | Var: 0.0060, W:3.1328
Epoch [400/1000], | TL: 1.2595, ML: 0.9996, BL: 0.2599, VL: 0.0000  | Var: 0.0043, W:2.5993
