Running LSaliency saliency . . .
Epoch [100/1000], | TL: 0.2031, ML: 0.0083, BL: 0.1948, VL: 0.0000  | Var: 0.0074, W:19.4774
Epoch [200/1000], | TL: 0.1254, ML: 0.0075, BL: 0.1179, VL: 0.0000  | Var: 0.0210, W:11.7863
Epoch [300/1000], | TL: 0.1011, ML: 0.0074, BL: 0.0937, VL: 0.0000  | Var: 0.0298, W:9.3727
Epoch [400/1000], | TL: 0.0904, ML: 0.0073, BL: 0.0831, VL: 0.0000  | Var: 0.0359, W:8.3131
Epoch [500/1000], | TL: 0.0847, ML: 0.0072, BL: 0.0775, VL: 0.0000  | Var: 0.0401, W:7.7482
Epoch [600/1000], | TL: 0.0813, ML: 0.0072, BL: 0.0741, VL: 0.0000  | Var: 0.0430, W:7.4081
Epoch [700/1000], | TL: 0.0791, ML: 0.0072, BL: 0.0719, VL: 0.0000  | Var: 0.0451, W:7.1854
Epoch [800/1000], | TL: 0.0775, ML: 0.0072, BL: 0.0703, VL: 0.0000  | Var: 0.0468, W:7.0306
Epoch [900/1000], | TL: 0.0764, ML: 0.0072, BL: 0.0692, VL: 0.0000  | Var: 0.0482, W:6.9181
Epoch [1000/1000], | TL: 0.0755, ML: 0.0072, BL: 0.0683, VL: 0.0000  | Var: 0.0493, W:6.8333
[0.50%] Candidate 1 took 1.1311s
Epoch [100/1000], | TL: 0.4761, ML: 0.0000, BL: 0.4761, VL: 0.0000  | Var: 0.0002, W:47.6055
Epoch [200/1000], | TL: 0.4513, ML: 0.0000, BL: 0.4513, VL: 0.0000  | Var: 0.0002, W:45.1287
Epoch [300/1000], | TL: 0.4269, ML: 0.0000, BL: 0.4269, VL: 0.0000  | Var: 0.0002, W:42.6898
Epoch [400/1000], | TL: 0.4031, ML: 0.0000, BL: 0.4031, VL: 0.0000  | Var: 0.0002, W:40.3063
Epoch [500/1000], | TL: 0.3799, ML: 0.0000, BL: 0.3799, VL: 0.0000  | Var: 0.0002, W:37.9935
Epoch [600/1000], | TL: 0.3576, ML: 0.0000, BL: 0.3576, VL: 0.0000  | Var: 0.0002, W:35.7640
Epoch [700/1000], | TL: 0.3363, ML: 0.0000, BL: 0.3363, VL: 0.0000  | Var: 0.0002, W:33.6275
