Running LSaliency saliency . . .
Epoch [100/1000], | TL: 0.3644, ML: 0.0239, BL: 0.3406, VL: 0.0000  | Var: 0.0833, W:34.0554
Epoch [200/1000], | TL: 0.2805, ML: 0.0172, BL: 0.2633, VL: 0.0000  | Var: 0.1069, W:26.3296
Epoch [300/1000], | TL: 0.2484, ML: 0.0155, BL: 0.2328, VL: 0.0000  | Var: 0.1143, W:23.2843
Epoch [400/1000], | TL: 0.2313, ML: 0.0150, BL: 0.2163, VL: 0.0000  | Var: 0.1171, W:21.6267
Epoch [500/1000], | TL: 0.2205, ML: 0.0149, BL: 0.2056, VL: 0.0000  | Var: 0.1189, W:20.5625
Epoch [600/1000], | TL: 0.2131, ML: 0.0149, BL: 0.1982, VL: 0.0000  | Var: 0.1201, W:19.8200
Epoch [700/1000], | TL: 0.2078, ML: 0.0150, BL: 0.1927, VL: 0.0000  | Var: 0.1215, W:19.2744
Epoch [800/1000], | TL: 0.2037, ML: 0.0151, BL: 0.1887, VL: 0.0000  | Var: 0.1229, W:18.8687
Epoch [900/1000], | TL: 0.2007, ML: 0.0151, BL: 0.1856, VL: 0.0000  | Var: 0.1242, W:18.5568
Epoch [1000/1000], | TL: 0.1982, ML: 0.0151, BL: 0.1831, VL: 0.0000  | Var: 0.1254, W:18.3108
[0.50%] Candidate 1 took 1.1504s
Epoch [100/1000], | TL: 0.2709, ML: 0.0000, BL: 0.2709, VL: 0.0000  | Var: 0.0011, W:27.0922
Epoch [200/1000], | TL: 0.1432, ML: 0.0000, BL: 0.1432, VL: 0.0000  | Var: 0.0003, W:14.3176
Epoch [300/1000], | TL: 0.0850, ML: 0.0000, BL: 0.0850, VL: 0.0000  | Var: 0.0001, W:8.5003
Epoch [400/1000], | TL: 0.0562, ML: 0.0000, BL: 0.0562, VL: 0.0000  | Var: 0.0000, W:5.6159
Epoch [500/1000], | TL: 0.0400, ML: 0.0000, BL: 0.0400, VL: 0.0000  | Var: 0.0000, W:4.0036
Epoch [600/1000], | TL: 0.0301, ML: 0.0000, BL: 0.0301, VL: 0.0000  | Var: 0.0000, W:3.0115
Epoch [700/1000], | TL: 0.0236, ML: 0.0000, BL: 0.0236, VL: 0.0000  | Var: 0.0000, W:2.3554
Epoch [800/1000], | TL: 0.0190, ML: 0.0000, BL: 0.0190, VL: 0.0000  | Var: 0.0000, W:1.8972
