Running LSaliency saliency . . .
Epoch [100/1000], | TL: 0.1555, ML: 0.0031, BL: 0.1524, VL: 0.0000  | Var: 0.0006, W:15.2354
Epoch [200/1000], | TL: 0.0817, ML: 0.0087, BL: 0.0730, VL: 0.0000  | Var: 0.0009, W:7.3011
Epoch [300/1000], | TL: 0.0594, ML: 0.0077, BL: 0.0518, VL: 0.0000  | Var: 0.0025, W:5.1762
Epoch [400/1000], | TL: 0.0493, ML: 0.0074, BL: 0.0419, VL: 0.0000  | Var: 0.0041, W:4.1932
Epoch [500/1000], | TL: 0.0437, ML: 0.0072, BL: 0.0365, VL: 0.0000  | Var: 0.0057, W:3.6483
Epoch [600/1000], | TL: 0.0402, ML: 0.0071, BL: 0.0331, VL: 0.0000  | Var: 0.0073, W:3.3107
Epoch [700/1000], | TL: 0.0379, ML: 0.0071, BL: 0.0309, VL: 0.0000  | Var: 0.0088, W:3.0855
Epoch [800/1000], | TL: 0.0363, ML: 0.0071, BL: 0.0293, VL: 0.0000  | Var: 0.0101, W:2.9271
Epoch [900/1000], | TL: 0.0351, ML: 0.0070, BL: 0.0281, VL: 0.0000  | Var: 0.0113, W:2.8110
Epoch [1000/1000], | TL: 0.0342, ML: 0.0070, BL: 0.0272, VL: 0.0000  | Var: 0.0123, W:2.7232
[0.50%] Candidate 1 took 1.1358s
Epoch [100/1000], | TL: 0.1576, ML: 0.0035, BL: 0.1541, VL: 0.0000  | Var: 0.0005, W:15.4107
Epoch [200/1000], | TL: 0.0825, ML: 0.0085, BL: 0.0739, VL: 0.0000  | Var: 0.0010, W:7.3938
Epoch [300/1000], | TL: 0.0598, ML: 0.0077, BL: 0.0521, VL: 0.0000  | Var: 0.0024, W:5.2136
Epoch [400/1000], | TL: 0.0494, ML: 0.0073, BL: 0.0420, VL: 0.0000  | Var: 0.0043, W:4.2044
Epoch [500/1000], | TL: 0.0436, ML: 0.0072, BL: 0.0363, VL: 0.0000  | Var: 0.0065, W:3.6348
Epoch [600/1000], | TL: 0.0400, ML: 0.0072, BL: 0.0328, VL: 0.0000  | Var: 0.0084, W:3.2813
Epoch [700/1000], | TL: 0.0376, ML: 0.0072, BL: 0.0305, VL: 0.0000  | Var: 0.0100, W:3.0489
Epoch [800/1000], | TL: 0.0360, ML: 0.0071, BL: 0.0289, VL: 0.0000  | Var: 0.0111, W:2.8879
Epoch [900/1000], | TL: 0.0348, ML: 0.0071, BL: 0.0277, VL: 0.0000  | Var: 0.0121, W:2.7709
Epoch [1000/1000], | TL: 0.0339, ML: 0.0071, BL: 0.0268, VL: 0.0000  | Var: 0.0128, W:2.6828
[1.00%] Candidate 2 took 1.1150s
Epoch [100/1000], | TL: 0.1552, ML: 0.0034, BL: 0.1518, VL: 0.0000  | Var: 0.0005, W:15.1807
Epoch [200/1000], | TL: 0.0818, ML: 0.0087, BL: 0.0732, VL: 0.0000  | Var: 0.0010, W:7.3151
Epoch [300/1000], | TL: 0.0596, ML: 0.0077, BL: 0.0519, VL: 0.0000  | Var: 0.0025, W:5.1873
Epoch [400/1000], | TL: 0.0495, ML: 0.0074, BL: 0.0421, VL: 0.0000  | Var: 0.0040, W:4.2083
Epoch [500/1000], | TL: 0.0439, ML: 0.0073, BL: 0.0367, VL: 0.0000  | Var: 0.0055, W:3.6669
Epoch [600/1000], | TL: 0.0405, ML: 0.0072, BL: 0.0333, VL: 0.0000  | Var: 0.0070, W:3.3307
Epoch [700/1000], | TL: 0.0382, ML: 0.0072, BL: 0.0311, VL: 0.0000  | Var: 0.0085, W:3.1051
Epoch [800/1000], | TL: 0.0366, ML: 0.0071, BL: 0.0295, VL: 0.0000  | Var: 0.0100, W:2.9453
Epoch [900/1000], | TL: 0.0354, ML: 0.0071, BL: 0.0283, VL: 0.0000  | Var: 0.0113, W:2.8274
Epoch [1000/1000], | TL: 0.0345, ML: 0.0071, BL: 0.0274, VL: 0.0000  | Var: 0.0125, W:2.7376
[1.50%] Candidate 3 took 1.1110s
Epoch [100/1000], | TL: 0.1579, ML: 0.0066, BL: 0.1513, VL: 0.0000  | Var: 0.0004, W:15.1270
Epoch [200/1000], | TL: 0.0880, ML: 0.0078, BL: 0.0801, VL: 0.0000  | Var: 0.0023, W:8.0126
Epoch [300/1000], | TL: 0.0654, ML: 0.0073, BL: 0.0581, VL: 0.0000  | Var: 0.0049, W:5.8097
Epoch [400/1000], | TL: 0.0551, ML: 0.0072, BL: 0.0479, VL: 0.0000  | Var: 0.0077, W:4.7938
Epoch [500/1000], | TL: 0.0495, ML: 0.0072, BL: 0.0423, VL: 0.0000  | Var: 0.0102, W:4.2335
Epoch [600/1000], | TL: 0.0461, ML: 0.0072, BL: 0.0389, VL: 0.0000  | Var: 0.0124, W:3.8892
Epoch [700/1000], | TL: 0.0438, ML: 0.0072, BL: 0.0366, VL: 0.0000  | Var: 0.0143, W:3.6593
Epoch [800/1000], | TL: 0.0422, ML: 0.0072, BL: 0.0350, VL: 0.0000  | Var: 0.0158, W:3.4970
Epoch [900/1000], | TL: 0.0410, ML: 0.0073, BL: 0.0338, VL: 0.0000  | Var: 0.0170, W:3.3788
Epoch [1000/1000], | TL: 0.0402, ML: 0.0073, BL: 0.0329, VL: 0.0000  | Var: 0.0178, W:3.2908
[2.00%] Candidate 4 took 1.1157s
Epoch [100/1000], | TL: 0.1575, ML: 0.0070, BL: 0.1504, VL: 0.0000  | Var: 0.0004, W:15.0429
Epoch [200/1000], | TL: 0.0876, ML: 0.0077, BL: 0.0799, VL: 0.0000  | Var: 0.0023, W:7.9864
Epoch [300/1000], | TL: 0.0650, ML: 0.0072, BL: 0.0578, VL: 0.0000  | Var: 0.0049, W:5.7830
Epoch [400/1000], | TL: 0.0548, ML: 0.0071, BL: 0.0477, VL: 0.0000  | Var: 0.0076, W:4.7713
Epoch [500/1000], | TL: 0.0492, ML: 0.0071, BL: 0.0421, VL: 0.0000  | Var: 0.0100, W:4.2145
Epoch [600/1000], | TL: 0.0458, ML: 0.0071, BL: 0.0388, VL: 0.0000  | Var: 0.0119, W:3.8758
Epoch [700/1000], | TL: 0.0436, ML: 0.0071, BL: 0.0365, VL: 0.0000  | Var: 0.0134, W:3.6535
Epoch [800/1000], | TL: 0.0421, ML: 0.0071, BL: 0.0350, VL: 0.0000  | Var: 0.0146, W:3.4983
Epoch [900/1000], | TL: 0.0409, ML: 0.0071, BL: 0.0338, VL: 0.0000  | Var: 0.0157, W:3.3847
Epoch [1000/1000], | TL: 0.0401, ML: 0.0071, BL: 0.0330, VL: 0.0000  | Var: 0.0166, W:3.2988
[2.50%] Candidate 5 took 1.1122s
Epoch [100/1000], | TL: 0.1558, ML: 0.0038, BL: 0.1519, VL: 0.0000  | Var: 0.0004, W:15.1943
Epoch [200/1000], | TL: 0.0822, ML: 0.0086, BL: 0.0736, VL: 0.0000  | Var: 0.0010, W:7.3637
Epoch [300/1000], | TL: 0.0595, ML: 0.0076, BL: 0.0520, VL: 0.0000  | Var: 0.0027, W:5.1953
Epoch [400/1000], | TL: 0.0491, ML: 0.0073, BL: 0.0419, VL: 0.0000  | Var: 0.0048, W:4.1872
Epoch [500/1000], | TL: 0.0434, ML: 0.0071, BL: 0.0362, VL: 0.0000  | Var: 0.0071, W:3.6236
Epoch [600/1000], | TL: 0.0398, ML: 0.0071, BL: 0.0327, VL: 0.0000  | Var: 0.0093, W:3.2729
Epoch [700/1000], | TL: 0.0375, ML: 0.0071, BL: 0.0304, VL: 0.0000  | Var: 0.0111, W:3.0388
Epoch [800/1000], | TL: 0.0358, ML: 0.0071, BL: 0.0287, VL: 0.0000  | Var: 0.0127, W:2.8742
Epoch [900/1000], | TL: 0.0346, ML: 0.0071, BL: 0.0275, VL: 0.0000  | Var: 0.0140, W:2.7533
Epoch [1000/1000], | TL: 0.0337, ML: 0.0071, BL: 0.0266, VL: 0.0000  | Var: 0.0150, W:2.6615
[3.00%] Candidate 6 took 1.1087s
Epoch [100/1000], | TL: 0.1607, ML: 0.0072, BL: 0.1536, VL: 0.0000  | Var: 0.0006, W:15.3578
Epoch [200/1000], | TL: 0.0881, ML: 0.0076, BL: 0.0805, VL: 0.0000  | Var: 0.0026, W:8.0548
Epoch [300/1000], | TL: 0.0652, ML: 0.0072, BL: 0.0581, VL: 0.0000  | Var: 0.0051, W:5.8062
Epoch [400/1000], | TL: 0.0549, ML: 0.0070, BL: 0.0479, VL: 0.0000  | Var: 0.0078, W:4.7874
Epoch [500/1000], | TL: 0.0492, ML: 0.0069, BL: 0.0423, VL: 0.0000  | Var: 0.0104, W:4.2260
Epoch [600/1000], | TL: 0.0457, ML: 0.0069, BL: 0.0388, VL: 0.0000  | Var: 0.0128, W:3.8806
Epoch [700/1000], | TL: 0.0434, ML: 0.0068, BL: 0.0365, VL: 0.0000  | Var: 0.0148, W:3.6521
Epoch [800/1000], | TL: 0.0417, ML: 0.0068, BL: 0.0349, VL: 0.0000  | Var: 0.0165, W:3.4925
Epoch [900/1000], | TL: 0.0406, ML: 0.0068, BL: 0.0338, VL: 0.0000  | Var: 0.0179, W:3.3763
Epoch [1000/1000], | TL: 0.0397, ML: 0.0068, BL: 0.0329, VL: 0.0000  | Var: 0.0191, W:3.2889
[3.50%] Candidate 7 took 1.1108s
Epoch [100/1000], | TL: 0.1617, ML: 0.0071, BL: 0.1546, VL: 0.0000  | Var: 0.0007, W:15.4569
Epoch [200/1000], | TL: 0.0885, ML: 0.0076, BL: 0.0808, VL: 0.0000  | Var: 0.0026, W:8.0845
Epoch [300/1000], | TL: 0.0654, ML: 0.0072, BL: 0.0582, VL: 0.0000  | Var: 0.0052, W:5.8193
Epoch [400/1000], | TL: 0.0549, ML: 0.0070, BL: 0.0479, VL: 0.0000  | Var: 0.0080, W:4.7930
Epoch [500/1000], | TL: 0.0492, ML: 0.0069, BL: 0.0423, VL: 0.0000  | Var: 0.0106, W:4.2293
Epoch [600/1000], | TL: 0.0457, ML: 0.0069, BL: 0.0388, VL: 0.0000  | Var: 0.0129, W:3.8833
Epoch [700/1000], | TL: 0.0434, ML: 0.0068, BL: 0.0365, VL: 0.0000  | Var: 0.0149, W:3.6545
Epoch [800/1000], | TL: 0.0418, ML: 0.0068, BL: 0.0349, VL: 0.0000  | Var: 0.0166, W:3.4947
Epoch [900/1000], | TL: 0.0406, ML: 0.0068, BL: 0.0338, VL: 0.0000  | Var: 0.0179, W:3.3782
Epoch [1000/1000], | TL: 0.0397, ML: 0.0068, BL: 0.0329, VL: 0.0000  | Var: 0.0191, W:3.2905
[4.00%] Candidate 8 took 1.1081s
Epoch [100/1000], | TL: 0.1589, ML: 0.0039, BL: 0.1550, VL: 0.0000  | Var: 0.0005, W:15.5040
Epoch [200/1000], | TL: 0.0830, ML: 0.0085, BL: 0.0745, VL: 0.0000  | Var: 0.0010, W:7.4533
