Running LSaliency saliency . . .
Epoch [100/1000], | TL: 1.1477, ML: 0.9978, BL: 0.1499, VL: 0.0000  | Var: 0.0004, W:14.9878
Epoch [200/1000], | TL: 1.0567, ML: 0.9978, BL: 0.0589, VL: 0.0000  | Var: 0.0000, W:5.8940
Epoch [300/1000], | TL: 1.0299, ML: 0.9978, BL: 0.0321, VL: 0.0000  | Var: 0.0000, W:3.2110
Epoch [400/1000], | TL: 1.0184, ML: 0.9978, BL: 0.0206, VL: 0.0000  | Var: 0.0000, W:2.0616
Epoch [500/1000], | TL: 1.0123, ML: 0.9978, BL: 0.0145, VL: 0.0000  | Var: 0.0000, W:1.4540
Epoch [600/1000], | TL: 1.0087, ML: 0.9978, BL: 0.0109, VL: 0.0000  | Var: 0.0000, W:1.0892
Epoch [700/1000], | TL: 1.0063, ML: 0.9978, BL: 0.0085, VL: 0.0000  | Var: 0.0000, W:0.8507
Epoch [800/1000], | TL: 1.0046, ML: 0.9978, BL: 0.0068, VL: 0.0000  | Var: 0.0000, W:0.6850
Epoch [900/1000], | TL: 1.0034, ML: 0.9978, BL: 0.0056, VL: 0.0000  | Var: 0.0000, W:0.5646
Epoch [1000/1000], | TL: 1.0025, ML: 0.9978, BL: 0.0047, VL: 0.0000  | Var: 0.0000, W:0.4740
[0.50%] Candidate 1 took 51.5486s
Epoch [100/1000], | TL: 1.1455, ML: 0.9964, BL: 0.1492, VL: 0.0000  | Var: 0.0005, W:14.9163
Epoch [200/1000], | TL: 1.0550, ML: 0.9964, BL: 0.0586, VL: 0.0000  | Var: 0.0001, W:5.8637
Epoch [300/1000], | TL: 1.0283, ML: 0.9964, BL: 0.0319, VL: 0.0000  | Var: 0.0000, W:3.1943
Epoch [400/1000], | TL: 1.0169, ML: 0.9964, BL: 0.0205, VL: 0.0000  | Var: 0.0000, W:2.0511
Epoch [500/1000], | TL: 1.0109, ML: 0.9964, BL: 0.0145, VL: 0.0000  | Var: 0.0000, W:1.4467
