Running LSaliency saliency . . .
Epoch [100/1000], | TL: 0.2760, ML: 0.0000, BL: 0.2760, VL: 0.0000  | Var: 0.0006, W:27.6002
Epoch [200/1000], | TL: 0.1458, ML: 0.0000, BL: 0.1458, VL: 0.0000  | Var: 0.0002, W:14.5773
Epoch [300/1000], | TL: 0.0865, ML: 0.0000, BL: 0.0864, VL: 0.0000  | Var: 0.0000, W:8.6444
Epoch [400/1000], | TL: 0.0571, ML: 0.0000, BL: 0.0571, VL: 0.0000  | Var: 0.0000, W:5.7056
Epoch [500/1000], | TL: 0.0407, ML: 0.0000, BL: 0.0406, VL: 0.0000  | Var: 0.0000, W:4.0646
Epoch [600/1000], | TL: 0.0306, ML: 0.0000, BL: 0.0306, VL: 0.0000  | Var: 0.0000, W:3.0558
Epoch [700/1000], | TL: 0.0239, ML: 0.0000, BL: 0.0239, VL: 0.0000  | Var: 0.0000, W:2.3891
Epoch [800/1000], | TL: 0.0193, ML: 0.0000, BL: 0.0192, VL: 0.0000  | Var: 0.0000, W:1.9238
Epoch [900/1000], | TL: 0.0159, ML: 0.0000, BL: 0.0158, VL: 0.0000  | Var: 0.0000, W:1.5849
Epoch [1000/1000], | TL: 0.0133, ML: 0.0000, BL: 0.0133, VL: 0.0000  | Var: 0.0000, W:1.3296
[0.50%] Candidate 1 took 1.1327s
Epoch [100/1000], | TL: 0.1070, ML: 0.0081, BL: 0.0988, VL: 0.0000  | Var: 0.0531, W:9.8844
Epoch [200/1000], | TL: 0.1002, ML: 0.0081, BL: 0.0921, VL: 0.0000  | Var: 0.0634, W:9.2084
Epoch [300/1000], | TL: 0.0985, ML: 0.0081, BL: 0.0903, VL: 0.0000  | Var: 0.0664, W:9.0333
Epoch [400/1000], | TL: 0.0977, ML: 0.0081, BL: 0.0896, VL: 0.0000  | Var: 0.0678, W:8.9569
Epoch [500/1000], | TL: 0.0973, ML: 0.0081, BL: 0.0892, VL: 0.0000  | Var: 0.0686, W:8.9157
Epoch [600/1000], | TL: 0.0970, ML: 0.0081, BL: 0.0889, VL: 0.0000  | Var: 0.0692, W:8.8906
Epoch [700/1000], | TL: 0.0969, ML: 0.0081, BL: 0.0887, VL: 0.0000  | Var: 0.0696, W:8.8741
Epoch [800/1000], | TL: 0.0968, ML: 0.0081, BL: 0.0886, VL: 0.0000  | Var: 0.0699, W:8.8625
Epoch [900/1000], | TL: 0.0967, ML: 0.0081, BL: 0.0885, VL: 0.0000  | Var: 0.0701, W:8.8540
Epoch [1000/1000], | TL: 0.0966, ML: 0.0081, BL: 0.0885, VL: 0.0000  | Var: 0.0703, W:8.8475
[1.00%] Candidate 2 took 1.1170s
Epoch [100/1000], | TL: 0.1089, ML: 0.0084, BL: 0.1005, VL: 0.0000  | Var: 0.0635, W:10.0519
Epoch [200/1000], | TL: 0.1025, ML: 0.0084, BL: 0.0941, VL: 0.0000  | Var: 0.0709, W:9.4099
Epoch [300/1000], | TL: 0.1007, ML: 0.0084, BL: 0.0924, VL: 0.0000  | Var: 0.0734, W:9.2350
Epoch [400/1000], | TL: 0.1000, ML: 0.0084, BL: 0.0916, VL: 0.0000  | Var: 0.0746, W:9.1589
Epoch [500/1000], | TL: 0.0996, ML: 0.0084, BL: 0.0912, VL: 0.0000  | Var: 0.0752, W:9.1179
Epoch [600/1000], | TL: 0.0993, ML: 0.0084, BL: 0.0909, VL: 0.0000  | Var: 0.0756, W:9.0929
Epoch [700/1000], | TL: 0.0991, ML: 0.0084, BL: 0.0908, VL: 0.0000  | Var: 0.0759, W:9.0763
Epoch [800/1000], | TL: 0.0990, ML: 0.0084, BL: 0.0906, VL: 0.0000  | Var: 0.0761, W:9.0646
Epoch [900/1000], | TL: 0.0989, ML: 0.0084, BL: 0.0906, VL: 0.0000  | Var: 0.0762, W:9.0561
Epoch [1000/1000], | TL: 0.0989, ML: 0.0084, BL: 0.0905, VL: 0.0000  | Var: 0.0763, W:9.0496
[1.50%] Candidate 3 took 1.1080s
Epoch [100/1000], | TL: 0.2693, ML: 0.0000, BL: 0.2693, VL: 0.0000  | Var: 0.0008, W:26.9317
Epoch [200/1000], | TL: 0.1424, ML: 0.0000, BL: 0.1424, VL: 0.0000  | Var: 0.0002, W:14.2368
Epoch [300/1000], | TL: 0.0846, ML: 0.0000, BL: 0.0846, VL: 0.0000  | Var: 0.0001, W:8.4614
Epoch [400/1000], | TL: 0.0560, ML: 0.0000, BL: 0.0559, VL: 0.0000  | Var: 0.0000, W:5.5946
Epoch [500/1000], | TL: 0.0399, ML: 0.0000, BL: 0.0399, VL: 0.0000  | Var: 0.0000, W:3.9904
Epoch [600/1000], | TL: 0.0300, ML: 0.0000, BL: 0.0300, VL: 0.0000  | Var: 0.0000, W:3.0026
Epoch [700/1000], | TL: 0.0235, ML: 0.0000, BL: 0.0235, VL: 0.0000  | Var: 0.0000, W:2.3490
Epoch [800/1000], | TL: 0.0189, ML: 0.0000, BL: 0.0189, VL: 0.0000  | Var: 0.0000, W:1.8924
Epoch [900/1000], | TL: 0.0156, ML: 0.0000, BL: 0.0156, VL: 0.0000  | Var: 0.0000, W:1.5596
Epoch [1000/1000], | TL: 0.0131, ML: 0.0000, BL: 0.0131, VL: 0.0000  | Var: 0.0000, W:1.3088
[2.00%] Candidate 4 took 1.1111s
Epoch [100/1000], | TL: 0.2744, ML: 0.0000, BL: 0.2744, VL: 0.0000  | Var: 0.0009, W:27.4372
Epoch [200/1000], | TL: 0.1449, ML: 0.0000, BL: 0.1449, VL: 0.0000  | Var: 0.0002, W:14.4935
Epoch [300/1000], | TL: 0.0860, ML: 0.0000, BL: 0.0860, VL: 0.0000  | Var: 0.0001, W:8.5961
Epoch [400/1000], | TL: 0.0568, ML: 0.0000, BL: 0.0567, VL: 0.0000  | Var: 0.0000, W:5.6746
Epoch [500/1000], | TL: 0.0404, ML: 0.0000, BL: 0.0404, VL: 0.0000  | Var: 0.0000, W:4.0431
Epoch [600/1000], | TL: 0.0304, ML: 0.0000, BL: 0.0304, VL: 0.0000  | Var: 0.0000, W:3.0400
Epoch [700/1000], | TL: 0.0238, ML: 0.0000, BL: 0.0238, VL: 0.0000  | Var: 0.0000, W:2.3770
Epoch [800/1000], | TL: 0.0192, ML: 0.0000, BL: 0.0191, VL: 0.0000  | Var: 0.0000, W:1.9141
Epoch [900/1000], | TL: 0.0158, ML: 0.0000, BL: 0.0158, VL: 0.0000  | Var: 0.0000, W:1.5770
Epoch [1000/1000], | TL: 0.0132, ML: 0.0000, BL: 0.0132, VL: 0.0000  | Var: 0.0000, W:1.3231
[2.50%] Candidate 5 took 1.1283s
Epoch [100/1000], | TL: 0.1053, ML: 0.0082, BL: 0.0970, VL: 0.0000  | Var: 0.0594, W:9.7029
Epoch [200/1000], | TL: 0.0993, ML: 0.0083, BL: 0.0910, VL: 0.0000  | Var: 0.0657, W:9.1022
Epoch [300/1000], | TL: 0.0977, ML: 0.0083, BL: 0.0894, VL: 0.0000  | Var: 0.0677, W:8.9395
Epoch [400/1000], | TL: 0.0970, ML: 0.0083, BL: 0.0887, VL: 0.0000  | Var: 0.0685, W:8.8686
Epoch [500/1000], | TL: 0.0966, ML: 0.0083, BL: 0.0883, VL: 0.0000  | Var: 0.0689, W:8.8303
Epoch [600/1000], | TL: 0.0964, ML: 0.0083, BL: 0.0881, VL: 0.0000  | Var: 0.0691, W:8.8068
Epoch [700/1000], | TL: 0.0962, ML: 0.0083, BL: 0.0879, VL: 0.0000  | Var: 0.0693, W:8.7913
Epoch [800/1000], | TL: 0.0961, ML: 0.0083, BL: 0.0878, VL: 0.0000  | Var: 0.0694, W:8.7804
Epoch [900/1000], | TL: 0.0960, ML: 0.0083, BL: 0.0877, VL: 0.0000  | Var: 0.0695, W:8.7724
Epoch [1000/1000], | TL: 0.0960, ML: 0.0083, BL: 0.0877, VL: 0.0000  | Var: 0.0696, W:8.7663
[3.00%] Candidate 6 took 1.1158s
Epoch [100/1000], | TL: 0.2699, ML: 0.0000, BL: 0.2699, VL: 0.0000  | Var: 0.0007, W:26.9912
Epoch [200/1000], | TL: 0.1427, ML: 0.0000, BL: 0.1427, VL: 0.0000  | Var: 0.0002, W:14.2676
Epoch [300/1000], | TL: 0.0848, ML: 0.0000, BL: 0.0848, VL: 0.0000  | Var: 0.0000, W:8.4792
Epoch [400/1000], | TL: 0.0561, ML: 0.0000, BL: 0.0561, VL: 0.0000  | Var: 0.0000, W:5.6060
Epoch [500/1000], | TL: 0.0400, ML: 0.0000, BL: 0.0400, VL: 0.0000  | Var: 0.0000, W:3.9984
Epoch [600/1000], | TL: 0.0301, ML: 0.0000, BL: 0.0301, VL: 0.0000  | Var: 0.0000, W:3.0085
Epoch [700/1000], | TL: 0.0235, ML: 0.0000, BL: 0.0235, VL: 0.0000  | Var: 0.0000, W:2.3536
Epoch [800/1000], | TL: 0.0190, ML: 0.0000, BL: 0.0190, VL: 0.0000  | Var: 0.0000, W:1.8960
Epoch [900/1000], | TL: 0.0156, ML: 0.0000, BL: 0.0156, VL: 0.0000  | Var: 0.0000, W:1.5625
Epoch [1000/1000], | TL: 0.0131, ML: 0.0000, BL: 0.0131, VL: 0.0000  | Var: 0.0000, W:1.3112
[3.50%] Candidate 7 took 1.1244s
Epoch [100/1000], | TL: 0.2724, ML: 0.0000, BL: 0.2724, VL: 0.0000  | Var: 0.0009, W:27.2375
Epoch [200/1000], | TL: 0.1439, ML: 0.0000, BL: 0.1439, VL: 0.0000  | Var: 0.0002, W:14.3922
Epoch [300/1000], | TL: 0.0854, ML: 0.0000, BL: 0.0854, VL: 0.0000  | Var: 0.0001, W:8.5432
