Running LSaliency saliency . . .
Epoch [100/1000], | TL: 0.2680, ML: 0.0000, BL: 0.2680, VL: 0.0000  | Var: 0.0009, W:26.8015
Epoch [200/1000], | TL: 0.1417, ML: 0.0000, BL: 0.1417, VL: 0.0000  | Var: 0.0002, W:14.1702
Epoch [300/1000], | TL: 0.0843, ML: 0.0000, BL: 0.0842, VL: 0.0000  | Var: 0.0001, W:8.4244
Epoch [400/1000], | TL: 0.0557, ML: 0.0000, BL: 0.0557, VL: 0.0000  | Var: 0.0000, W:5.5715
Epoch [500/1000], | TL: 0.0398, ML: 0.0000, BL: 0.0397, VL: 0.0000  | Var: 0.0000, W:3.9746
Epoch [600/1000], | TL: 0.0299, ML: 0.0000, BL: 0.0299, VL: 0.0000  | Var: 0.0000, W:2.9912
Epoch [700/1000], | TL: 0.0234, ML: 0.0000, BL: 0.0234, VL: 0.0000  | Var: 0.0000, W:2.3403
Epoch [800/1000], | TL: 0.0189, ML: 0.0000, BL: 0.0189, VL: 0.0000  | Var: 0.0000, W:1.8855
Epoch [900/1000], | TL: 0.0156, ML: 0.0000, BL: 0.0155, VL: 0.0000  | Var: 0.0000, W:1.5540
Epoch [1000/1000], | TL: 0.0131, ML: 0.0000, BL: 0.0130, VL: 0.0000  | Var: 0.0000, W:1.3042
[0.50%] Candidate 1 took 1.2326s
Epoch [100/1000], | TL: 0.1078, ML: 0.0076, BL: 0.1002, VL: 0.0000  | Var: 0.0623, W:10.0236
Epoch [200/1000], | TL: 0.1019, ML: 0.0075, BL: 0.0943, VL: 0.0000  | Var: 0.0709, W:9.4341
Epoch [300/1000], | TL: 0.1003, ML: 0.0075, BL: 0.0927, VL: 0.0000  | Var: 0.0731, W:9.2724
Epoch [400/1000], | TL: 0.0995, ML: 0.0075, BL: 0.0920, VL: 0.0000  | Var: 0.0741, W:9.2015
Epoch [500/1000], | TL: 0.0992, ML: 0.0075, BL: 0.0916, VL: 0.0000  | Var: 0.0746, W:9.1632
Epoch [600/1000], | TL: 0.0989, ML: 0.0075, BL: 0.0914, VL: 0.0000  | Var: 0.0750, W:9.1399
Epoch [700/1000], | TL: 0.0988, ML: 0.0075, BL: 0.0912, VL: 0.0000  | Var: 0.0752, W:9.1245
Epoch [800/1000], | TL: 0.0987, ML: 0.0075, BL: 0.0911, VL: 0.0000  | Var: 0.0753, W:9.1136
Epoch [900/1000], | TL: 0.0986, ML: 0.0075, BL: 0.0911, VL: 0.0000  | Var: 0.0755, W:9.1057
Epoch [1000/1000], | TL: 0.0985, ML: 0.0075, BL: 0.0910, VL: 0.0000  | Var: 0.0756, W:9.0997
[1.00%] Candidate 2 took 1.1732s
Epoch [100/1000], | TL: 0.1144, ML: 0.0080, BL: 0.1064, VL: 0.0000  | Var: 0.0659, W:10.6436
Epoch [200/1000], | TL: 0.1081, ML: 0.0080, BL: 0.1001, VL: 0.0000  | Var: 0.0731, W:10.0123
Epoch [300/1000], | TL: 0.1064, ML: 0.0080, BL: 0.0984, VL: 0.0000  | Var: 0.0752, W:9.8407
Epoch [400/1000], | TL: 0.1057, ML: 0.0080, BL: 0.0977, VL: 0.0000  | Var: 0.0762, W:9.7657
Epoch [500/1000], | TL: 0.1053, ML: 0.0080, BL: 0.0973, VL: 0.0000  | Var: 0.0767, W:9.7251
Epoch [600/1000], | TL: 0.1050, ML: 0.0080, BL: 0.0970, VL: 0.0000  | Var: 0.0771, W:9.7003
Epoch [700/1000], | TL: 0.1049, ML: 0.0080, BL: 0.0968, VL: 0.0000  | Var: 0.0773, W:9.6839
Epoch [800/1000], | TL: 0.1047, ML: 0.0080, BL: 0.0967, VL: 0.0000  | Var: 0.0775, W:9.6724
Epoch [900/1000], | TL: 0.1047, ML: 0.0080, BL: 0.0966, VL: 0.0000  | Var: 0.0776, W:9.6640
Epoch [1000/1000], | TL: 0.1046, ML: 0.0080, BL: 0.0966, VL: 0.0000  | Var: 0.0777, W:9.6576
[1.50%] Candidate 3 took 1.1694s
Epoch [100/1000], | TL: 0.2684, ML: 0.0000, BL: 0.2684, VL: 0.0000  | Var: 0.0010, W:26.8364
Epoch [200/1000], | TL: 0.1419, ML: 0.0000, BL: 0.1419, VL: 0.0000  | Var: 0.0003, W:14.1878
Epoch [300/1000], | TL: 0.0843, ML: 0.0000, BL: 0.0843, VL: 0.0000  | Var: 0.0001, W:8.4329
Epoch [400/1000], | TL: 0.0558, ML: 0.0000, BL: 0.0558, VL: 0.0000  | Var: 0.0000, W:5.5762
Epoch [500/1000], | TL: 0.0398, ML: 0.0000, BL: 0.0398, VL: 0.0000  | Var: 0.0000, W:3.9776
Epoch [600/1000], | TL: 0.0299, ML: 0.0000, BL: 0.0299, VL: 0.0000  | Var: 0.0000, W:2.9931
Epoch [700/1000], | TL: 0.0234, ML: 0.0000, BL: 0.0234, VL: 0.0000  | Var: 0.0000, W:2.3417
Epoch [800/1000], | TL: 0.0189, ML: 0.0000, BL: 0.0189, VL: 0.0000  | Var: 0.0000, W:1.8866
Epoch [900/1000], | TL: 0.0156, ML: 0.0000, BL: 0.0155, VL: 0.0000  | Var: 0.0000, W:1.5549
Epoch [1000/1000], | TL: 0.0131, ML: 0.0000, BL: 0.0130, VL: 0.0000  | Var: 0.0000, W:1.3048
[2.00%] Candidate 4 took 1.1638s
Epoch [100/1000], | TL: 0.2709, ML: 0.0000, BL: 0.2709, VL: 0.0000  | Var: 0.0009, W:27.0869
Epoch [200/1000], | TL: 0.1432, ML: 0.0000, BL: 0.1432, VL: 0.0000  | Var: 0.0002, W:14.3154
Epoch [300/1000], | TL: 0.0850, ML: 0.0000, BL: 0.0850, VL: 0.0000  | Var: 0.0001, W:8.5018
Epoch [400/1000], | TL: 0.0562, ML: 0.0000, BL: 0.0562, VL: 0.0000  | Var: 0.0000, W:5.6182
Epoch [500/1000], | TL: 0.0401, ML: 0.0000, BL: 0.0401, VL: 0.0000  | Var: 0.0000, W:4.0057
Epoch [600/1000], | TL: 0.0301, ML: 0.0000, BL: 0.0301, VL: 0.0000  | Var: 0.0000, W:3.0134
Epoch [700/1000], | TL: 0.0236, ML: 0.0000, BL: 0.0236, VL: 0.0000  | Var: 0.0000, W:2.3570
Epoch [800/1000], | TL: 0.0190, ML: 0.0000, BL: 0.0190, VL: 0.0000  | Var: 0.0000, W:1.8986
Epoch [900/1000], | TL: 0.0157, ML: 0.0000, BL: 0.0156, VL: 0.0000  | Var: 0.0000, W:1.5645
Epoch [1000/1000], | TL: 0.0131, ML: 0.0000, BL: 0.0131, VL: 0.0000  | Var: 0.0000, W:1.3128
[2.50%] Candidate 5 took 1.1662s
Epoch [100/1000], | TL: 0.1126, ML: 0.0079, BL: 0.1047, VL: 0.0000  | Var: 0.0655, W:10.4703
Epoch [200/1000], | TL: 0.1071, ML: 0.0079, BL: 0.0992, VL: 0.0000  | Var: 0.0727, W:9.9161
Epoch [300/1000], | TL: 0.1055, ML: 0.0079, BL: 0.0976, VL: 0.0000  | Var: 0.0750, W:9.7634
Epoch [400/1000], | TL: 0.1049, ML: 0.0079, BL: 0.0970, VL: 0.0000  | Var: 0.0762, W:9.6965
Epoch [500/1000], | TL: 0.1045, ML: 0.0079, BL: 0.0966, VL: 0.0000  | Var: 0.0768, W:9.6604
Epoch [600/1000], | TL: 0.1043, ML: 0.0079, BL: 0.0964, VL: 0.0000  | Var: 0.0773, W:9.6384
Epoch [700/1000], | TL: 0.1041, ML: 0.0079, BL: 0.0962, VL: 0.0000  | Var: 0.0776, W:9.6238
Epoch [800/1000], | TL: 0.1040, ML: 0.0079, BL: 0.0961, VL: 0.0000  | Var: 0.0778, W:9.6136
Epoch [900/1000], | TL: 0.1040, ML: 0.0079, BL: 0.0961, VL: 0.0000  | Var: 0.0780, W:9.6061
Epoch [1000/1000], | TL: 0.1039, ML: 0.0079, BL: 0.0960, VL: 0.0000  | Var: 0.0781, W:9.6005
[3.00%] Candidate 6 took 1.2064s
Epoch [100/1000], | TL: 0.2673, ML: 0.0000, BL: 0.2673, VL: 0.0000  | Var: 0.0008, W:26.7319
Epoch [200/1000], | TL: 0.1414, ML: 0.0000, BL: 0.1414, VL: 0.0000  | Var: 0.0002, W:14.1356
Epoch [300/1000], | TL: 0.0841, ML: 0.0000, BL: 0.0841, VL: 0.0000  | Var: 0.0001, W:8.4078
Epoch [400/1000], | TL: 0.0556, ML: 0.0000, BL: 0.0556, VL: 0.0000  | Var: 0.0000, W:5.5625
Epoch [500/1000], | TL: 0.0397, ML: 0.0000, BL: 0.0397, VL: 0.0000  | Var: 0.0000, W:3.9692
Epoch [600/1000], | TL: 0.0299, ML: 0.0000, BL: 0.0299, VL: 0.0000  | Var: 0.0000, W:2.9875
Epoch [700/1000], | TL: 0.0234, ML: 0.0000, BL: 0.0234, VL: 0.0000  | Var: 0.0000, W:2.3377
Epoch [800/1000], | TL: 0.0188, ML: 0.0000, BL: 0.0188, VL: 0.0000  | Var: 0.0000, W:1.8836
Epoch [900/1000], | TL: 0.0155, ML: 0.0000, BL: 0.0155, VL: 0.0000  | Var: 0.0000, W:1.5525
Epoch [1000/1000], | TL: 0.0130, ML: 0.0000, BL: 0.0130, VL: 0.0000  | Var: 0.0000, W:1.3030
[3.50%] Candidate 7 took 1.1761s
Epoch [100/1000], | TL: 0.2715, ML: 0.0000, BL: 0.2715, VL: 0.0000  | Var: 0.0007, W:27.1489
Epoch [200/1000], | TL: 0.1435, ML: 0.0000, BL: 0.1435, VL: 0.0000  | Var: 0.0002, W:14.3475
