Running LSaliency saliency . . .
Epoch [100/1000], | TL: 0.2283, ML: 0.0288, BL: 0.1995, VL: 0.0000  | Var: 0.0006, W:19.9496
Epoch [200/1000], | TL: 0.1164, ML: 0.0292, BL: 0.0872, VL: 0.0000  | Var: 0.0001, W:8.7238
Epoch [300/1000], | TL: 0.0778, ML: 0.0293, BL: 0.0486, VL: 0.0000  | Var: 0.0000, W:4.8564
Epoch [400/1000], | TL: 0.0607, ML: 0.0293, BL: 0.0313, VL: 0.0000  | Var: 0.0000, W:3.1347
Epoch [500/1000], | TL: 0.0515, ML: 0.0293, BL: 0.0221, VL: 0.0000  | Var: 0.0000, W:2.2135
Epoch [600/1000], | TL: 0.0459, ML: 0.0293, BL: 0.0166, VL: 0.0000  | Var: 0.0000, W:1.6581
Epoch [700/1000], | TL: 0.0423, ML: 0.0294, BL: 0.0129, VL: 0.0000  | Var: 0.0000, W:1.2944
Epoch [800/1000], | TL: 0.0398, ML: 0.0294, BL: 0.0104, VL: 0.0000  | Var: 0.0000, W:1.0418
Epoch [900/1000], | TL: 0.0379, ML: 0.0294, BL: 0.0086, VL: 0.0000  | Var: 0.0000, W:0.8582
Epoch [1000/1000], | TL: 0.0366, ML: 0.0294, BL: 0.0072, VL: 0.0000  | Var: 0.0000, W:0.7202
[0.50%] Candidate 1 took 1.1516s
Epoch [100/1000], | TL: 0.2025, ML: 0.0000, BL: 0.2025, VL: 0.0000  | Var: 0.0006, W:20.2480
Epoch [200/1000], | TL: 0.0887, ML: 0.0000, BL: 0.0886, VL: 0.0000  | Var: 0.0001, W:8.8630
Epoch [300/1000], | TL: 0.0494, ML: 0.0000, BL: 0.0493, VL: 0.0000  | Var: 0.0000, W:4.9316
Epoch [400/1000], | TL: 0.0319, ML: 0.0000, BL: 0.0318, VL: 0.0000  | Var: 0.0000, W:3.1818
Epoch [500/1000], | TL: 0.0225, ML: 0.0000, BL: 0.0225, VL: 0.0000  | Var: 0.0000, W:2.2461
Epoch [600/1000], | TL: 0.0169, ML: 0.0000, BL: 0.0168, VL: 0.0000  | Var: 0.0000, W:1.6820
Epoch [700/1000], | TL: 0.0132, ML: 0.0000, BL: 0.0131, VL: 0.0000  | Var: 0.0000, W:1.3129
Epoch [800/1000], | TL: 0.0106, ML: 0.0000, BL: 0.0106, VL: 0.0000  | Var: 0.0000, W:1.0565
Epoch [900/1000], | TL: 0.0087, ML: 0.0000, BL: 0.0087, VL: 0.0000  | Var: 0.0000, W:0.8703
Epoch [1000/1000], | TL: 0.0073, ML: 0.0000, BL: 0.0073, VL: 0.0000  | Var: 0.0000, W:0.7302
[1.00%] Candidate 2 took 1.1547s
Epoch [100/1000], | TL: 0.1972, ML: 0.0002, BL: 0.1969, VL: 0.0000  | Var: 0.0006, W:19.6946
Epoch [200/1000], | TL: 0.0868, ML: 0.0002, BL: 0.0865, VL: 0.0000  | Var: 0.0001, W:8.6539
Epoch [300/1000], | TL: 0.0485, ML: 0.0002, BL: 0.0483, VL: 0.0000  | Var: 0.0000, W:4.8299
Epoch [400/1000], | TL: 0.0314, ML: 0.0002, BL: 0.0312, VL: 0.0000  | Var: 0.0000, W:3.1217
Epoch [500/1000], | TL: 0.0223, ML: 0.0002, BL: 0.0221, VL: 0.0000  | Var: 0.0000, W:2.2060
Epoch [600/1000], | TL: 0.0168, ML: 0.0002, BL: 0.0165, VL: 0.0000  | Var: 0.0000, W:1.6532
Epoch [700/1000], | TL: 0.0131, ML: 0.0002, BL: 0.0129, VL: 0.0000  | Var: 0.0000, W:1.2910
Epoch [800/1000], | TL: 0.0106, ML: 0.0002, BL: 0.0104, VL: 0.0000  | Var: 0.0000, W:1.0393
Epoch [900/1000], | TL: 0.0088, ML: 0.0002, BL: 0.0086, VL: 0.0000  | Var: 0.0000, W:0.8563
Epoch [1000/1000], | TL: 0.0074, ML: 0.0002, BL: 0.0072, VL: 0.0000  | Var: 0.0000, W:0.7187
[1.50%] Candidate 3 took 1.1310s
Epoch [100/1000], | TL: 0.2027, ML: 0.0000, BL: 0.2027, VL: 0.0000  | Var: 0.0007, W:20.2657
Epoch [200/1000], | TL: 0.0887, ML: 0.0000, BL: 0.0887, VL: 0.0000  | Var: 0.0001, W:8.8676
Epoch [300/1000], | TL: 0.0494, ML: 0.0000, BL: 0.0493, VL: 0.0000  | Var: 0.0000, W:4.9328
Epoch [400/1000], | TL: 0.0319, ML: 0.0000, BL: 0.0318, VL: 0.0000  | Var: 0.0000, W:3.1821
Epoch [500/1000], | TL: 0.0225, ML: 0.0000, BL: 0.0225, VL: 0.0000  | Var: 0.0000, W:2.2461
Epoch [600/1000], | TL: 0.0169, ML: 0.0000, BL: 0.0168, VL: 0.0000  | Var: 0.0000, W:1.6820
Epoch [700/1000], | TL: 0.0132, ML: 0.0000, BL: 0.0131, VL: 0.0000  | Var: 0.0000, W:1.3128
Epoch [800/1000], | TL: 0.0106, ML: 0.0000, BL: 0.0106, VL: 0.0000  | Var: 0.0000, W:1.0564
Epoch [900/1000], | TL: 0.0087, ML: 0.0000, BL: 0.0087, VL: 0.0000  | Var: 0.0000, W:0.8702
Epoch [1000/1000], | TL: 0.0073, ML: 0.0000, BL: 0.0073, VL: 0.0000  | Var: 0.0000, W:0.7301
[2.00%] Candidate 4 took 1.1272s
Epoch [100/1000], | TL: 0.1982, ML: 0.0003, BL: 0.1979, VL: 0.0000  | Var: 0.0005, W:19.7897
Epoch [200/1000], | TL: 0.0873, ML: 0.0004, BL: 0.0869, VL: 0.0000  | Var: 0.0001, W:8.6915
Epoch [300/1000], | TL: 0.0489, ML: 0.0004, BL: 0.0485, VL: 0.0000  | Var: 0.0000, W:4.8491
