prathyushsp@Prathyushs-MacBook-Pro ~/G/TimeSeriesSaliencyMaps (test-lmux)> /Users/prathyushsp/anaconda3/envs/py36/bin/python3 /Users/prathyushsp/Git/TimeSeriesSaliencyMaps/nte/bbm_model_trainer.py
Loading train data . . .
columns are
Index(['att1', 'att2', 'att3', 'att4', 'att5', 'att6', 'att7', 'att8', 'att9',
       'att10',
       ...
       'att1452', 'att1453', 'att1454', 'att1455', 'att1456', 'att1457',
       'att1458', 'att1459', 'att1460', 'target'],
      dtype='object', length=1461)
Loading test data . . .
Loading meta file . . .
Meta file loaded successfully
Hyperparams:

{
  "loss": "ce",
  "learning_rate": 0.001,
  "num_epochs": 500,
  "num_classes": 10,
  "batch_size": 32,
  "model_save_path": "/Users/prathyushsp/Git/TimeSeriesSaliencyMaps/nte/trained_models//all_bbms/",
  "model_name": "ACSF_cnn_mse"
}



Epoch [1/500] 0.20% | Loss: 2.3976 |  Accuracy: 0.08 | Confidence: nan
Epoch [2/500] 0.40% | Loss: 1.9882 |  Accuracy: 0.32 | Confidence: 0.20
Epoch [3/500] 0.60% | Loss: 1.8709 |  Accuracy: 0.35 | Confidence: 0.29
Epoch [4/500] 0.80% | Loss: 1.7955 |  Accuracy: 0.36 | Confidence: 0.34
Epoch [5/500] 1.00% | Loss: 1.6961 |  Accuracy: 0.49 | Confidence: 0.31
Epoch [6/500] 1.20% | Loss: 1.6439 |  Accuracy: 0.53 | Confidence: 0.31
Epoch [7/500] 1.40% | Loss: 1.5242 |  Accuracy: 0.57 | Confidence: 0.34
Epoch [8/500] 1.60% | Loss: 1.5030 |  Accuracy: 0.59 | Confidence: 0.38
Epoch [9/500] 1.80% | Loss: 1.4317 |  Accuracy: 0.60 | Confidence: 0.40
Epoch [10/500] 2.00% | Loss: 1.3936 |  Accuracy: 0.59 | Confidence: 0.43
Epoch [11/500] 2.20% | Loss: 1.3409 |  Accuracy: 0.62 | Confidence: 0.42
Epoch [12/500] 2.40% | Loss: 1.3380 |  Accuracy: 0.62 | Confidence: 0.42
Epoch [13/500] 2.60% | Loss: 1.2783 |  Accuracy: 0.64 | Confidence: 0.45
Epoch [14/500] 2.80% | Loss: 1.2561 |  Accuracy: 0.62 | Confidence: 0.46
Epoch [15/500] 3.00% | Loss: 1.2400 |  Accuracy: 0.66 | Confidence: 0.46
Epoch [16/500] 3.20% | Loss: 1.2148 |  Accuracy: 0.66 | Confidence: 0.47
Epoch [17/500] 3.40% | Loss: 1.1612 |  Accuracy: 0.67 | Confidence: 0.49
Epoch [18/500] 3.60% | Loss: 1.1427 |  Accuracy: 0.70 | Confidence: 0.48
Epoch [19/500] 3.80% | Loss: 1.1268 |  Accuracy: 0.71 | Confidence: 0.49
Epoch [20/500] 4.00% | Loss: 1.1113 |  Accuracy: 0.70 | Confidence: 0.50
Epoch [21/500] 4.20% | Loss: 1.0951 |  Accuracy: 0.71 | Confidence: 0.51
Epoch [22/500] 4.40% | Loss: 1.0750 |  Accuracy: 0.71 | Confidence: 0.51
Epoch [23/500] 4.60% | Loss: 1.0817 |  Accuracy: 0.72 | Confidence: 0.51
Epoch [24/500] 4.80% | Loss: 1.0443 |  Accuracy: 0.71 | Confidence: 0.53
