Config: 
 {
  "model_save_path": "/tmp/",
  "model": "cnn",
  "loss": "ce",
  "model_name": "AtrialFibrilation_mc_cnn_ce_mc",
  "dependency_meta": "",
  "timesteps": 1280,
  "num_classes": 3,
  "num_features": 2,
  "rnn_config": {
    "ninp": 1,
    "nhid": 75,
    "nlayers": 3,
    "nclasses": 3
  },
  "dnn_config": {
    "layers": [
      2100,
      900,
      300,
      3
    ]
  },
  "cnn_config": {
    "ninp": 1,
    "nlayers": 3,
    "nclasses": 3
  },
  "batch_size": 1,
  "num_epochs": 500,
  "learning_rate": 0.001
}
Model: 
 CNN(
  (cnn_cell): Conv2d(1, 1, kernel_size=(1, 1), stride=(1, 1))
  (fc1): Linear(in_features=1280, out_features=10, bias=True)
  (fc2): Linear(in_features=10, out_features=3, bias=True)
)
Epoch[1/500] | Loss:1.6913 |Acc: 26.6667|Pred Confidence: nan | C 0:0.4552 | C 1:nan | C 2:nan| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[2/500] | Loss:0.9256 |Acc: 66.6667|Pred Confidence: nan | C 0:0.4570 | C 1:0.3741 | C 2:0.4288| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[3/500] | Loss:0.9379 |Acc: 60.0000|Pred Confidence: nan | C 0:0.3973 | C 1:0.3901 | C 2:0.5194| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[4/500] | Loss:0.8438 |Acc: 80.0000|Pred Confidence: nan | C 0:0.4197 | C 1:0.4546 | C 2:0.5194| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[5/500] | Loss:0.7172 |Acc: 100.0000|Pred Confidence: 0.50 | C 0:0.4260 | C 1:0.5056 | C 2:0.5716| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[6/500] | Loss:0.6137 |Acc: 100.0000|Pred Confidence: 0.56 | C 0:0.4833 | C 1:0.5444 | C 2:0.6385| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[7/500] | Loss:0.5219 |Acc: 100.0000|Pred Confidence: 0.61 | C 0:0.5345 | C 1:0.5995 | C 2:0.6898| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[8/500] | Loss:0.4356 |Acc: 100.0000|Pred Confidence: 0.66 | C 0:0.5884 | C 1:0.6596 | C 2:0.7345| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[9/500] | Loss:0.3577 |Acc: 100.0000|Pred Confidence: 0.71 | C 0:0.6448 | C 1:0.7137 | C 2:0.7766| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[10/500] | Loss:0.2901 |Acc: 100.0000|Pred Confidence: 0.76 | C 0:0.6998 | C 1:0.7618 | C 2:0.8139| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[11/500] | Loss:0.2333 |Acc: 100.0000|Pred Confidence: 0.80 | C 0:0.7502 | C 1:0.8043 | C 2:0.8455| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
