Config: 
 {
  "model_name": "BlipV3Dataset_model_rnn_loss_ce_lr_0.0005_epochs_200",
  "model_save_path": "/home/ramesh/work/TimeSeriesSaliencyMaps/nte/trained_models/all_bbms/",
  "model": "rnn",
  "loss": "ce",
  "timesteps": 10,
  "num_classes": 2,
  "rnn_config": {
    "ninp": 1,
    "nhid": 20,
    "nlayers": 1,
    "nclasses": 2
  },
  "dnn_config": {
    "layers": [
      10,
      10,
      2
    ]
  },
  "batch_size": 32,
  "num_epochs": 200,
  "learning_rate": 0.0005,
  "dependency_meta": ""
}
Model: 
 RNN(
  (rnn_cell): GRU(1, 20, batch_first=True)
  (fc1): Linear(in_features=20, out_features=2, bias=True)
)
Epoch [1/200] | Loss: 0.6951 |  Accuracy: 0.4787 | Prediction Confidence: 0.51 | Class 0:0.5141 | Class 1:0.5062
Epoch [2/200] | Loss: 0.6922 |  Accuracy: 0.4800 | Prediction Confidence: 0.51 | Class 0:0.5038 | Class 1:0.5107
Epoch [3/200] | Loss: 0.6883 |  Accuracy: 0.5312 | Prediction Confidence: 0.52 | Class 0:0.5034 | Class 1:0.5170
Epoch [4/200] | Loss: 0.6630 |  Accuracy: 0.6412 | Prediction Confidence: 0.54 | Class 0:0.5140 | Class 1:0.5481
Epoch [5/200] | Loss: 0.3570 |  Accuracy: 0.9225 | Prediction Confidence: 0.73 | Class 0:0.6845 | Class 1:0.7791
Epoch [6/200] | Loss: 0.0356 |  Accuracy: 1.0000 | Prediction Confidence: 0.96 | Class 0:0.9513 | Class 1:0.9778
Epoch [7/200] | Loss: 0.0123 |  Accuracy: 1.0000 | Prediction Confidence: 0.99 | Class 0:0.9832 | Class 1:0.9921
Epoch [8/200] | Loss: 0.0072 |  Accuracy: 1.0000 | Prediction Confidence: 0.99 | Class 0:0.9904 | Class 1:0.9952
Epoch [9/200] | Loss: 0.0049 |  Accuracy: 1.0000 | Prediction Confidence: 1.00 | Class 0:0.9935 | Class 1:0.9966
Epoch [10/200] | Loss: 0.0037 |  Accuracy: 1.0000 | Prediction Confidence: 1.00 | Class 0:0.9953 | Class 1:0.9974
Epoch [11/200] | Loss: 0.0029 |  Accuracy: 1.0000 | Prediction Confidence: 1.00 | Class 0:0.9963 | Class 1:0.9979
Epoch [12/200] | Loss: 0.0023 |  Accuracy: 1.0000 | Prediction Confidence: 1.00 | Class 0:0.9971 | Class 1:0.9983
