Config: 
 {
  "model_name": "WaferDataset_model_rnn_loss_ce_lr_0.0005_epochs_200",
  "model_save_path": "/home/ramesh/work/TimeSeriesSaliencyMaps/nte/trained_models/all_bbms/",
  "model": "rnn",
  "loss": "ce",
  "timesteps": 152,
  "num_classes": 2,
  "rnn_config": {
    "ninp": 1,
    "nhid": 20,
    "nlayers": 1,
    "nclasses": 2
  },
  "dnn_config": {
    "layers": [
      10,
      10,
      2
    ]
  },
  "batch_size": 32,
  "num_epochs": 200,
  "learning_rate": 0.0005,
  "data_set": "WaferDataset",
  "dependency_meta": ""
}
Model: 
 RNN(
  (rnn_cell): GRU(1, 20, batch_first=True)
  (fc1): Linear(in_features=20, out_features=2, bias=True)
)
Epoch [1/200] | Loss: 0.7245 |  Accuracy: 0.4124 | Prediction Confidence: nan | Class 0:0.5560 | Class 1:0.5040
Epoch [2/200] | Loss: 0.7082 |  Accuracy: 0.4379 | Prediction Confidence: nan | Class 0:0.5344 | Class 1:0.5069
Epoch [3/200] | Loss: 0.7067 |  Accuracy: 0.4196 | Prediction Confidence: nan | Class 0:0.5245 | Class 1:0.5089
Epoch [4/200] | Loss: 0.7056 |  Accuracy: 0.4111 | Prediction Confidence: nan | Class 0:0.5194 | Class 1:0.5094
Epoch [5/200] | Loss: 0.7048 |  Accuracy: 0.4046 | Prediction Confidence: nan | Class 0:0.5159 | Class 1:0.5099
Epoch [6/200] | Loss: 0.7041 |  Accuracy: 0.3987 | Prediction Confidence: nan | Class 0:0.5136 | Class 1:0.5098
Epoch [7/200] | Loss: 0.7035 |  Accuracy: 0.3993 | Prediction Confidence: nan | Class 0:0.5118 | Class 1:0.5099
Epoch [8/200] | Loss: 0.7029 |  Accuracy: 0.3928 | Prediction Confidence: nan | Class 0:0.5102 | Class 1:0.5100
Epoch [9/200] | Loss: 0.7024 |  Accuracy: 0.3908 | Prediction Confidence: nan | Class 0:0.5088 | Class 1:0.5099
Epoch [10/200] | Loss: 0.7020 |  Accuracy: 0.3922 | Prediction Confidence: nan | Class 0:0.5084 | Class 1:0.5095
Epoch [11/200] | Loss: 0.7015 |  Accuracy: 0.3935 | Prediction Confidence: nan | Class 0:0.5074 | Class 1:0.5093
Epoch [12/200] | Loss: 0.7011 |  Accuracy: 0.3915 | Prediction Confidence: nan | Class 0:0.5067 | Class 1:0.5091
Epoch [13/200] | Loss: 0.7008 |  Accuracy: 0.3876 | Prediction Confidence: nan | Class 0:0.5061 | Class 1:0.5089
Epoch [14/200] | Loss: 0.7004 |  Accuracy: 0.3889 | Prediction Confidence: nan | Class 0:0.5057 | Class 1:0.5086
Epoch [15/200] | Loss: 0.7001 |  Accuracy: 0.3941 | Prediction Confidence: nan | Class 0:0.5051 | Class 1:0.5084
Epoch [16/200] | Loss: 0.6998 |  Accuracy: 0.3967 | Prediction Confidence: nan | Class 0:0.5045 | Class 1:0.5081
Epoch [17/200] | Loss: 0.6995 |  Accuracy: 0.3935 | Prediction Confidence: nan | Class 0:0.5043 | Class 1:0.5079
Epoch [18/200] | Loss: 0.6993 |  Accuracy: 0.3902 | Prediction Confidence: nan | Class 0:0.5040 | Class 1:0.5079
Epoch [19/200] | Loss: 0.6990 |  Accuracy: 0.3889 | Prediction Confidence: nan | Class 0:0.5038 | Class 1:0.5077
Epoch [20/200] | Loss: 0.6988 |  Accuracy: 0.3863 | Prediction Confidence: nan | Class 0:0.5037 | Class 1:0.5076
Epoch [21/200] | Loss: 0.6986 |  Accuracy: 0.3843 | Prediction Confidence: nan | Class 0:0.5037 | Class 1:0.5074
Epoch [22/200] | Loss: 0.6984 |  Accuracy: 0.3869 | Prediction Confidence: nan | Class 0:0.5033 | Class 1:0.5073
Epoch [23/200] | Loss: 0.6983 |  Accuracy: 0.3876 | Prediction Confidence: nan | Class 0:0.5030 | Class 1:0.5073
Epoch [24/200] | Loss: 0.6981 |  Accuracy: 0.3882 | Prediction Confidence: nan | Class 0:0.5028 | Class 1:0.5072
Epoch [25/200] | Loss: 0.6980 |  Accuracy: 0.3889 | Prediction Confidence: nan | Class 0:0.5026 | Class 1:0.5073
Epoch [26/200] | Loss: 0.6982 |  Accuracy: 0.3876 | Prediction Confidence: nan | Class 0:0.5026 | Class 1:0.5070
Epoch [27/200] | Loss: 0.6978 |  Accuracy: 0.3889 | Prediction Confidence: nan | Class 0:0.5024 | Class 1:0.5068
Epoch [28/200] | Loss: 0.6976 |  Accuracy: 0.3889 | Prediction Confidence: nan | Class 0:0.5022 | Class 1:0.5069
Epoch [29/200] | Loss: 0.6975 |  Accuracy: 0.3882 | Prediction Confidence: nan | Class 0:0.5021 | Class 1:0.5069
Epoch [30/200] | Loss: 0.6975 |  Accuracy: 0.3882 | Prediction Confidence: nan | Class 0:0.5022 | Class 1:0.5068
Epoch [31/200] | Loss: 0.6974 |  Accuracy: 0.3876 | Prediction Confidence: nan | Class 0:0.5021 | Class 1:0.5067
Epoch [32/200] | Loss: 0.6975 |  Accuracy: 0.3895 | Prediction Confidence: nan | Class 0:0.5020 | Class 1:0.5067
Epoch [33/200] | Loss: 0.6974 |  Accuracy: 0.3889 | Prediction Confidence: nan | Class 0:0.5019 | Class 1:0.5066
Epoch [34/200] | Loss: 0.6973 |  Accuracy: 0.3902 | Prediction Confidence: nan | Class 0:0.5019 | Class 1:0.5066
Epoch [35/200] | Loss: 0.6972 |  Accuracy: 0.3895 | Prediction Confidence: nan | Class 0:0.5019 | Class 1:0.5065
Epoch [36/200] | Loss: 0.6972 |  Accuracy: 0.3895 | Prediction Confidence: nan | Class 0:0.5019 | Class 1:0.5064
Epoch [37/200] | Loss: 0.6972 |  Accuracy: 0.3902 | Prediction Confidence: nan | Class 0:0.5020 | Class 1:0.5064
Epoch [38/200] | Loss: 0.6972 |  Accuracy: 0.3941 | Prediction Confidence: nan | Class 0:0.5021 | Class 1:0.5063
Epoch [39/200] | Loss: 0.6973 |  Accuracy: 0.3974 | Prediction Confidence: nan | Class 0:0.5024 | Class 1:0.5064
Epoch [40/200] | Loss: 0.6973 |  Accuracy: 0.3948 | Prediction Confidence: nan | Class 0:0.5021 | Class 1:0.5063
Epoch [41/200] | Loss: 0.6972 |  Accuracy: 0.3876 | Prediction Confidence: nan | Class 0:0.5016 | Class 1:0.5061
Epoch [42/200] | Loss: 0.6971 |  Accuracy: 0.3895 | Prediction Confidence: nan | Class 0:0.5017 | Class 1:0.5061
Epoch [43/200] | Loss: 0.6971 |  Accuracy: 0.3895 | Prediction Confidence: nan | Class 0:0.5019 | Class 1:0.5059
Epoch [44/200] | Loss: 0.6971 |  Accuracy: 0.3876 | Prediction Confidence: nan | Class 0:0.5019 | Class 1:0.5059
Epoch [45/200] | Loss: 0.6971 |  Accuracy: 0.3922 | Prediction Confidence: nan | Class 0:0.5019 | Class 1:0.5058
Epoch [46/200] | Loss: 0.6970 |  Accuracy: 0.3928 | Prediction Confidence: nan | Class 0:0.5020 | Class 1:0.5056
Epoch [47/200] | Loss: 0.6970 |  Accuracy: 0.3922 | Prediction Confidence: nan | Class 0:0.5022 | Class 1:0.5057
