Config: 
 {
  "model_name": "cricketx_rnn_ce",
  "model_save_path": "/tmp/",
  "model": "rnn",
  "loss": "ce",
  "timesteps": 300,
  "num_classes": 2,
  "rnn_config": {
    "ninp": 1,
    "nhid": 20,
    "nlayers": 1,
    "nclasses": 2
  },
  "dnn_config": {
    "layers": [
      10,
      10,
      2
    ]
  },
  "batch_size": 2,
  "num_epochs": 300,
  "learning_rate": 0.005,
  "dependency_meta": ""
}
Model: 
 RNN(
  (rnn_cell): GRU(1, 20, batch_first=True)
  (fc1): Linear(in_features=20, out_features=2, bias=True)
)
Epoch [1/300] | Loss: 0.6798 |  Accuracy: 0.6238 | Prediction Confidence: 0.53 | Class 0:0.5372 | Class 1:0.5273
Epoch [2/300] | Loss: 0.6646 |  Accuracy: 0.6238 | Prediction Confidence: 0.57 | Class 0:0.5776 | Class 1:0.5530
Epoch [3/300] | Loss: 0.6550 |  Accuracy: 0.6381 | Prediction Confidence: 0.60 | Class 0:0.6046 | Class 1:0.5919
Epoch [4/300] | Loss: 0.6501 |  Accuracy: 0.6524 | Prediction Confidence: 0.63 | Class 0:0.6271 | Class 1:0.6305
Epoch [5/300] | Loss: 0.6487 |  Accuracy: 0.6524 | Prediction Confidence: 0.65 | Class 0:0.6438 | Class 1:0.6569
Epoch [6/300] | Loss: 0.6478 |  Accuracy: 0.6524 | Prediction Confidence: 0.66 | Class 0:0.6505 | Class 1:0.6644
Epoch [7/300] | Loss: 0.6469 |  Accuracy: 0.6524 | Prediction Confidence: 0.66 | Class 0:0.6488 | Class 1:0.6613
Epoch [8/300] | Loss: 0.6465 |  Accuracy: 0.6524 | Prediction Confidence: 0.65 | Class 0:0.6448 | Class 1:0.6556
Epoch [9/300] | Loss: 0.6463 |  Accuracy: 0.6524 | Prediction Confidence: 0.65 | Class 0:0.6422 | Class 1:0.6513
Epoch [10/300] | Loss: 0.6462 |  Accuracy: 0.6524 | Prediction Confidence: 0.65 | Class 0:0.6418 | Class 1:0.6494
Epoch [11/300] | Loss: 0.6461 |  Accuracy: 0.6524 | Prediction Confidence: 0.65 | Class 0:0.6427 | Class 1:0.6494
