Config: 
 {
  "model_name": "earthquakes_rnn_ce",
  "model_save_path": "/tmp/",
  "model": "rnn",
  "loss": "ce",
  "timesteps": 512,
  "num_classes": 2,
  "rnn_config": {
    "ninp": 1,
    "nhid": 20,
    "nlayers": 1,
    "nclasses": 2
  },
  "dnn_config": {
    "layers": [
      10,
      10,
      2
    ]
  },
  "batch_size": 32,
  "num_epochs": 200,
  "learning_rate": 0.05,
  "dependency_meta": ""
}
Model: 
 RNN(
  (rnn_cell): GRU(1, 20, batch_first=True)
  (fc1): Linear(in_features=20, out_features=2, bias=True)
)
Epoch [1/200] | Loss: 0.4790 |  Accuracy: 0.8030 | Prediction Confidence: 0.79 | Class 0:0.8144 | Class 1:0.5905
Epoch [2/200] | Loss: 0.4374 |  Accuracy: 0.8242 | Prediction Confidence: 0.84 | Class 0:0.8575 | Class 1:0.6200
Epoch [3/200] | Loss: 0.4334 |  Accuracy: 0.8303 | Prediction Confidence: 0.82 | Class 0:0.8546 | Class 1:0.5751
Epoch [4/200] | Loss: 0.4282 |  Accuracy: 0.8273 | Prediction Confidence: 0.82 | Class 0:0.8549 | Class 1:0.6179
Epoch [5/200] | Loss: 0.4340 |  Accuracy: 0.8212 | Prediction Confidence: 0.83 | Class 0:0.8546 | Class 1:0.6028
Epoch [6/200] | Loss: 0.4172 |  Accuracy: 0.8303 | Prediction Confidence: 0.83 | Class 0:0.8657 | Class 1:0.6041
Epoch [7/200] | Loss: 0.4249 |  Accuracy: 0.8273 | Prediction Confidence: 0.83 | Class 0:0.8611 | Class 1:0.6162
Epoch [8/200] | Loss: 0.4309 |  Accuracy: 0.8182 | Prediction Confidence: 0.83 | Class 0:0.8537 | Class 1:0.5473
Epoch [9/200] | Loss: 0.4167 |  Accuracy: 0.8273 | Prediction Confidence: 0.83 | Class 0:0.8646 | Class 1:0.5742
Epoch [10/200] | Loss: 0.4144 |  Accuracy: 0.8212 | Prediction Confidence: 0.83 | Class 0:0.8638 | Class 1:0.6187
Epoch [11/200] | Loss: 0.4007 |  Accuracy: 0.8303 | Prediction Confidence: 0.82 | Class 0:0.8663 | Class 1:0.5770
Epoch [12/200] | Loss: 0.3978 |  Accuracy: 0.8364 | Prediction Confidence: 0.82 | Class 0:0.8687 | Class 1:0.5817
Epoch [13/200] | Loss: 0.3962 |  Accuracy: 0.8394 | Prediction Confidence: 0.82 | Class 0:0.8704 | Class 1:0.6224
Epoch [14/200] | Loss: 0.4217 |  Accuracy: 0.8212 | Prediction Confidence: 0.84 | Class 0:0.8640 | Class 1:0.6446
Epoch [15/200] | Loss: 0.4541 |  Accuracy: 0.7909 | Prediction Confidence: 0.85 | Class 0:0.8862 | Class 1:0.6744
Epoch [16/200] | Loss: 0.5836 |  Accuracy: 0.7848 | Prediction Confidence: 0.84 | Class 0:0.8418 | Class 1:0.6080
Epoch [17/200] | Loss: 0.5093 |  Accuracy: 0.8091 | Prediction Confidence: 0.84 | Class 0:0.8557 | Class 1:0.6735
Epoch [18/200] | Loss: 0.5066 |  Accuracy: 0.8182 | Prediction Confidence: 0.82 | Class 0:0.8499 | Class 1:0.5838
Epoch [19/200] | Loss: 0.5029 |  Accuracy: 0.8273 | Prediction Confidence: 0.82 | Class 0:0.8510 | Class 1:0.5928
Epoch [20/200] | Loss: 0.4868 |  Accuracy: 0.8242 | Prediction Confidence: 0.83 | Class 0:0.8532 | Class 1:0.5799
Epoch [21/200] | Loss: 0.4733 |  Accuracy: 0.8303 | Prediction Confidence: 0.82 | Class 0:0.8544 | Class 1:0.5646
Epoch [22/200] | Loss: 0.4662 |  Accuracy: 0.8303 | Prediction Confidence: 0.82 | Class 0:0.8566 | Class 1:0.5644
Epoch [23/200] | Loss: 0.4614 |  Accuracy: 0.8303 | Prediction Confidence: 0.82 | Class 0:0.8573 | Class 1:0.5690
Epoch [24/200] | Loss: 0.4579 |  Accuracy: 0.8364 | Prediction Confidence: 0.82 | Class 0:0.8567 | Class 1:0.5700
Epoch [25/200] | Loss: 0.4552 |  Accuracy: 0.8364 | Prediction Confidence: 0.82 | Class 0:0.8572 | Class 1:0.5726
Epoch [26/200] | Loss: 0.4531 |  Accuracy: 0.8364 | Prediction Confidence: 0.82 | Class 0:0.8576 | Class 1:0.5747
Epoch [27/200] | Loss: 0.4513 |  Accuracy: 0.8364 | Prediction Confidence: 0.82 | Class 0:0.8580 | Class 1:0.5762
Epoch [28/200] | Loss: 0.4499 |  Accuracy: 0.8364 | Prediction Confidence: 0.82 | Class 0:0.8584 | Class 1:0.5774
Epoch [29/200] | Loss: 0.4487 |  Accuracy: 0.8364 | Prediction Confidence: 0.82 | Class 0:0.8587 | Class 1:0.5784
Epoch [30/200] | Loss: 0.4476 |  Accuracy: 0.8364 | Prediction Confidence: 0.82 | Class 0:0.8590 | Class 1:0.5792
Epoch [31/200] | Loss: 0.4467 |  Accuracy: 0.8364 | Prediction Confidence: 0.82 | Class 0:0.8592 | Class 1:0.5797
Epoch [32/200] | Loss: 0.4459 |  Accuracy: 0.8364 | Prediction Confidence: 0.82 | Class 0:0.8594 | Class 1:0.5802
Epoch [33/200] | Loss: 0.4452 |  Accuracy: 0.8364 | Prediction Confidence: 0.82 | Class 0:0.8596 | Class 1:0.5806
Epoch [34/200] | Loss: 0.4446 |  Accuracy: 0.8364 | Prediction Confidence: 0.82 | Class 0:0.8598 | Class 1:0.5809
Epoch [35/200] | Loss: 0.4441 |  Accuracy: 0.8303 | Prediction Confidence: 0.83 | Class 0:0.8600 | Class 1:0.6046
Epoch [36/200] | Loss: 0.4436 |  Accuracy: 0.8333 | Prediction Confidence: 0.83 | Class 0:0.8601 | Class 1:0.5924
Epoch [37/200] | Loss: 0.4431 |  Accuracy: 0.8333 | Prediction Confidence: 0.83 | Class 0:0.8603 | Class 1:0.5937
Epoch [38/200] | Loss: 0.4427 |  Accuracy: 0.8303 | Prediction Confidence: 0.83 | Class 0:0.8612 | Class 1:0.5949
Epoch [39/200] | Loss: 0.4424 |  Accuracy: 0.8303 | Prediction Confidence: 0.83 | Class 0:0.8614 | Class 1:0.5960
Epoch [40/200] | Loss: 0.4420 |  Accuracy: 0.8303 | Prediction Confidence: 0.83 | Class 0:0.8615 | Class 1:0.5970
Epoch [41/200] | Loss: 0.4417 |  Accuracy: 0.8303 | Prediction Confidence: 0.83 | Class 0:0.8616 | Class 1:0.5979
Epoch [42/200] | Loss: 0.4414 |  Accuracy: 0.8303 | Prediction Confidence: 0.83 | Class 0:0.8617 | Class 1:0.5988
Epoch [43/200] | Loss: 0.4411 |  Accuracy: 0.8303 | Prediction Confidence: 0.83 | Class 0:0.8618 | Class 1:0.5997
Epoch [44/200] | Loss: 0.4409 |  Accuracy: 0.8303 | Prediction Confidence: 0.83 | Class 0:0.8619 | Class 1:0.6005
Epoch [45/200] | Loss: 0.4406 |  Accuracy: 0.8303 | Prediction Confidence: 0.83 | Class 0:0.8620 | Class 1:0.6012
Epoch [46/200] | Loss: 0.4404 |  Accuracy: 0.8303 | Prediction Confidence: 0.83 | Class 0:0.8621 | Class 1:0.6019
Epoch [47/200] | Loss: 0.4402 |  Accuracy: 0.8303 | Prediction Confidence: 0.83 | Class 0:0.8622 | Class 1:0.6026
Epoch [48/200] | Loss: 0.4400 |  Accuracy: 0.8303 | Prediction Confidence: 0.83 | Class 0:0.8622 | Class 1:0.6033
Epoch [49/200] | Loss: 0.4399 |  Accuracy: 0.8303 | Prediction Confidence: 0.83 | Class 0:0.8623 | Class 1:0.6039
Epoch [50/200] | Loss: 0.4397 |  Accuracy: 0.8303 | Prediction Confidence: 0.83 | Class 0:0.8624 | Class 1:0.6045
Epoch [51/200] | Loss: 0.4395 |  Accuracy: 0.8303 | Prediction Confidence: 0.83 | Class 0:0.8624 | Class 1:0.6051
Epoch [52/200] | Loss: 0.4394 |  Accuracy: 0.8303 | Prediction Confidence: 0.83 | Class 0:0.8625 | Class 1:0.6057
Epoch [53/200] | Loss: 0.4392 |  Accuracy: 0.8303 | Prediction Confidence: 0.83 | Class 0:0.8625 | Class 1:0.6063
Epoch [54/200] | Loss: 0.4391 |  Accuracy: 0.8303 | Prediction Confidence: 0.83 | Class 0:0.8626 | Class 1:0.6068
Epoch [55/200] | Loss: 0.4390 |  Accuracy: 0.8303 | Prediction Confidence: 0.83 | Class 0:0.8626 | Class 1:0.6073
Epoch [56/200] | Loss: 0.4388 |  Accuracy: 0.8303 | Prediction Confidence: 0.83 | Class 0:0.8627 | Class 1:0.6079
Epoch [57/200] | Loss: 0.4387 |  Accuracy: 0.8303 | Prediction Confidence: 0.83 | Class 0:0.8627 | Class 1:0.6084
Epoch [58/200] | Loss: 0.4386 |  Accuracy: 0.8303 | Prediction Confidence: 0.83 | Class 0:0.8628 | Class 1:0.6089
Epoch [59/200] | Loss: 0.4385 |  Accuracy: 0.8303 | Prediction Confidence: 0.83 | Class 0:0.8628 | Class 1:0.6094
Epoch [60/200] | Loss: 0.4384 |  Accuracy: 0.8303 | Prediction Confidence: 0.83 | Class 0:0.8629 | Class 1:0.6098
Epoch [61/200] | Loss: 0.4383 |  Accuracy: 0.8303 | Prediction Confidence: 0.83 | Class 0:0.8629 | Class 1:0.6103
Epoch [62/200] | Loss: 0.4382 |  Accuracy: 0.8303 | Prediction Confidence: 0.83 | Class 0:0.8629 | Class 1:0.6108
Epoch [63/200] | Loss: 0.4381 |  Accuracy: 0.8303 | Prediction Confidence: 0.83 | Class 0:0.8630 | Class 1:0.6113
Epoch [64/200] | Loss: 0.4380 |  Accuracy: 0.8303 | Prediction Confidence: 0.83 | Class 0:0.8630 | Class 1:0.6117
Epoch [65/200] | Loss: 0.4379 |  Accuracy: 0.8303 | Prediction Confidence: 0.83 | Class 0:0.8631 | Class 1:0.6122
Epoch [66/200] | Loss: 0.4378 |  Accuracy: 0.8303 | Prediction Confidence: 0.83 | Class 0:0.8631 | Class 1:0.6127
