Config: 
 {
  "model_name": "ecg_rnn_ce",
  "model_save_path": "/tmp/",
  "model": "rnn",
  "loss": "ce",
  "timesteps": 96,
  "num_classes": 2,
  "rnn_config": {
    "ninp": 1,
    "nhid": 20,
    "nlayers": 1,
    "nclasses": 2
  },
  "dnn_config": {
    "layers": [
      10,
      10,
      10,
      10,
      2
    ]
  },
  "batch_size": 32,
  "num_epochs": 100,
  "learning_rate": 0.005,
  "dependency_meta": ""
}
Model: 
 RNN(
  (rnn_cell): GRU(1, 20, batch_first=True)
  (fc1): Linear(in_features=20, out_features=2, bias=True)
)
Epoch [1/100] | Loss: 0.6006 |  Accuracy: 0.6967 | Prediction Confidence: 0.66 | Class 0:nan | Class 1:0.6633
Epoch [2/100] | Loss: 0.5440 |  Accuracy: 0.7167 | Prediction Confidence: 0.72 | Class 0:0.5277 | Class 1:0.7417
Epoch [3/100] | Loss: 0.4923 |  Accuracy: 0.7778 | Prediction Confidence: 0.74 | Class 0:0.6590 | Class 1:0.7865
Epoch [4/100] | Loss: 0.4825 |  Accuracy: 0.7778 | Prediction Confidence: 0.78 | Class 0:0.7310 | Class 1:0.8161
Epoch [5/100] | Loss: 0.4708 |  Accuracy: 0.8178 | Prediction Confidence: 0.75 | Class 0:0.6856 | Class 1:0.8042
Epoch [6/100] | Loss: 0.4650 |  Accuracy: 0.8178 | Prediction Confidence: 0.76 | Class 0:0.6932 | Class 1:0.8140
Epoch [7/100] | Loss: 0.4597 |  Accuracy: 0.8178 | Prediction Confidence: 0.77 | Class 0:0.7105 | Class 1:0.8197
Epoch [8/100] | Loss: 0.4551 |  Accuracy: 0.8178 | Prediction Confidence: 0.78 | Class 0:0.7278 | Class 1:0.8228
Epoch [9/100] | Loss: 0.4505 |  Accuracy: 0.8078 | Prediction Confidence: 0.79 | Class 0:0.7340 | Class 1:0.8320
Epoch [10/100] | Loss: 0.4464 |  Accuracy: 0.8078 | Prediction Confidence: 0.79 | Class 0:0.7399 | Class 1:0.8352
Epoch [11/100] | Loss: 0.4430 |  Accuracy: 0.8278 | Prediction Confidence: 0.80 | Class 0:0.7448 | Class 1:0.8341
Epoch [12/100] | Loss: 0.4400 |  Accuracy: 0.8278 | Prediction Confidence: 0.80 | Class 0:0.7534 | Class 1:0.8375
Epoch [13/100] | Loss: 0.4372 |  Accuracy: 0.8278 | Prediction Confidence: 0.81 | Class 0:0.7608 | Class 1:0.8403
Epoch [14/100] | Loss: 0.4348 |  Accuracy: 0.8278 | Prediction Confidence: 0.81 | Class 0:0.7671 | Class 1:0.8427
Epoch [15/100] | Loss: 0.4326 |  Accuracy: 0.8278 | Prediction Confidence: 0.81 | Class 0:0.7727 | Class 1:0.8447
Epoch [16/100] | Loss: 0.4307 |  Accuracy: 0.8278 | Prediction Confidence: 0.82 | Class 0:0.7778 | Class 1:0.8466
Epoch [17/100] | Loss: 0.4289 |  Accuracy: 0.8278 | Prediction Confidence: 0.82 | Class 0:0.7825 | Class 1:0.8482
Epoch [18/100] | Loss: 0.4273 |  Accuracy: 0.8278 | Prediction Confidence: 0.82 | Class 0:0.7865 | Class 1:0.8496
Epoch [19/100] | Loss: 0.4257 |  Accuracy: 0.8378 | Prediction Confidence: 0.82 | Class 0:0.7901 | Class 1:0.8462
Epoch [20/100] | Loss: 0.4243 |  Accuracy: 0.8378 | Prediction Confidence: 0.82 | Class 0:0.7933 | Class 1:0.8474
Epoch [21/100] | Loss: 0.4229 |  Accuracy: 0.8378 | Prediction Confidence: 0.83 | Class 0:0.7962 | Class 1:0.8485
Epoch [22/100] | Loss: 0.4217 |  Accuracy: 0.8378 | Prediction Confidence: 0.83 | Class 0:0.7989 | Class 1:0.8496
Epoch [23/100] | Loss: 0.4204 |  Accuracy: 0.8378 | Prediction Confidence: 0.83 | Class 0:0.8013 | Class 1:0.8505
Epoch [24/100] | Loss: 0.4192 |  Accuracy: 0.8378 | Prediction Confidence: 0.83 | Class 0:0.8035 | Class 1:0.8515
