Config: 
 {
  "model_name": "ford_a_rnn_ce",
  "model_save_path": "/tmp/",
  "model": "rnn",
  "loss": "ce",
  "timesteps": 500,
  "num_classes": 2,
  "rnn_config": {
    "ninp": 1,
    "nhid": 20,
    "nlayers": 1,
    "nclasses": 2
  },
  "dnn_config": {
    "layers": [
      40,
      40,
      4
    ]
  },
  "batch_size": 32,
  "num_epochs": 100,
  "learning_rate": 0.1,
  "dependency_meta": ""
}
Model: 
 RNN(
  (rnn_cell): GRU(1, 20, batch_first=True)
  (fc1): Linear(in_features=20, out_features=2, bias=True)
)
Epoch [1/100] | Loss: 0.7916 |  Accuracy: 0.5183 | Prediction Confidence: 0.67 | Class 0:0.6527 | Class 1:0.6531
Epoch [2/100] | Loss: 0.7699 |  Accuracy: 0.5133 | Prediction Confidence: 0.66 | Class 0:0.6405 | Class 1:0.6315
Epoch [3/100] | Loss: 0.7651 |  Accuracy: 0.5332 | Prediction Confidence: 0.67 | Class 0:0.6547 | Class 1:0.6472
Epoch [4/100] | Loss: 0.7712 |  Accuracy: 0.5150 | Prediction Confidence: 0.66 | Class 0:0.6457 | Class 1:0.6437
Epoch [5/100] | Loss: 0.7629 |  Accuracy: 0.5241 | Prediction Confidence: 0.66 | Class 0:0.6395 | Class 1:0.6379
Epoch [6/100] | Loss: 0.7783 |  Accuracy: 0.5213 | Prediction Confidence: 0.66 | Class 0:0.6569 | Class 1:0.6484
Epoch [7/100] | Loss: 0.7618 |  Accuracy: 0.5302 | Prediction Confidence: 0.67 | Class 0:0.6518 | Class 1:0.6425
Epoch [8/100] | Loss: 0.7502 |  Accuracy: 0.5307 | Prediction Confidence: 0.66 | Class 0:0.6377 | Class 1:0.6376
Epoch [9/100] | Loss: 0.7350 |  Accuracy: 0.5363 | Prediction Confidence: 0.65 | Class 0:0.6436 | Class 1:0.6287
Epoch [10/100] | Loss: 0.7387 |  Accuracy: 0.5363 | Prediction Confidence: 0.65 | Class 0:0.6341 | Class 1:0.6249
Epoch [11/100] | Loss: 0.7631 |  Accuracy: 0.5343 | Prediction Confidence: 0.67 | Class 0:0.6558 | Class 1:0.6438
Epoch [12/100] | Loss: 0.8076 |  Accuracy: 0.5066 | Prediction Confidence: 0.67 | Class 0:0.6565 | Class 1:0.6535
Epoch [13/100] | Loss: 0.7824 |  Accuracy: 0.5053 | Prediction Confidence: 0.65 | Class 0:0.6397 | Class 1:0.6389
Epoch [14/100] | Loss: 0.7758 |  Accuracy: 0.5003 | Prediction Confidence: 0.65 | Class 0:0.6363 | Class 1:0.6308
Epoch [15/100] | Loss: 0.7730 |  Accuracy: 0.4975 | Prediction Confidence: 0.65 | Class 0:0.6358 | Class 1:0.6293
Epoch [16/100] | Loss: 0.7719 |  Accuracy: 0.5000 | Prediction Confidence: 0.65 | Class 0:0.6351 | Class 1:0.6273
Epoch [17/100] | Loss: 0.7715 |  Accuracy: 0.4997 | Prediction Confidence: 0.65 | Class 0:0.6356 | Class 1:0.6276
