Config: 
 {
  "model_name": "ford_b_rnn_ce",
  "model_save_path": "/tmp/",
  "model": "rnn",
  "loss": "ce",
  "timesteps": 500,
  "num_classes": 2,
  "rnn_config": {
    "ninp": 1,
    "nhid": 20,
    "nlayers": 2,
    "nclasses": 2
  },
  "dnn_config": {
    "layers": [
      10,
      10,
      2
    ]
  },
  "batch_size": 32,
  "num_epochs": 300,
  "learning_rate": 0.005,
  "dependency_meta": ""
}
Model: 
 RNN(
  (rnn_cell): GRU(1, 20, num_layers=2, batch_first=True)
  (fc1): Linear(in_features=20, out_features=2, bias=True)
)
Epoch [1/300] | Loss: 0.6945 |  Accuracy: 0.5035 | Prediction Confidence: 0.53 | Class 0:0.5236 | Class 1:0.5248
Epoch [2/300] | Loss: 0.6938 |  Accuracy: 0.5038 | Prediction Confidence: 0.52 | Class 0:0.5177 | Class 1:0.5103
Epoch [3/300] | Loss: 0.6938 |  Accuracy: 0.5024 | Prediction Confidence: 0.51 | Class 0:0.5163 | Class 1:0.5079
Epoch [4/300] | Loss: 0.6937 |  Accuracy: 0.5062 | Prediction Confidence: 0.51 | Class 0:0.5159 | Class 1:0.5067
Epoch [5/300] | Loss: 0.6938 |  Accuracy: 0.5032 | Prediction Confidence: 0.52 | Class 0:0.5171 | Class 1:0.5080
Epoch [6/300] | Loss: 0.6936 |  Accuracy: 0.5043 | Prediction Confidence: 0.52 | Class 0:0.5170 | Class 1:0.5086
Epoch [7/300] | Loss: 0.6937 |  Accuracy: 0.5027 | Prediction Confidence: 0.52 | Class 0:0.5177 | Class 1:0.5078
Epoch [8/300] | Loss: 0.6935 |  Accuracy: 0.5018 | Prediction Confidence: 0.52 | Class 0:0.5213 | Class 1:0.5099
Epoch [9/300] | Loss: 0.6928 |  Accuracy: 0.5040 | Prediction Confidence: 0.53 | Class 0:0.5339 | Class 1:0.5156
Epoch [10/300] | Loss: 0.5566 |  Accuracy: 0.7004 | Prediction Confidence: 0.71 | Class 0:0.7410 | Class 1:0.6900
Epoch [11/300] | Loss: 0.6972 |  Accuracy: 0.5345 | Prediction Confidence: 0.60 | Class 0:0.6055 | Class 1:0.5802
Epoch [12/300] | Loss: 0.6921 |  Accuracy: 0.5234 | Prediction Confidence: 0.55 | Class 0:0.5561 | Class 1:0.5442
Epoch [13/300] | Loss: 0.6983 |  Accuracy: 0.5025 | Prediction Confidence: 0.55 | Class 0:0.5513 | Class 1:0.5400
Epoch [14/300] | Loss: 0.6917 |  Accuracy: 0.5225 | Prediction Confidence: 0.55 | Class 0:0.5520 | Class 1:0.5395
Epoch [15/300] | Loss: 0.6851 |  Accuracy: 0.5409 | Prediction Confidence: 0.55 | Class 0:0.5546 | Class 1:0.5418
Epoch [16/300] | Loss: 0.6752 |  Accuracy: 0.5749 | Prediction Confidence: 0.56 | Class 0:0.5612 | Class 1:0.5488
Epoch [17/300] | Loss: 0.6573 |  Accuracy: 0.6127 | Prediction Confidence: 0.58 | Class 0:0.5807 | Class 1:0.5680
Epoch [18/300] | Loss: 0.6249 |  Accuracy: 0.6546 | Prediction Confidence: 0.62 | Class 0:0.6220 | Class 1:0.6186
Epoch [19/300] | Loss: 0.5719 |  Accuracy: 0.7131 | Prediction Confidence: 0.70 | Class 0:0.6973 | Class 1:0.7062
Epoch [20/300] | Loss: 0.5335 |  Accuracy: 0.7358 | Prediction Confidence: 0.75 | Class 0:0.7379 | Class 1:0.7676
Epoch [21/300] | Loss: 0.5017 |  Accuracy: 0.7579 | Prediction Confidence: 0.78 | Class 0:0.7707 | Class 1:0.7856
Epoch [22/300] | Loss: 0.4806 |  Accuracy: 0.7716 | Prediction Confidence: 0.79 | Class 0:0.7817 | Class 1:0.7875
Epoch [23/300] | Loss: 0.4433 |  Accuracy: 0.7861 | Prediction Confidence: 0.82 | Class 0:0.8007 | Class 1:0.8333
Epoch [24/300] | Loss: 0.6072 |  Accuracy: 0.6551 | Prediction Confidence: 0.71 | Class 0:0.7084 | Class 1:0.6988
Epoch [25/300] | Loss: 0.5406 |  Accuracy: 0.7284 | Prediction Confidence: 0.72 | Class 0:0.7229 | Class 1:0.7071
Epoch [26/300] | Loss: 0.4471 |  Accuracy: 0.7960 | Prediction Confidence: 0.81 | Class 0:0.7938 | Class 1:0.8291
Epoch [27/300] | Loss: 0.3913 |  Accuracy: 0.8214 | Prediction Confidence: 0.85 | Class 0:0.8194 | Class 1:0.8726
Epoch [28/300] | Loss: 0.3680 |  Accuracy: 0.8330 | Prediction Confidence: 0.86 | Class 0:0.8329 | Class 1:0.8832
Epoch [29/300] | Loss: 0.3498 |  Accuracy: 0.8429 | Prediction Confidence: 0.87 | Class 0:0.8490 | Class 1:0.8899
Epoch [30/300] | Loss: 0.3306 |  Accuracy: 0.8607 | Prediction Confidence: 0.88 | Class 0:0.8607 | Class 1:0.8918
Epoch [31/300] | Loss: 0.3470 |  Accuracy: 0.8486 | Prediction Confidence: 0.88 | Class 0:0.8589 | Class 1:0.8906
Epoch [32/300] | Loss: 0.3029 |  Accuracy: 0.8681 | Prediction Confidence: 0.89 | Class 0:0.8768 | Class 1:0.9026
Epoch [33/300] | Loss: 0.2844 |  Accuracy: 0.8787 | Prediction Confidence: 0.90 | Class 0:0.8933 | Class 1:0.9147
Epoch [34/300] | Loss: 0.3395 |  Accuracy: 0.8538 | Prediction Confidence: 0.89 | Class 0:0.8908 | Class 1:0.9023
Epoch [35/300] | Loss: 0.6241 |  Accuracy: 0.6531 | Prediction Confidence: 0.63 | Class 0:0.6299 | Class 1:0.6230
Epoch [36/300] | Loss: 0.7480 |  Accuracy: 0.5167 | Prediction Confidence: nan | Class 0:0.6544 | Class 1:0.6267
Epoch [37/300] | Loss: 0.6884 |  Accuracy: 0.5644 | Prediction Confidence: 0.61 | Class 0:0.6188 | Class 1:0.5958
Epoch [38/300] | Loss: 0.6529 |  Accuracy: 0.6100 | Prediction Confidence: 0.62 | Class 0:0.6241 | Class 1:0.6109
Epoch [39/300] | Loss: 0.6341 |  Accuracy: 0.6358 | Prediction Confidence: 0.63 | Class 0:0.6316 | Class 1:0.6277
Epoch [40/300] | Loss: 0.6236 |  Accuracy: 0.6465 | Prediction Confidence: 0.64 | Class 0:0.6398 | Class 1:0.6457
Epoch [41/300] | Loss: 0.6175 |  Accuracy: 0.6561 | Prediction Confidence: 0.65 | Class 0:0.6458 | Class 1:0.6591
Epoch [42/300] | Loss: 0.6140 |  Accuracy: 0.6613 | Prediction Confidence: 0.66 | Class 0:0.6514 | Class 1:0.6694
Epoch [43/300] | Loss: 0.6118 |  Accuracy: 0.6654 | Prediction Confidence: 0.67 | Class 0:0.6548 | Class 1:0.6779
Epoch [44/300] | Loss: 0.6105 |  Accuracy: 0.6662 | Prediction Confidence: 0.67 | Class 0:0.6591 | Class 1:0.6845
Epoch [45/300] | Loss: 0.6096 |  Accuracy: 0.6666 | Prediction Confidence: 0.68 | Class 0:0.6627 | Class 1:0.6896
Epoch [46/300] | Loss: 0.6089 |  Accuracy: 0.6685 | Prediction Confidence: 0.68 | Class 0:0.6654 | Class 1:0.6930
Epoch [47/300] | Loss: 0.6085 |  Accuracy: 0.6679 | Prediction Confidence: 0.68 | Class 0:0.6678 | Class 1:0.6961
Epoch [48/300] | Loss: 0.6081 |  Accuracy: 0.6679 | Prediction Confidence: 0.68 | Class 0:0.6697 | Class 1:0.6982
Epoch [49/300] | Loss: 0.6078 |  Accuracy: 0.6679 | Prediction Confidence: 0.69 | Class 0:0.6713 | Class 1:0.6998
Epoch [50/300] | Loss: 0.6075 |  Accuracy: 0.6674 | Prediction Confidence: 0.69 | Class 0:0.6725 | Class 1:0.7018
Epoch [51/300] | Loss: 0.6072 |  Accuracy: 0.6668 | Prediction Confidence: 0.69 | Class 0:0.6737 | Class 1:0.7030
Epoch [52/300] | Loss: 0.6070 |  Accuracy: 0.6679 | Prediction Confidence: 0.69 | Class 0:0.6742 | Class 1:0.7038
Epoch [53/300] | Loss: 0.6068 |  Accuracy: 0.6690 | Prediction Confidence: 0.69 | Class 0:0.6747 | Class 1:0.7041
Epoch [54/300] | Loss: 0.6066 |  Accuracy: 0.6699 | Prediction Confidence: 0.69 | Class 0:0.6752 | Class 1:0.7033
Epoch [55/300] | Loss: 0.6064 |  Accuracy: 0.6699 | Prediction Confidence: 0.69 | Class 0:0.6761 | Class 1:0.7036
Epoch [56/300] | Loss: 0.6063 |  Accuracy: 0.6707 | Prediction Confidence: 0.69 | Class 0:0.6762 | Class 1:0.7042
Epoch [57/300] | Loss: 0.6061 |  Accuracy: 0.6701 | Prediction Confidence: 0.69 | Class 0:0.6768 | Class 1:0.7047
Epoch [58/300] | Loss: 0.6060 |  Accuracy: 0.6704 | Prediction Confidence: 0.69 | Class 0:0.6772 | Class 1:0.7051
Epoch [59/300] | Loss: 0.6058 |  Accuracy: 0.6701 | Prediction Confidence: 0.69 | Class 0:0.6777 | Class 1:0.7054
Epoch [60/300] | Loss: 0.6057 |  Accuracy: 0.6704 | Prediction Confidence: 0.69 | Class 0:0.6781 | Class 1:0.7055
Epoch [61/300] | Loss: 0.6056 |  Accuracy: 0.6690 | Prediction Confidence: 0.69 | Class 0:0.6789 | Class 1:0.7058
Epoch [62/300] | Loss: 0.6055 |  Accuracy: 0.6688 | Prediction Confidence: 0.69 | Class 0:0.6796 | Class 1:0.7061
Epoch [63/300] | Loss: 0.6054 |  Accuracy: 0.6679 | Prediction Confidence: 0.69 | Class 0:0.6802 | Class 1:0.7065
Epoch [64/300] | Loss: 0.6053 |  Accuracy: 0.6679 | Prediction Confidence: 0.69 | Class 0:0.6804 | Class 1:0.7067
Epoch [65/300] | Loss: 0.6052 |  Accuracy: 0.6682 | Prediction Confidence: 0.69 | Class 0:0.6807 | Class 1:0.7066
Epoch [66/300] | Loss: 0.6051 |  Accuracy: 0.6679 | Prediction Confidence: 0.69 | Class 0:0.6810 | Class 1:0.7070
Epoch [67/300] | Loss: 0.6050 |  Accuracy: 0.6682 | Prediction Confidence: 0.69 | Class 0:0.6813 | Class 1:0.7068
Epoch [68/300] | Loss: 0.6049 |  Accuracy: 0.6685 | Prediction Confidence: 0.69 | Class 0:0.6815 | Class 1:0.7067
Epoch [69/300] | Loss: 0.6048 |  Accuracy: 0.6682 | Prediction Confidence: 0.69 | Class 0:0.6817 | Class 1:0.7070
Epoch [70/300] | Loss: 0.6048 |  Accuracy: 0.6688 | Prediction Confidence: 0.69 | Class 0:0.6817 | Class 1:0.7070
Epoch [71/300] | Loss: 0.6047 |  Accuracy: 0.6685 | Prediction Confidence: 0.69 | Class 0:0.6820 | Class 1:0.7072
Epoch [72/300] | Loss: 0.6046 |  Accuracy: 0.6682 | Prediction Confidence: 0.69 | Class 0:0.6821 | Class 1:0.7075
Epoch [73/300] | Loss: 0.6046 |  Accuracy: 0.6685 | Prediction Confidence: 0.69 | Class 0:0.6821 | Class 1:0.7077
Epoch [74/300] | Loss: 0.6045 |  Accuracy: 0.6693 | Prediction Confidence: 0.69 | Class 0:0.6823 | Class 1:0.7075
Epoch [75/300] | Loss: 0.6045 |  Accuracy: 0.6704 | Prediction Confidence: 0.69 | Class 0:0.6823 | Class 1:0.7072
Epoch [76/300] | Loss: 0.6044 |  Accuracy: 0.6701 | Prediction Confidence: 0.69 | Class 0:0.6825 | Class 1:0.7074
Epoch [77/300] | Loss: 0.6044 |  Accuracy: 0.6704 | Prediction Confidence: 0.70 | Class 0:0.6827 | Class 1:0.7077
Epoch [78/300] | Loss: 0.6043 |  Accuracy: 0.6704 | Prediction Confidence: 0.70 | Class 0:0.6828 | Class 1:0.7079
Epoch [79/300] | Loss: 0.6043 |  Accuracy: 0.6701 | Prediction Confidence: 0.70 | Class 0:0.6830 | Class 1:0.7082
Epoch [80/300] | Loss: 0.6042 |  Accuracy: 0.6699 | Prediction Confidence: 0.70 | Class 0:0.6831 | Class 1:0.7085
Epoch [81/300] | Loss: 0.6042 |  Accuracy: 0.6699 | Prediction Confidence: 0.70 | Class 0:0.6833 | Class 1:0.7085
Epoch [82/300] | Loss: 0.6042 |  Accuracy: 0.6693 | Prediction Confidence: 0.70 | Class 0:0.6835 | Class 1:0.7088
Epoch [83/300] | Loss: 0.6041 |  Accuracy: 0.6685 | Prediction Confidence: 0.70 | Class 0:0.6842 | Class 1:0.7091
Epoch [84/300] | Loss: 0.6041 |  Accuracy: 0.6685 | Prediction Confidence: 0.70 | Class 0:0.6843 | Class 1:0.7092
Epoch [85/300] | Loss: 0.6041 |  Accuracy: 0.6679 | Prediction Confidence: 0.70 | Class 0:0.6847 | Class 1:0.7093
Epoch [86/300] | Loss: 0.6040 |  Accuracy: 0.6688 | Prediction Confidence: 0.70 | Class 0:0.6846 | Class 1:0.7083
Epoch [87/300] | Loss: 0.6040 |  Accuracy: 0.6688 | Prediction Confidence: 0.70 | Class 0:0.6847 | Class 1:0.7084
Epoch [88/300] | Loss: 0.6040 |  Accuracy: 0.6688 | Prediction Confidence: 0.70 | Class 0:0.6848 | Class 1:0.7085
Epoch [89/300] | Loss: 0.6039 |  Accuracy: 0.6690 | Prediction Confidence: 0.70 | Class 0:0.6849 | Class 1:0.7081
Epoch [90/300] | Loss: 0.6039 |  Accuracy: 0.6693 | Prediction Confidence: 0.70 | Class 0:0.6850 | Class 1:0.7077
Epoch [91/300] | Loss: 0.6039 |  Accuracy: 0.6696 | Prediction Confidence: 0.70 | Class 0:0.6845 | Class 1:0.7078
Epoch [92/300] | Loss: 0.6038 |  Accuracy: 0.6696 | Prediction Confidence: 0.70 | Class 0:0.6845 | Class 1:0.7079
Epoch [93/300] | Loss: 0.6038 |  Accuracy: 0.6701 | Prediction Confidence: 0.70 | Class 0:0.6844 | Class 1:0.7080
Epoch [94/300] | Loss: 0.6038 |  Accuracy: 0.6699 | Prediction Confidence: 0.70 | Class 0:0.6845 | Class 1:0.7081
Epoch [95/300] | Loss: 0.6038 |  Accuracy: 0.6696 | Prediction Confidence: 0.70 | Class 0:0.6848 | Class 1:0.7082
Epoch [96/300] | Loss: 0.6038 |  Accuracy: 0.6696 | Prediction Confidence: 0.70 | Class 0:0.6849 | Class 1:0.7083
Epoch [97/300] | Loss: 0.6037 |  Accuracy: 0.6696 | Prediction Confidence: 0.70 | Class 0:0.6849 | Class 1:0.7084
Epoch [98/300] | Loss: 0.6037 |  Accuracy: 0.6690 | Prediction Confidence: 0.70 | Class 0:0.6853 | Class 1:0.7084
Epoch [99/300] | Loss: 0.6036 |  Accuracy: 0.6688 | Prediction Confidence: 0.70 | Class 0:0.6856 | Class 1:0.7089
Epoch [100/300] | Loss: 0.6085 |  Accuracy: 0.6831 | Prediction Confidence: 0.70 | Class 0:0.6976 | Class 1:0.7095
Epoch [101/300] | Loss: 0.5821 |  Accuracy: 0.7059 | Prediction Confidence: 0.71 | Class 0:0.7172 | Class 1:0.7058
Epoch [102/300] | Loss: 0.5687 |  Accuracy: 0.7158 | Prediction Confidence: 0.72 | Class 0:0.7286 | Class 1:0.7097
Epoch [103/300] | Loss: 0.5613 |  Accuracy: 0.7201 | Prediction Confidence: 0.73 | Class 0:0.7363 | Class 1:0.7141
Epoch [104/300] | Loss: 0.5565 |  Accuracy: 0.7256 | Prediction Confidence: 0.73 | Class 0:0.7411 | Class 1:0.7158
Epoch [105/300] | Loss: 0.5532 |  Accuracy: 0.7267 | Prediction Confidence: 0.73 | Class 0:0.7447 | Class 1:0.7208
Epoch [106/300] | Loss: 0.5509 |  Accuracy: 0.7270 | Prediction Confidence: 0.74 | Class 0:0.7480 | Class 1:0.7240
