Config: 
 {
  "model_name": "gun_point_rnn_ce",
  "model_save_path": "/tmp/",
  "model": "rnn",
  "loss": "ce",
  "timesteps": 150,
  "num_classes": 2,
  "rnn_config": {
    "ninp": 1,
    "nhid": 20,
    "nlayers": 1,
    "nclasses": 2
  },
  "dnn_config": {
    "layers": [
      10,
      10,
      2
    ]
  },
  "batch_size": 32,
  "num_epochs": 200,
  "learning_rate": 0.005,
  "dependency_meta": ""
}
Model: 
 RNN(
  (rnn_cell): GRU(1, 20, batch_first=True)
  (fc1): Linear(in_features=20, out_features=2, bias=True)
)
Epoch [1/200] | Loss: 0.6972 |  Accuracy: 0.4400 | Prediction Confidence: 0.52 | Class 0:0.5150 | Class 1:0.5168
Epoch [2/200] | Loss: 0.6939 |  Accuracy: 0.5100 | Prediction Confidence: 0.51 | Class 0:0.5064 | Class 1:0.5052
Epoch [3/200] | Loss: 0.6937 |  Accuracy: 0.4500 | Prediction Confidence: 0.51 | Class 0:0.5051 | Class 1:0.5083
Epoch [4/200] | Loss: 0.6935 |  Accuracy: 0.4700 | Prediction Confidence: 0.51 | Class 0:0.5056 | Class 1:0.5104
Epoch [5/200] | Loss: 0.6933 |  Accuracy: 0.4800 | Prediction Confidence: 0.51 | Class 0:0.5070 | Class 1:0.5114
Epoch [6/200] | Loss: 0.6931 |  Accuracy: 0.4850 | Prediction Confidence: 0.51 | Class 0:0.5074 | Class 1:0.5129
Epoch [7/200] | Loss: 0.6930 |  Accuracy: 0.4800 | Prediction Confidence: 0.51 | Class 0:0.5082 | Class 1:0.5143
Epoch [8/200] | Loss: 0.6928 |  Accuracy: 0.4800 | Prediction Confidence: 0.51 | Class 0:0.5086 | Class 1:0.5156
Epoch [9/200] | Loss: 0.6924 |  Accuracy: 0.4800 | Prediction Confidence: 0.51 | Class 0:0.5086 | Class 1:0.5176
Epoch [10/200] | Loss: 0.6900 |  Accuracy: 0.4800 | Prediction Confidence: 0.52 | Class 0:0.5099 | Class 1:0.5315
Epoch [11/200] | Loss: 0.6785 |  Accuracy: 0.5200 | Prediction Confidence: 0.56 | Class 0:0.5286 | Class 1:0.6064
Epoch [12/200] | Loss: 0.6375 |  Accuracy: 0.6150 | Prediction Confidence: 0.62 | Class 0:0.5667 | Class 1:0.6798
Epoch [13/200] | Loss: 0.5001 |  Accuracy: 0.7750 | Prediction Confidence: 0.73 | Class 0:0.6798 | Class 1:0.7737
Epoch [14/200] | Loss: 0.7746 |  Accuracy: 0.6500 | Prediction Confidence: 0.80 | Class 0:0.7496 | Class 1:0.8056
Epoch [15/200] | Loss: 0.5559 |  Accuracy: 0.7400 | Prediction Confidence: 0.68 | Class 0:0.6934 | Class 1:0.6630
Epoch [16/200] | Loss: 0.4888 |  Accuracy: 0.7750 | Prediction Confidence: 0.73 | Class 0:0.7483 | Class 1:0.7023
Epoch [17/200] | Loss: 0.4441 |  Accuracy: 0.8000 | Prediction Confidence: 0.78 | Class 0:0.8105 | Class 1:0.7480
Epoch [18/200] | Loss: 0.4029 |  Accuracy: 0.8200 | Prediction Confidence: 0.81 | Class 0:0.8424 | Class 1:0.7693
Epoch [19/200] | Loss: 0.3595 |  Accuracy: 0.7900 | Prediction Confidence: 0.85 | Class 0:0.8841 | Class 1:0.8107
