Config: 
 {
  "model_save_path": "/tmp/",
  "model": "dnn",
  "loss": "ce",
  "model_name": "blip_mc_dnn_ce_mc",
  "dependency_meta": "",
  "timesteps": 10,
  "num_classes": 9,
  "rnn_config": {
    "ninp": 1,
    "nhid": 1000,
    "nlayers": 3,
    "nclasses": 9
  },
  "dnn_config": {
    "layers": [
      300,
      200,
      100,
      9
    ]
  },
  "batch_size": 32,
  "num_epochs": 200,
  "learning_rate": 0.001
}
Model: 
 Linear(
  (layers): ModuleList(
    (0): Linear(in_features=10, out_features=300, bias=True)
    (1): Linear(in_features=300, out_features=200, bias=True)
    (2): Linear(in_features=200, out_features=100, bias=True)
    (3): Linear(in_features=100, out_features=9, bias=True)
  )
  (sigmoid_activation): Sigmoid()
  (softmax_activation): Softmax(dim=-1)
)
Epoch[1/200] | Loss:2.2086 |Acc: 13.0000|Pred Confidence: nan | C 0:nan | C 1:0.1549 | C 2:0.1253| C 3:0.1344| C 4:0.1463| C 5:nan| C 6:nan| C 7:0.1495| C 8:0.1417| C 9:nan| C 10:nan| C 11:nan
Epoch[2/200] | Loss:2.1505 |Acc: 23.1250|Pred Confidence: nan | C 0:0.1363 | C 1:0.1506 | C 2:0.1360| C 3:0.1409| C 4:nan| C 5:0.1357| C 6:nan| C 7:0.1526| C 8:0.1520| C 9:nan| C 10:nan| C 11:nan
Epoch[3/200] | Loss:1.6796 |Acc: 53.3750|Pred Confidence: nan | C 0:0.2397 | C 1:0.2221 | C 2:0.2275| C 3:0.2189| C 4:0.1992| C 5:0.1948| C 6:nan| C 7:0.2890| C 8:0.2859| C 9:nan| C 10:nan| C 11:nan
Epoch[4/200] | Loss:0.9233 |Acc: 89.0000|Pred Confidence: 0.42 | C 0:0.4588 | C 1:0.4077 | C 2:0.3879| C 3:0.3679| C 4:0.3519| C 5:0.3706| C 6:0.3944| C 7:0.5427| C 8:0.4674| C 9:nan| C 10:nan| C 11:nan
Epoch[5/200] | Loss:0.4962 |Acc: 100.0000|Pred Confidence: 0.62 | C 0:0.6411 | C 1:0.5446 | C 2:0.5678| C 3:0.5503| C 4:0.5238| C 5:0.5755| C 6:0.6271| C 7:0.7376| C 8:0.7339| C 9:nan| C 10:nan| C 11:nan
Epoch[6/200] | Loss:0.2703 |Acc: 100.0000|Pred Confidence: 0.77 | C 0:0.7883 | C 1:0.7066 | C 2:0.7063| C 3:0.6961| C 4:0.7000| C 5:0.7554| C 6:0.7975| C 7:0.8589| C 8:0.8556| C 9:nan| C 10:nan| C 11:nan
Epoch[7/200] | Loss:0.1654 |Acc: 100.0000|Pred Confidence: 0.85 | C 0:0.8649 | C 1:0.8085 | C 2:0.8038| C 3:0.7977| C 4:0.8034| C 5:0.8493| C 6:0.8699| C 7:0.9110| C 8:0.9087| C 9:nan| C 10:nan| C 11:nan
Epoch[8/200] | Loss:0.1115 |Acc: 100.0000|Pred Confidence: 0.90 | C 0:0.9061 | C 1:0.8676 | C 2:0.8640| C 3:0.8600| C 4:0.8620| C 5:0.8975| C 6:0.9091| C 7:0.9379| C 8:0.9360| C 9:nan| C 10:nan| C 11:nan
Epoch[9/200] | Loss:0.0805 |Acc: 100.0000|Pred Confidence: 0.92 | C 0:0.9306 | C 1:0.9035 | C 2:0.9008| C 3:0.8982| C 4:0.8977| C 5:0.9253| C 6:0.9327| C 7:0.9537| C 8:0.9522| C 9:nan| C 10:nan| C 11:nan
Epoch[10/200] | Loss:0.0612 |Acc: 100.0000|Pred Confidence: 0.94 | C 0:0.9464 | C 1:0.9265 | C 2:0.9244| C 3:0.9228| C 4:0.9210| C 5:0.9428| C 6:0.9480| C 7:0.9640| C 8:0.9627| C 9:nan| C 10:nan| C 11:nan
Epoch[11/200] | Loss:0.0483 |Acc: 100.0000|Pred Confidence: 0.95 | C 0:0.9572 | C 1:0.9422 | C 2:0.9405| C 3:0.9392| C 4:0.9369| C 5:0.9547| C 6:0.9585| C 7:0.9710| C 8:0.9700| C 9:nan| C 10:nan| C 11:nan
Epoch[12/200] | Loss:0.0391 |Acc: 100.0000|Pred Confidence: 0.96 | C 0:0.9649 | C 1:0.9534 | C 2:0.9518| C 3:0.9509| C 4:0.9483| C 5:0.9631| C 6:0.9661| C 7:0.9762| C 8:0.9752| C 9:nan| C 10:nan| C 11:nan
