Config: 
 {
  "model_save_path": "/tmp/",
  "model": "dnn",
  "loss": "ce",
  "model_name": "cricket_x_mc_dnn_ce",
  "dependency_meta": "",
  "timesteps": 300,
  "num_classes": 2,
  "rnn_config": {
    "ninp": 1,
    "nhid": 10,
    "nlayers": 1,
    "nclasses": 2
  },
  "dnn_config": {
    "layers": [
      10,
      10,
      12
    ]
  },
  "batch_size": 32,
  "num_epochs": 10000,
  "learning_rate": 0.001
}
Model: 
 Linear(
  (layers): ModuleList(
    (0): Linear(in_features=300, out_features=10, bias=True)
    (1): Linear(in_features=10, out_features=10, bias=True)
    (2): Linear(in_features=10, out_features=12, bias=True)
  )
  (sigmoid_activation): Sigmoid()
  (softmax_activation): Softmax(dim=-1)
)
Epoch[1/10000] | Loss:2.5436 |Acc: 0.0795|Pred Confidence: nan | C 0:nan | C 1:nan | C 2:nan| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:0.1331| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[2/10000] | Loss:2.5042 |Acc: 0.0795|Pred Confidence: nan | C 0:nan | C 1:nan | C 2:nan| C 3:nan| C 4:nan| C 5:0.1103| C 6:nan| C 7:0.1211| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[3/10000] | Loss:2.4807 |Acc: 0.0872|Pred Confidence: nan | C 0:nan | C 1:nan | C 2:nan| C 3:nan| C 4:nan| C 5:0.1054| C 6:nan| C 7:0.1132| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[4/10000] | Loss:2.4637 |Acc: 0.1051|Pred Confidence: nan | C 0:nan | C 1:nan | C 2:nan| C 3:nan| C 4:nan| C 5:0.1028| C 6:nan| C 7:0.1074| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[5/10000] | Loss:2.4504 |Acc: 0.1538|Pred Confidence: nan | C 0:nan | C 1:nan | C 2:nan| C 3:nan| C 4:nan| C 5:0.1006| C 6:0.0977| C 7:0.1029| C 8:nan| C 9:nan| C 10:0.0968| C 11:nan
Epoch[6/10000] | Loss:2.4392 |Acc: 0.2308|Pred Confidence: nan | C 0:nan | C 1:0.0954 | C 2:nan| C 3:0.0962| C 4:nan| C 5:0.0996| C 6:0.0983| C 7:0.1009| C 8:nan| C 9:nan| C 10:0.0991| C 11:nan
Epoch[7/10000] | Loss:2.4293 |Acc: 0.2359|Pred Confidence: nan | C 0:nan | C 1:0.0971 | C 2:nan| C 3:0.0987| C 4:nan| C 5:0.0996| C 6:0.0996| C 7:0.1030| C 8:nan| C 9:nan| C 10:0.1012| C 11:nan
Epoch[8/10000] | Loss:2.4200 |Acc: 0.2538|Pred Confidence: nan | C 0:nan | C 1:0.0992 | C 2:0.1009| C 3:0.0983| C 4:nan| C 5:0.0998| C 6:0.1010| C 7:nan| C 8:nan| C 9:nan| C 10:0.1035| C 11:nan
Epoch[9/10000] | Loss:2.4109 |Acc: 0.2667|Pred Confidence: nan | C 0:nan | C 1:0.1018 | C 2:0.1022| C 3:0.1001| C 4:nan| C 5:0.1005| C 6:0.1023| C 7:nan| C 8:nan| C 9:nan| C 10:0.1056| C 11:nan
Epoch[10/10000] | Loss:2.4017 |Acc: 0.2641|Pred Confidence: nan | C 0:nan | C 1:0.1048 | C 2:0.1035| C 3:0.1011| C 4:nan| C 5:0.1027| C 6:0.1039| C 7:nan| C 8:nan| C 9:nan| C 10:0.1072| C 11:nan
Epoch[11/10000] | Loss:2.3923 |Acc: 0.2897|Pred Confidence: nan | C 0:0.1010 | C 1:0.1079 | C 2:0.1048| C 3:0.1023| C 4:nan| C 5:0.1030| C 6:0.1056| C 7:nan| C 8:nan| C 9:nan| C 10:0.1090| C 11:nan
Epoch[12/10000] | Loss:2.3825 |Acc: 0.3103|Pred Confidence: nan | C 0:0.1029 | C 1:0.1113 | C 2:0.1058| C 3:0.1041| C 4:nan| C 5:0.1022| C 6:0.1076| C 7:nan| C 8:nan| C 9:nan| C 10:0.1105| C 11:nan
Epoch[13/10000] | Loss:2.3722 |Acc: 0.3154|Pred Confidence: nan | C 0:0.1058 | C 1:0.1145 | C 2:0.1072| C 3:0.1054| C 4:nan| C 5:0.1029| C 6:0.1091| C 7:nan| C 8:nan| C 9:nan| C 10:0.1120| C 11:nan
Epoch[14/10000] | Loss:2.3614 |Acc: 0.3154|Pred Confidence: nan | C 0:0.1085 | C 1:0.1182 | C 2:0.1086| C 3:0.1067| C 4:nan| C 5:0.1037| C 6:0.1116| C 7:nan| C 8:nan| C 9:nan| C 10:0.1134| C 11:nan
