Config: 
 {
  "model_save_path": "/tmp/",
  "model": "dnn",
  "loss": "ce",
  "model_name": "blip_mc_dnn_ce_mc",
  "dependency_meta": "",
  "timesteps": 10,
  "num_classes": 10,
  "rnn_config": {
    "ninp": 1,
    "nhid": 1000,
    "nlayers": 3,
    "nclasses": 10
  },
  "dnn_config": {
    "layers": [
      300,
      200,
      100,
      10
    ]
  },
  "batch_size": 32,
  "num_epochs": 100,
  "learning_rate": 0.001
}
Model: 
 Linear(
  (layers): ModuleList(
    (0): Linear(in_features=10, out_features=300, bias=True)
    (1): Linear(in_features=300, out_features=200, bias=True)
    (2): Linear(in_features=200, out_features=100, bias=True)
    (3): Linear(in_features=100, out_features=10, bias=True)
  )
  (sigmoid_activation): Sigmoid()
  (softmax_activation): Softmax(dim=-1)
)
Epoch[1/100] | Loss:2.3344 |Acc: 10.6250|Pred Confidence: nan | C 0:0.1361 | C 1:0.1292 | C 2:nan| C 3:nan| C 4:0.1407| C 5:0.1412| C 6:0.1409| C 7:0.1383| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[2/100] | Loss:2.2971 |Acc: 12.6250|Pred Confidence: nan | C 0:0.1411 | C 1:nan | C 2:0.1326| C 3:nan| C 4:nan| C 5:nan| C 6:0.1400| C 7:0.1334| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[3/100] | Loss:2.0360 |Acc: 36.7500|Pred Confidence: nan | C 0:0.1757 | C 1:0.1400 | C 2:0.1583| C 3:0.1839| C 4:0.1727| C 5:0.1737| C 6:0.1964| C 7:0.2071| C 8:nan| C 9:0.1287| C 10:nan| C 11:nan
Epoch[4/100] | Loss:1.2789 |Acc: 73.0000|Pred Confidence: 0.33 | C 0:0.3111 | C 1:0.2826 | C 2:0.3340| C 3:0.3542| C 4:0.3321| C 5:0.3670| C 6:0.4041| C 7:0.3600| C 8:0.2367| C 9:0.2193| C 10:nan| C 11:nan
Epoch[5/100] | Loss:0.7776 |Acc: 93.7500|Pred Confidence: 0.49 | C 0:0.4566 | C 1:0.4194 | C 2:0.4935| C 3:0.4891| C 4:0.5307| C 5:0.5714| C 6:0.6232| C 7:0.5455| C 8:0.3639| C 9:0.3301| C 10:nan| C 11:nan
Epoch[6/100] | Loss:0.4599 |Acc: 100.0000|Pred Confidence: 0.64 | C 0:0.6882 | C 1:0.5830 | C 2:0.6328| C 3:0.6226| C 4:0.6707| C 5:0.6993| C 6:0.7707| C 7:0.7129| C 8:0.5327| C 9:0.4675| C 10:nan| C 11:nan
Epoch[7/100] | Loss:0.2755 |Acc: 100.0000|Pred Confidence: 0.76 | C 0:0.8426 | C 1:0.7298 | C 2:0.7486| C 3:0.7419| C 4:0.7751| C 5:0.7912| C 6:0.8498| C 7:0.8119| C 8:0.6719| C 9:0.6476| C 10:nan| C 11:nan
Epoch[8/100] | Loss:0.1766 |Acc: 100.0000|Pred Confidence: 0.84 | C 0:0.9041 | C 1:0.8255 | C 2:0.8262| C 3:0.8205| C 4:0.8431| C 5:0.8519| C 6:0.8942| C 7:0.8678| C 8:0.7756| C 9:0.7717| C 10:nan| C 11:nan
Epoch[9/100] | Loss:0.1222 |Acc: 100.0000|Pred Confidence: 0.89 | C 0:0.9340 | C 1:0.8806 | C 2:0.8741| C 3:0.8701| C 4:0.8854| C 5:0.8906| C 6:0.9216| C 7:0.9028| C 8:0.8410| C 9:0.8447| C 10:nan| C 11:nan
Epoch[10/100] | Loss:0.0899 |Acc: 100.0000|Pred Confidence: 0.91 | C 0:0.9512 | C 1:0.9130 | C 2:0.9047| C 3:0.9017| C 4:0.9128| C 5:0.9160| C 6:0.9394| C 7:0.9257| C 8:0.8822| C 9:0.8880| C 10:nan| C 11:nan
Epoch[11/100] | Loss:0.0693 |Acc: 100.0000|Pred Confidence: 0.93 | C 0:0.9621 | C 1:0.9334 | C 2:0.9252| C 3:0.9228| C 4:0.9313| C 5:0.9335| C 6:0.9517| C 7:0.9412| C 8:0.9094| C 9:0.9155| C 10:nan| C 11:nan
Epoch[12/100] | Loss:0.0552 |Acc: 100.0000|Pred Confidence: 0.95 | C 0:0.9695 | C 1:0.9471 | C 2:0.9398| C 3:0.9377| C 4:0.9444| C 5:0.9460| C 6:0.9605| C 7:0.9523| C 8:0.9281| C 9:0.9339| C 10:nan| C 11:nan
Epoch[13/100] | Loss:0.0451 |Acc: 100.0000|Pred Confidence: 0.96 | C 0:0.9749 | C 1:0.9569 | C 2:0.9505| C 3:0.9486| C 4:0.9540| C 5:0.9552| C 6:0.9670| C 7:0.9605| C 8:0.9414| C 9:0.9467| C 10:nan| C 11:nan
Epoch[14/100] | Loss:0.0376 |Acc: 100.0000|Pred Confidence: 0.96 | C 0:0.9789 | C 1:0.9641 | C 2:0.9585| C 3:0.9568| C 4:0.9613| C 5:0.9622| C 6:0.9720| C 7:0.9667| C 8:0.9513| C 9:0.9560| C 10:nan| C 11:nan
Epoch[15/100] | Loss:0.0319 |Acc: 100.0000|Pred Confidence: 0.97 | C 0:0.9820 | C 1:0.9695 | C 2:0.9647| C 3:0.9632| C 4:0.9669| C 5:0.9677| C 6:0.9760| C 7:0.9716| C 8:0.9588| C 9:0.9630| C 10:nan| C 11:nan
Epoch[16/100] | Loss:0.0274 |Acc: 100.0000|Pred Confidence: 0.97 | C 0:0.9845 | C 1:0.9738 | C 2:0.9696| C 3:0.9683| C 4:0.9714| C 5:0.9721| C 6:0.9791| C 7:0.9754| C 8:0.9646| C 9:0.9684| C 10:nan| C 11:nan
Epoch[17/100] | Loss:0.0239 |Acc: 100.0000|Pred Confidence: 0.98 | C 0:0.9865 | C 1:0.9772 | C 2:0.9735| C 3:0.9723| C 4:0.9750| C 5:0.9756| C 6:0.9817| C 7:0.9785| C 8:0.9692| C 9:0.9727| C 10:nan| C 11:nan
Epoch[18/100] | Loss:0.0209 |Acc: 100.0000|Pred Confidence: 0.98 | C 0:0.9881 | C 1:0.9800 | C 2:0.9767| C 3:0.9757| C 4:0.9779| C 5:0.9784| C 6:0.9839| C 7:0.9810| C 8:0.9730| C 9:0.9761| C 10:nan| C 11:nan
Epoch[19/100] | Loss:0.0185 |Acc: 100.0000|Pred Confidence: 0.98 | C 0:0.9894 | C 1:0.9823 | C 2:0.9794| C 3:0.9784| C 4:0.9804| C 5:0.9809| C 6:0.9856| C 7:0.9831| C 8:0.9761| C 9:0.9790| C 10:nan| C 11:nan
Epoch[20/100] | Loss:0.0165 |Acc: 100.0000|Pred Confidence: 0.98 | C 0:0.9906 | C 1:0.9843 | C 2:0.9816| C 3:0.9808| C 4:0.9824| C 5:0.9829| C 6:0.9872| C 7:0.9849| C 8:0.9787| C 9:0.9813| C 10:nan| C 11:nan
