Config: 
 {
  "model_save_path": "/tmp/",
  "model": "dnn",
  "loss": "ce",
  "model_name": "blip_mc_dnn_ce_mc",
  "dependency_meta": "",
  "timesteps": 10,
  "num_classes": 10,
  "rnn_config": {
    "ninp": 1,
    "nhid": 1000,
    "nlayers": 3,
    "nclasses": 10
  },
  "dnn_config": {
    "layers": [
      300,
      200,
      100,
      10
    ]
  },
  "batch_size": 32,
  "num_epochs": 200,
  "learning_rate": 0.001
}
Model: 
 Linear(
  (layers): ModuleList(
    (0): Linear(in_features=10, out_features=300, bias=True)
    (1): Linear(in_features=300, out_features=200, bias=True)
    (2): Linear(in_features=200, out_features=100, bias=True)
    (3): Linear(in_features=100, out_features=10, bias=True)
  )
  (sigmoid_activation): Sigmoid()
  (softmax_activation): Softmax(dim=-1)
)
Epoch[1/200] | Loss:2.3211 |Acc: 10.6250|Pred Confidence: nan | C 0:0.1178 | C 1:0.1311 | C 2:nan| C 3:0.1440| C 4:0.1234| C 5:0.1386| C 6:nan| C 7:nan| C 8:0.1329| C 9:0.1610| C 10:nan| C 11:nan
Epoch[2/200] | Loss:2.2792 |Acc: 15.7500|Pred Confidence: nan | C 0:0.1210 | C 1:0.1180 | C 2:nan| C 3:0.1491| C 4:0.1232| C 5:0.1311| C 6:nan| C 7:0.1135| C 8:0.1259| C 9:0.1205| C 10:nan| C 11:nan
Epoch[3/200] | Loss:1.9820 |Acc: 45.6250|Pred Confidence: nan | C 0:0.1807 | C 1:0.1370 | C 2:nan| C 3:0.2020| C 4:0.1521| C 5:0.1607| C 6:0.1787| C 7:0.1563| C 8:0.1706| C 9:0.1405| C 10:nan| C 11:nan
Epoch[4/200] | Loss:1.2794 |Acc: 68.5000|Pred Confidence: 0.35 | C 0:0.5166 | C 1:0.3102 | C 2:0.2887| C 3:0.3874| C 4:0.3286| C 5:0.3157| C 6:0.2636| C 7:0.2606| C 8:0.2724| C 9:0.2503| C 10:nan| C 11:nan
Epoch[5/200] | Loss:0.8385 |Acc: 82.6250|Pred Confidence: 0.50 | C 0:0.7342 | C 1:0.4529 | C 2:0.3632| C 3:0.5890| C 4:0.5164| C 5:0.5294| C 6:0.4351| C 7:0.3171| C 8:0.3305| C 9:0.3608| C 10:nan| C 11:nan
Epoch[6/200] | Loss:0.5600 |Acc: 94.8750|Pred Confidence: 0.61 | C 0:0.8197 | C 1:0.5608 | C 2:0.4426| C 3:0.7320| C 4:0.7010| C 5:0.7106| C 6:0.6063| C 7:0.3758| C 8:0.4053| C 9:0.5295| C 10:nan| C 11:nan
Epoch[7/200] | Loss:0.3235 |Acc: 100.0000|Pred Confidence: 0.74 | C 0:0.8805 | C 1:0.7165 | C 2:0.6077| C 3:0.8268| C 4:0.8229| C 5:0.8382| C 6:0.7366| C 7:0.5401| C 8:0.5915| C 9:0.6968| C 10:nan| C 11:nan
Epoch[8/200] | Loss:0.1714 |Acc: 100.0000|Pred Confidence: 0.85 | C 0:0.9223 | C 1:0.8360 | C 2:0.7749| C 3:0.8951| C 4:0.8891| C 5:0.9025| C 6:0.8329| C 7:0.7547| C 8:0.7830| C 9:0.8079| C 10:nan| C 11:nan
Epoch[9/200] | Loss:0.1048 |Acc: 100.0000|Pred Confidence: 0.90 | C 0:0.9478 | C 1:0.8968 | C 2:0.8610| C 3:0.9326| C 4:0.9223| C 5:0.9328| C 6:0.8906| C 7:0.8544| C 8:0.8719| C 9:0.8730| C 10:nan| C 11:nan
Epoch[10/200] | Loss:0.0727 |Acc: 100.0000|Pred Confidence: 0.93 | C 0:0.9622 | C 1:0.9277 | C 2:0.9054| C 3:0.9520| C 4:0.9413| C 5:0.9500| C 6:0.9217| C 7:0.8998| C 8:0.9132| C 9:0.9095| C 10:nan| C 11:nan
Epoch[11/200] | Loss:0.0544 |Acc: 100.0000|Pred Confidence: 0.95 | C 0:0.9713 | C 1:0.9456 | C 2:0.9294| C 3:0.9635| C 4:0.9539| C 5:0.9609| C 6:0.9401| C 7:0.9252| C 8:0.9362| C 9:0.9318| C 10:nan| C 11:nan
Epoch[12/200] | Loss:0.0428 |Acc: 100.0000|Pred Confidence: 0.96 | C 0:0.9773 | C 1:0.9570 | C 2:0.9444| C 3:0.9709| C 4:0.9626| C 5:0.9683| C 6:0.9521| C 7:0.9413| C 8:0.9506| C 9:0.9466| C 10:nan| C 11:nan
Epoch[13/200] | Loss:0.0348 |Acc: 100.0000|Pred Confidence: 0.97 | C 0:0.9815 | C 1:0.9649 | C 2:0.9548| C 3:0.9761| C 4:0.9690| C 5:0.9736| C 6:0.9606| C 7:0.9523| C 8:0.9603| C 9:0.9569| C 10:nan| C 11:nan
Epoch[14/200] | Loss:0.0290 |Acc: 100.0000|Pred Confidence: 0.97 | C 0:0.9845 | C 1:0.9706 | C 2:0.9623| C 3:0.9799| C 4:0.9738| C 5:0.9777| C 6:0.9669| C 7:0.9604| C 8:0.9673| C 9:0.9644| C 10:nan| C 11:nan
Epoch[15/200] | Loss:0.0245 |Acc: 100.0000|Pred Confidence: 0.98 | C 0:0.9868 | C 1:0.9750 | C 2:0.9680| C 3:0.9828| C 4:0.9775| C 5:0.9808| C 6:0.9717| C 7:0.9664| C 8:0.9726| C 9:0.9700| C 10:nan| C 11:nan
