Config: 
 {
  "model_save_path": "/tmp/",
  "model": "dnn",
  "loss": "ce",
  "model_name": "blip_mc_dnn_ce_mc",
  "dependency_meta": "",
  "timesteps": 10,
  "num_classes": 10,
  "rnn_config": {
    "ninp": 1,
    "nhid": 1000,
    "nlayers": 3,
    "nclasses": 10
  },
  "dnn_config": {
    "layers": [
      300,
      200,
      100,
      10
    ]
  },
  "batch_size": 32,
  "num_epochs": 100,
  "learning_rate": 0.001
}
Model: 
 Linear(
  (layers): ModuleList(
    (0): Linear(in_features=10, out_features=300, bias=True)
    (1): Linear(in_features=300, out_features=200, bias=True)
    (2): Linear(in_features=200, out_features=100, bias=True)
    (3): Linear(in_features=100, out_features=10, bias=True)
  )
  (sigmoid_activation): Sigmoid()
  (softmax_activation): Softmax(dim=-1)
)
Epoch[1/100] | Loss:2.3249 |Acc: 9.2500|Pred Confidence: nan | C 0:0.1240 | C 1:0.1391 | C 2:0.1134| C 3:0.1221| C 4:0.1333| C 5:nan| C 6:nan| C 7:0.1188| C 8:0.1233| C 9:0.1250| C 10:nan| C 11:nan
Epoch[2/100] | Loss:2.2712 |Acc: 15.1250|Pred Confidence: nan | C 0:0.1248 | C 1:0.1343 | C 2:nan| C 3:0.1292| C 4:0.1197| C 5:0.1290| C 6:0.1347| C 7:0.1248| C 8:0.1325| C 9:0.1352| C 10:nan| C 11:nan
Epoch[3/100] | Loss:1.8666 |Acc: 46.8750|Pred Confidence: nan | C 0:0.1589 | C 1:0.1749 | C 2:0.1775| C 3:0.1497| C 4:0.1759| C 5:0.2108| C 6:0.2089| C 7:0.2040| C 8:0.2516| C 9:0.1789| C 10:nan| C 11:nan
Epoch[4/100] | Loss:1.1456 |Acc: 87.2500|Pred Confidence: 0.35 | C 0:0.2624 | C 1:0.2897 | C 2:0.2416| C 3:0.2483| C 4:0.3152| C 5:0.3498| C 6:0.4660| C 7:0.5056| C 8:0.4109| C 9:0.3586| C 10:nan| C 11:nan
Epoch[5/100] | Loss:0.6978 |Acc: 100.0000|Pred Confidence: 0.51 | C 0:0.4158 | C 1:0.4253 | C 2:0.3838| C 3:0.4634| C 4:0.5103| C 5:0.5484| C 6:0.6473| C 7:0.6959| C 8:0.5351| C 9:0.4986| C 10:nan| C 11:nan
Epoch[6/100] | Loss:0.3952 |Acc: 100.0000|Pred Confidence: 0.68 | C 0:0.5857 | C 1:0.5968 | C 2:0.6035| C 3:0.6988| C 4:0.6800| C 5:0.7220| C 6:0.7720| C 7:0.7926| C 8:0.6916| C 9:0.6647| C 10:nan| C 11:nan
Epoch[7/100] | Loss:0.2350 |Acc: 100.0000|Pred Confidence: 0.79 | C 0:0.7172 | C 1:0.7316 | C 2:0.7659| C 3:0.8187| C 4:0.7824| C 5:0.8196| C 6:0.8459| C 7:0.8562| C 8:0.8073| C 9:0.7916| C 10:nan| C 11:nan
Epoch[8/100] | Loss:0.1542 |Acc: 100.0000|Pred Confidence: 0.86 | C 0:0.8017 | C 1:0.8145 | C 2:0.8513| C 3:0.8802| C 4:0.8464| C 5:0.8741| C 6:0.8899| C 7:0.8970| C 8:0.8704| C 9:0.8614| C 10:nan| C 11:nan
Epoch[9/100] | Loss:0.1093 |Acc: 100.0000|Pred Confidence: 0.90 | C 0:0.8546 | C 1:0.8645 | C 2:0.8975| C 3:0.9150| C 4:0.8872| C 5:0.9072| C 6:0.9177| C 7:0.9229| C 8:0.9065| C 9:0.9008| C 10:nan| C 11:nan
Epoch[10/100] | Loss:0.0820 |Acc: 100.0000|Pred Confidence: 0.92 | C 0:0.8887 | C 1:0.8963 | C 2:0.9246| C 3:0.9363| C 4:0.9140| C 5:0.9287| C 6:0.9362| C 7:0.9401| C 8:0.9288| C 9:0.9251| C 10:nan| C 11:nan
Epoch[11/100] | Loss:0.0641 |Acc: 100.0000|Pred Confidence: 0.94 | C 0:0.9118 | C 1:0.9178 | C 2:0.9419| C 3:0.9504| C 4:0.9323| C 5:0.9434| C 6:0.9490| C 7:0.9521| C 8:0.9436| C 9:0.9411| C 10:nan| C 11:nan
