Config: 
 {
  "model_name": "ptb_heart_rate_rnn_ce",
  "model_save_path": "/tmp/",
  "model": "rnn",
  "loss": "ce",
  "timesteps": 187,
  "num_classes": 2,
  "rnn_config": {
    "ninp": 1,
    "nhid": 20,
    "nlayers": 1,
    "nclasses": 2
  },
  "dnn_config": {
    "layers": [
      10,
      10,
      10,
      10,
      2
    ]
  },
  "batch_size": 32,
  "num_epochs": 100,
  "learning_rate": 0.05,
  "dependency_meta": ""
}
Model: 
 RNN(
  (rnn_cell): GRU(1, 20, batch_first=True)
  (fc1): Linear(in_features=20, out_features=2, bias=True)
)
Epoch [1/100] | Loss: 0.6177 |  Accuracy: 0.7034 | Prediction Confidence: 0.70 | Class 0:0.6246 | Class 1:0.7025
Epoch [2/100] | Loss: 0.6060 |  Accuracy: 0.7089 | Prediction Confidence: 0.71 | Class 0:nan | Class 1:0.7091
Epoch [3/100] | Loss: 0.6060 |  Accuracy: 0.7089 | Prediction Confidence: 0.71 | Class 0:nan | Class 1:0.7089
Epoch [4/100] | Loss: 0.6650 |  Accuracy: 0.6829 | Prediction Confidence: 0.73 | Class 0:0.6039 | Class 1:0.7331
Epoch [5/100] | Loss: 0.6339 |  Accuracy: 0.6925 | Prediction Confidence: 0.71 | Class 0:0.5245 | Class 1:0.7172
Epoch [6/100] | Loss: 0.6311 |  Accuracy: 0.6966 | Prediction Confidence: 0.71 | Class 0:0.5258 | Class 1:0.7150
Epoch [7/100] | Loss: 0.6300 |  Accuracy: 0.7007 | Prediction Confidence: 0.71 | Class 0:0.5047 | Class 1:0.7138
Epoch [8/100] | Loss: 0.6265 |  Accuracy: 0.7055 | Prediction Confidence: 0.71 | Class 0:0.5096 | Class 1:0.7107
Epoch [9/100] | Loss: 0.6248 |  Accuracy: 0.7062 | Prediction Confidence: 0.71 | Class 0:0.5024 | Class 1:0.7090
Epoch [10/100] | Loss: 0.6232 |  Accuracy: 0.7089 | Prediction Confidence: 0.71 | Class 0:nan | Class 1:0.7093
Epoch [11/100] | Loss: 0.6236 |  Accuracy: 0.7089 | Prediction Confidence: 0.71 | Class 0:nan | Class 1:0.7085
Epoch [12/100] | Loss: 0.6353 |  Accuracy: 0.7021 | Prediction Confidence: 0.71 | Class 0:0.5242 | Class 1:0.7127
