Config: 
 {
  "model_save_path": "./trained_models/burst10/",
  "model": "rnn",
  "loss": "ce",
  "model_name": "burst_location_rnn_ce",
  "dependency_meta": {
    "md5": "b3a5d9edaec16e285ba87b4dea61e7c2",
    "timestamp": "2020-05-19 20:48:54.101166"
  },
  "timesteps": 10,
  "num_classes": 2,
  "rnn_config": {
    "ninp": 1,
    "nhid": 10,
    "nlayers": 1,
    "nclasses": 2
  },
  "dnn_config": {
    "layers": [
      50,
      20,
      2
    ]
  },
  "batch_size": 32,
  "num_epochs": 50,
  "learning_rate": 0.001
}
Model: 
 RNN(
  (rnn_cell): GRU(1, 10, batch_first=True)
  (fc1): Linear(in_features=10, out_features=2, bias=True)
)
Epoch [1/50] | Loss: 0.5544 |  Accuracy: 0.8012 | Prediction Confidence: 0.66 | Class 0:nan | Class 1:0.6559
Epoch [2/50] | Loss: 0.4844 |  Accuracy: 0.8012 | Prediction Confidence: 0.80 | Class 0:nan | Class 1:0.8015
Epoch [3/50] | Loss: 0.4445 |  Accuracy: 0.8012 | Prediction Confidence: 0.82 | Class 0:nan | Class 1:0.8162
Epoch [4/50] | Loss: 0.1689 |  Accuracy: 0.9637 | Prediction Confidence: 0.81 | Class 0:0.6700 | Class 1:0.9183
Epoch [5/50] | Loss: 0.0742 |  Accuracy: 1.0000 | Prediction Confidence: 0.89 | Class 0:0.8267 | Class 1:0.9593
Epoch [6/50] | Loss: 0.0418 |  Accuracy: 1.0000 | Prediction Confidence: 0.94 | Class 0:0.8988 | Class 1:0.9759
Epoch [7/50] | Loss: 0.0265 |  Accuracy: 1.0000 | Prediction Confidence: 0.96 | Class 0:0.9361 | Class 1:0.9840
Epoch [8/50] | Loss: 0.0178 |  Accuracy: 1.0000 | Prediction Confidence: 0.97 | Class 0:0.9574 | Class 1:0.9889
Epoch [9/50] | Loss: 0.0126 |  Accuracy: 1.0000 | Prediction Confidence: 0.98 | Class 0:0.9702 | Class 1:0.9920
Epoch [10/50] | Loss: 0.0092 |  Accuracy: 1.0000 | Prediction Confidence: 0.99 | Class 0:0.9781 | Class 1:0.9941
Epoch [11/50] | Loss: 0.0070 |  Accuracy: 1.0000 | Prediction Confidence: 0.99 | Class 0:0.9833 | Class 1:0.9955
Epoch [12/50] | Loss: 0.0055 |  Accuracy: 1.0000 | Prediction Confidence: 0.99 | Class 0:0.9869 | Class 1:0.9965
Epoch [13/50] | Loss: 0.0044 |  Accuracy: 1.0000 | Prediction Confidence: 0.99 | Class 0:0.9895 | Class 1:0.9972
Epoch [14/50] | Loss: 0.0036 |  Accuracy: 1.0000 | Prediction Confidence: 0.99 | Class 0:0.9914 | Class 1:0.9977
Epoch [15/50] | Loss: 0.0030 |  Accuracy: 1.0000 | Prediction Confidence: 1.00 | Class 0:0.9929 | Class 1:0.9981
Epoch [16/50] | Loss: 0.0025 |  Accuracy: 1.0000 | Prediction Confidence: 1.00 | Class 0:0.9940 | Class 1:0.9984
Epoch [17/50] | Loss: 0.0021 |  Accuracy: 1.0000 | Prediction Confidence: 1.00 | Class 0:0.9949 | Class 1:0.9986
Epoch [18/50] | Loss: 0.0018 |  Accuracy: 1.0000 | Prediction Confidence: 1.00 | Class 0:0.9957 | Class 1:0.9988
Epoch [19/50] | Loss: 0.0016 |  Accuracy: 1.0000 | Prediction Confidence: 1.00 | Class 0:0.9962 | Class 1:0.9990
Epoch [20/50] | Loss: 0.0014 |  Accuracy: 1.0000 | Prediction Confidence: 1.00 | Class 0:0.9967 | Class 1:0.9991
Epoch [21/50] | Loss: 0.0012 |  Accuracy: 1.0000 | Prediction Confidence: 1.00 | Class 0:0.9971 | Class 1:0.9992
Epoch [22/50] | Loss: 0.0011 |  Accuracy: 1.0000 | Prediction Confidence: 1.00 | Class 0:0.9974 | Class 1:0.9993
Epoch [23/50] | Loss: 0.0010 |  Accuracy: 1.0000 | Prediction Confidence: 1.00 | Class 0:0.9977 | Class 1:0.9994
Epoch [24/50] | Loss: 0.0009 |  Accuracy: 1.0000 | Prediction Confidence: 1.00 | Class 0:0.9980 | Class 1:0.9994
Epoch [25/50] | Loss: 0.0008 |  Accuracy: 1.0000 | Prediction Confidence: 1.00 | Class 0:0.9982 | Class 1:0.9995
Epoch [26/50] | Loss: 0.0007 |  Accuracy: 1.0000 | Prediction Confidence: 1.00 | Class 0:0.9983 | Class 1:0.9995
Epoch [27/50] | Loss: 0.0006 |  Accuracy: 1.0000 | Prediction Confidence: 1.00 | Class 0:0.9985 | Class 1:0.9996
Epoch [28/50] | Loss: 0.0006 |  Accuracy: 1.0000 | Prediction Confidence: 1.00 | Class 0:0.9986 | Class 1:0.9996
Epoch [29/50] | Loss: 0.0005 |  Accuracy: 1.0000 | Prediction Confidence: 1.00 | Class 0:0.9988 | Class 1:0.9996
Epoch [30/50] | Loss: 0.0005 |  Accuracy: 1.0000 | Prediction Confidence: 1.00 | Class 0:0.9989 | Class 1:0.9997
Epoch [31/50] | Loss: 0.0004 |  Accuracy: 1.0000 | Prediction Confidence: 1.00 | Class 0:0.9990 | Class 1:0.9997
Epoch [32/50] | Loss: 0.0004 |  Accuracy: 1.0000 | Prediction Confidence: 1.00 | Class 0:0.9990 | Class 1:0.9997
Epoch [33/50] | Loss: 0.0004 |  Accuracy: 1.0000 | Prediction Confidence: 1.00 | Class 0:0.9991 | Class 1:0.9997
Epoch [34/50] | Loss: 0.0004 |  Accuracy: 1.0000 | Prediction Confidence: 1.00 | Class 0:0.9992 | Class 1:0.9998
Epoch [35/50] | Loss: 0.0003 |  Accuracy: 1.0000 | Prediction Confidence: 1.00 | Class 0:0.9993 | Class 1:0.9998
Epoch [36/50] | Loss: 0.0003 |  Accuracy: 1.0000 | Prediction Confidence: 1.00 | Class 0:0.9993 | Class 1:0.9998
Epoch [37/50] | Loss: 0.0003 |  Accuracy: 1.0000 | Prediction Confidence: 1.00 | Class 0:0.9994 | Class 1:0.9998
